surah,ayah,token_index,surface,plain,gold,pred,is_match,source,proof_kind
4,12,69,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,13,1,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
4,23,13,اللَّاتِي,اللاتي,ISM_MAWSOOL,ISM_MAWSOOL,True,registry:plain:02_mabniyat/relative_pronouns.json#10,Certificate
4,23,21,اللَّاتِي,اللاتي,ISM_MAWSOOL,ISM_MAWSOOL,True,registry:plain:02_mabniyat/relative_pronouns.json#10,Certificate
4,23,26,اللَّاتِي,اللاتي,ISM_MAWSOOL,ISM_MAWSOOL,True,registry:plain:02_mabniyat/relative_pronouns.json#10,Certificate
4,25,47,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,30,3,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,30,10,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,41,11,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
4,48,11,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,51,15,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
4,59,25,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,70,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,78,31,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
4,109,2,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
4,114,19,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,116,11,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,127,16,اللَّاتِي,اللاتي,ISM_MAWSOOL,ISM_MAWSOOL,True,registry:plain:02_mabniyat/relative_pronouns.json#10,Certificate
4,133,11,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,143,3,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,143,6,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
4,143,9,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
4,150,21,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,153,15,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,153,33,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
4,169,8,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,12,40,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,32,3,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,32,37,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,33,25,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,43,12,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,54,29,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,58,8,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,60,6,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,78,13,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,82,19,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,89,32,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,94,20,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,95,33,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,97,12,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,108,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
5,119,22,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
6,88,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
6,89,10,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
6,96,9,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
6,131,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
6,146,24,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
7,26,12,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
7,26,14,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
7,38,28,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
7,101,1,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
7,139,2,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
7,146,30,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
7,168,9,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
7,176,21,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
8,13,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
8,49,9,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
8,51,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
8,53,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
9,6,14,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
9,27,6,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
9,30,11,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
9,36,19,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
9,63,14,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
9,72,21,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
9,80,16,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
9,89,11,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
9,100,23,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
9,120,19,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
10,1,2,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
10,5,17,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
10,18,11,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
10,61,36,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
10,64,12,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
10,67,12,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
11,18,14,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
11,49,1,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
11,65,8,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
11,78,12,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
11,100,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
11,103,3,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
11,103,9,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
11,109,7,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
11,114,12,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
12,1,2,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
12,38,15,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
12,40,25,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
12,48,5,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
12,49,5,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
12,50,16,اللَّاتِي,اللاتي,ISM_MAWSOOL,ISM_MAWSOOL,True,registry:plain:02_mabniyat/relative_pronouns.json#10,Certificate
12,52,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
12,65,23,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
12,102,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
13,1,2,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
13,3,21,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
13,4,24,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
13,35,13,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
14,5,17,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
14,14,5,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
14,18,19,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
14,20,2,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
15,1,2,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
15,66,3,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
15,66,7,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
15,68,3,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
15,71,2,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
15,75,3,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
15,77,3,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
16,11,13,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
16,12,12,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
16,13,10,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
16,65,13,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
16,67,12,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
16,69,21,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
16,79,15,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
16,86,8,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
16,89,14,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
16,107,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
16,119,12,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
17,20,3,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
17,35,8,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
17,38,2,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
17,39,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
17,58,15,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
17,98,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
17,102,6,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
17,110,21,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
18,15,1,هَؤُلَاءِ,هؤلاء,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#13,Certificate
18,17,19,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
18,23,6,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
18,64,2,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
18,82,29,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
18,106,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
19,34,1,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
19,63,1,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
19,64,14,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
20,17,2,تِلْكَ,تلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#6,Certificate
20,54,6,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
20,128,14,ذَلِكَ,ذلك,ISM_MABNI,ISM_MABNI,True,registry:exact:02_mabniyat/demonstrative_pronouns.json#9,Certificate
