wazn_plain,voweled_variants,rows,tokens,examples
يفاعل,وَيُفَاعِل | يُفَاعَل | يُفَاعِل | يُفَاعْل,28,50,جدل+وَيُجَادِلُ | جدل+يُجَادِلُ | جدل+يُجَادِلُنَا | جدل+يُجَادِلُونَ | جدل+يُجَادِلُونَكَ
فيفعل,فَيَفعَل | فَيَفعُل | فَيَفِعْل | فَيَفَّعِل | فَيَفْعَل | فَيَفْعُل | فَيَفْعِل | فَيُفَعِّل | فَيُفِعْل | فَيُفْعَل | فَيُفْعِل,33,46,ءخذ+فَيَأْخُذَكُم | ءخذ+فَيُؤْخَذُ | بسط+فَيَبْسُطُهُ | تبع+فَيَتَّبِعُونَ | جعل+فَيَجْعَلَهُ
افتعل,أَفُتْعَل | افتَعَل | افْتَعَل | افْتَعِل | افْتُعِل | لاَفتَعَل | وَأَفْتَعِل | وَافتَعِل | وَافْتَعَل | وَافْتَعِل,28,44,ءخذ+اتَّخَذَ | ءخذ+اتَّخَذَهَا | ءخذ+اتَّخِذُونِي | ءخذ+اتَّخِذِي | ءمن+اؤْتُمِنَ
استفعل,أَسْتَفْعِل | إِسْتَفْعَل | اسْتَفعَل | اسْتَفَعْل | اسْتَفْعَل | اسْتَفْعِل | اسْتُفْعِل | وَإِسْتَفْعَل | وَاسْتَفْعَل | وَاسْتَفْعِل,30,42,ءجر+اسْتَئْجِرْهُ | ءذن+اسْتَئْذَنَ | ءذن+اسْتَئْذَنَكَ | برق+إِسْتَبْرَقٍ | برق+وَإِسْتَبْرَقٌ
يتفعل,وَيَتَفَعَّل | وَيُتَفَعَّل | يَتَفَعَّل,27,40,ءخر+يَتَأَخَّرَ | بدل+يَتَبَدَّلِ | جرع+يَتَجَرَّعُهُ | جنب+وَيَتَجَنَّبُهَا | خبط+يَتَخَبَّطُهُ
تفعلن,تَفَعَّلْن | تَفُعْلَن | تَفْعَلَن | تَفْعَلْن | تَفْعُلَن | تُفَعِّلَن | تُفْعِلَن | تُفْعِلْن | لَتَفْعَلُن | لَتَفْعُلُن | لَتُفَعَّلُن | لَتُفَعِّلَن | لَتُفْعَلُن | لَتُفْعِلُن | لِتَفْعُلَن | وَتَفْعَلْن | وَلَتَفعُلُن | وَلَتَفْعَلُن | وَلَتَفْعِلَن,28,37,ءجر+تَأْجُرَنِي | برج+تَبَرَّجْنَ | بعث+لَتُبْعَثُنَّ | ثقف+تَثْقَفَنَّهُم | جعل+تَجْعَلْنِي
تفاعل,التَّفَاعُل | تَفَاعَل | تَفَاعُل | تَفَاعْل | تُفَاعِل | تُفَاعْل | وَتَفَاعَل | وَتَفَاعُل | وَتُفَاعِل,28,37,ءخذ+تُؤَاخِذْنَا | برك+تَبَارَكَ | برك+وَتَبَارَكَ | جدل+تُجَادِل | جدل+تُجَادِلُ
افعلتم,أَفعَلْتُم | أَفَعَلْتُم | أَفَعِلْتُم | أَفَعَّلْتُم | أَفْعَلتُم | أَفْعَلْتُم | أُفْعِلْتُم | افَّعَلْتُم | لأَفْعَلْتُم | لاَفَّعَلْتُم | وَأَفْعَلْتُم,28,37,بشر+أَبَشَّرْتُمُونِي | تبع+اتَّبَعْتُم | تبع+لاَتَّبَعْتُمُ | ترف+أُتْرِفْتُم | جعل+أَجَعَلْتُم
افعلة,أَفِعْلَة | أَفْعَلَة | أَفْعِلَة | افْعَلَة | الأَفِعْلَة | الأَفْعِلَة | بِأَفْعَلَة | بِأَفْعِلَة | وَأَفْعِلَة | وَافْعَلَة | وَالأَفْعِلَة,25,37,جنح+أَجْنِحَةٍ | جنن+أَجِنَّةٌ | ذلل+أَذِلَّةً | ذلل+أَذِلَّةٌ | ذلل+أَذِلَّةٍ
ففعلن,فَفَعَلْن | فَفَعِلُن | فَفَعَّلْن,23,36,ءثر+فَأَثَرْنَ | ءخذ+فَأَخَذْنَاهُ | ءخذ+فَأَخَذْنَاهُم | بشر+فَبَشَّرْنَاهَا | بشر+فَبَشَّرْنَاهُ
استفعلو,اسْتَفعَلُو | اسْتَفَعْلُو | اسْتَفْعَلُو | اسْتَفْعِلُو | اسْتُفْعِلُو | وَاسْتَفْعَلُو | وَاسْتَفْعِلُو,14,36,ءذن+اسْتَئْذَنُوكَ | حبب+اسْتَحَبُّوا | حفظ+اسْتُحْفِظُوا | رهب+وَاسْتَرْهَبُوهُم | ضعف+اسْتُضْعِفُوا
يفتعل,يَفتَعِل | يَفْتَعِل | يَفْتَعْل,17,34,ءمر+يَأْتَمِرُونَ | جنب+يَجْتَنِبُونَ | خصص+يَخْتَصُّ | خصم+يَخْتَصِمُونَ | خلف+يَخْتَلِفُونَ
ففعلت,فَفَعَلَت | فَفَعَلْت | فَفَعُلَت | فَفَعِلَت | فَفَعِلْت | فَفَعَّلْت | فَفَعْلَت | فَفُعْلَت | فَفِعْلَت,22,29,ءخذ+فَأَخَذَتْكُمُ | ءخذ+فَأَخَذَتْهُم | ءخذ+فَأَخَذَتْهُمُ | ءخذ+فَأَخَذْتُهُم | بصر+فَبَصُرَت
فافتعل,فَافتَعَل | فَافتَعِل | فَافْتَعَل | فَافْتَعِل | فَافْتَعْل | فَافْتُعِل,17,24,ءخذ+فَاتَّخَذَ | ءخذ+فَاتَّخِذْهُ | حمل+فَاحْتَمَلَ | خلط+فَاخْتَلَطَ | خلف+فَاخْتَلَفَ
فتفعل,فَتَفعَل | فَتَفعُل | فَتَفَعَّل | فَتَفَعْل | فَتَفِعْل | فَتَفْعَل | فَتَفْعُل | فَتَفْعِل | فَتُفَعِّل | فَتُفُعِّل | فَتُفْعِل,22,23,ءكل+فَتَأْكُلُ | بسم+فَتَبَسَّمَ | بهت+فَتَبْهَتُهُم | خبت+فَتُخْبِتَ | خطف+فَتَخْطَفُهُ
افعيل,أَفَعِيل | إِفْعِيل | الإِفعِيل | وَالإِفعِيل,8,23,بلس+إِبْلِيسَ | بلس+إِبْلِيسُ | قرب+أَقَرِيبٌ | نجل+الإِنجِيلَ | نجل+الإِنجِيلِ
تفتعلو,تَفْتَعِلُو | تَفْتَعْلُو,6,20,ءخذ+تَتَّخِذُوا | جنب+تَجْتَنِبُوا | خصم+تَخْتَصِمُوا | ردد+تَرْتَدُّوا | عذر+تَعْتَذِرُوا
تستفعل,تَسْتَفِعْل | تَسْتَفْعِل,11,20,ءخر+تَسْتَئْخِرُونَ | خفف+تَسْتَخِفُّونَهَا | عجل+تَسْتَعْجِل | عجل+تَسْتَعْجِلُونَ | عجل+تَسْتَعْجِلُونِ
تفتعل,تَفتَعِل | تَفْتَعِل | تَفْتَعْل,10,19,ءخذ+تَتَّخِذَ | ءخذ+تَتَّخِذُونَ | بءس+تَبْتَئِس | خصم+تَخْتَصِمُونَ | خلف+تَخْتَلِفُونَ
فافتعلو,فَافتَعِلُو | فَافْتَعَلُو | فَافْتَعِلُو,14,19,ءخذ+فَاتَّخِذُوهُ | جنب+فَاجْتَنِبُوا | جنب+فَاجْتَنِبُوهُ | خلف+فَاخْتَلَفُوا | سبق+فَاسْتَبَقُوا
فاعلتم,فاَعَلْتُم | فَأَعِلتُم | فَاعَلتُم | فَاعَلتُّم | فَاعَلْتُم,8,19,ءمن+ءَأَمِنتُم | ءمن+ءَامَنتُم | ءنس+ءَانَسْتُم | جدل+جَادَلْتُم | حجج+حَاجَجْتُم
سيفعل,سَيَفْعَل | سَيَفْعُل | سَيَفْعِل | سَيُفْعَل | سَيُفْعِل | وَسَيَفْعَل | وَسَيَفْعِل | وَسَيُفَعَّل | وَسَيُفْعِل,15,19,بطل+سَيُبْطِلُهُ | جعل+سَيَجْعَلُ | جنب+وَسَيُجَنَّبُهَا | حبط+وَسَيُحْبِطُ | حلف+سَيَحْلِفُونَ
فاعلت,فَاعَلت | فَاعَلَت | فَاعَلْت | فَاعِلَت | وَفَاعِلَت,10,18,ءذن+ءَاذَنتُكُم | ءمن+ءَامَنتُ | ءمن+ءَامَنَت | ءنس+ءَانَسْتُ | جدل+جَادَلْتَنَا
افتعلت,افتَعَلَت | افْتَعلْت | افْتَعَلَت | افْتَعَلْت | افْتَعْلَت | افْتُعْلَت | وَافْتَعْلَت,14,16,ءخذ+اتَّخَذَت | ءخذ+اتَّخَذْتَ | ءخذ+اتَّخَذْتُ | جثث+اجْتُثَّت | جمع+اجْتَمَعَتِ
فعلتمو,فَعَلْتُمُو | فَعِلْتُمُو | فَعَّلْتُمُو | وَفَعَّلْتُمُو,13,16,ترك+تَرَكْتُمُوهَا | ثقف+ثَقِفْتُمُوهُم | دخل+دَخَلْتُمُوهُ | سءل+سَأَلْتُمُوهُ | سءل+سَأَلْتُمُوهُنَّ
افاعيل,أَفَاعِيل | الأَفَاعِيل | وَأَفَاعِيل,4,15,برق+وَأَبَارِيقَ | حدث+أَحَادِيثَ | حدث+الأَحَادِيثِ | سطر+أَسَاطِيرُ
فليفعل,فَلْيَفعُل | فَلْيَفْعَل | فَلْيَفْعُل | فَلْيُفعِل | فَلْيُفْعِل,11,14,ءكل+فَلْيَأْكُل | حذر+فَلْيَحْذَرِ | عمل+فَلْيَعْمَل | عمل+فَلْيَعْمَلِ | كتب+فَلْيَكْتُب
افتعال,افتِعَال | افْتِعاَل | بِافْتِعَال | وَافْتِعاَل,8,13,ءخذ+بِاتِّخَاذِكُمُ | خلف+اخْتِلاَفًا | خلف+اخْتِلاَفُ | خلف+اخْتِلاَفِ | خلف+وَاخْتِلاَفُ
فاستفعلو,فَاسْتَفَعْلُو | فَاسْتَفْعَلُو | فَاسْتَفْعِلُو,8,13,ءذن+فَاسْتَئْذَنُوكَ | بشر+فَاسْتَبْشِرُوا | حبب+فَاسْتَحَبُّوا | شهد+فَاسْتَشْهِدُوا | غفر+فَاسْتَغْفَرُوا
نفعلن,لَنَفَّعَّلَن | لَنَفْعَلَن | لَنَفْعُلَن | لَنُفَعِّلَن | لَنُفْعِلَن | نَفْعَلَن | وَلَنَفْعِلَن | وَلَنُفْعِلَن,12,12,حرق+لَنُحَرِّقَنَّهُ | حشر+لَنَحْشُرَنَّهُم | حضر+لَنُحْضِرَنَّهُم | دخل+لَنُدْخِلَنَّهُم | ذهب+لَنَذْهَبَنَّ
تفاعلو,تَفَاعَلُو | تُفَاعِلُو | تُفَاعْلُو | لِتَفَاعَلُو,10,11,بشر+تُبَاشِرُوهُنَّ | جدل+تُجَادِلُوا | خلط+تُخَالِطُوهُم | ضرر+تُضَارُّوهُنَّ | عرف+لِتَعَارَفُوا
تفعلة,التَّفْعُلَة | التَّفْعِلَة | تَفِعْلَة | تَفْعِلَة,6,11,بصر+تَبْصِرَةً | حلل+تَحِلَّةَ | ذكر+التَّذْكِرَةِ | ذكر+تَذْكِرَةً | ذكر+تَذْكِرَةٌ
اتفعل,أَتَفْعَل | أَتَفْعُل | أَتَفْعِل | أَتُفَعِّل | أَتُفْعِل,10,11,جعل+أَتَجْعَلُ | حدث+أَتُحَدِّثُونَهُم | صبر+أَتَصْبِرُونَ | عبد+أَتَعْبُدُونَ | عجب+أَتَعْجَبِينَ
فافعلن,فَأَفعِلْن | فَأَفْعَلْن | فَافَّعِلْن,5,10,تبع+فَاتَّبِعْنِي | غرق+فَأَغْرَقْنَاهُ | غرق+فَأَغْرَقْنَاهُم | نظر+فَأَنظِرْنِي | هلك+فَأَهْلَكْنَاهُم
يتفاعل,يَتَفَاعَل | يَتَفَاعْل,7,10,حجج+يَتَحَاجُّونَ | خفت+يَتَخَافَتُونَ | رجع+يَتَرَاجَعَا | عرف+يَتَعَارَفُونَ | غمز+يَتَغَامَزُونَ
فيفعلو,فَيَفعُلُو | فَيَفُعْلُو | فَيَفْعَلُو | فَيُفِعْلُو | فَيُفْعِلُو,5,10,حلل+فَيُحِلُّوا | سبب+فَيَسُبُّوا | شفع+فَيَشْفَعُوا | صبح+فَيُصْبِحُوا | نظر+فَيَنظُرُوا
سنفعل,سَنَفُعْل | سَنَفْعُل | سَنُفَعِّل | سَنُفْعِل,8,10,دخل+سَنُدْخِلُهُم | شدد+سَنَشُدُّ | عذب+سَنُعَذِّبُهُم | فرغ+سَنَفْرُغُ | قتل+سَنُقَتِّلُ
يفاعلو,لِيُفَاعِلُو | لِيُفَاعْلُو | يُفَاعِلُو | يُفَاعْلُو,6,9,جدل+لِيُجَادِلُوكُم | جهد+يُجَاهِدُوا | حجج+لِيُحَاجُّوكُم | حجج+يُحَاجُّوكُم | ظهر+يُظَاهِرُوا
تتفعل,تَتَفَعَّل,5,9,ذكر+تَتَذَكَّرُونَ | فكر+تَتَفَكَّرُونَ | قلب+تَتَقَلَّبُ | كبر+تَتَكَبَّرَ | نزل+تَتَنَزَّلُ
