word,prefixes,stem,suffixes,frequency,stability,n_variants
بَنِي,,بن,ي,31,1.0,1
وَلَمَّا,و,لما,,31,1.0,1
تَرَ,ت,ر,,31,1.0,1
الْقَوْمِ,ال,قوم,,31,1.0,1
الْأَوَّلِينَ,ال,أول,ين,31,1.0,1
رَبِّكُمَا,,رب,كما,31,1.0,1
تُكَذِّبَانِ,ت,كذب,ان,31,1.0,1
الْمُحْسِنِينَ,ال,محسن,ين,30,1.0,1
جَاءَهُمْ,,جاء,هم,30,1.0,1
فَإِنَّمَا,ف,إنما+None+None,,30,1.0,1
وَلَئِنْ,و,ل+ئن,,30,1.0,1
اللَّيْلِ,ال,ليل,,30,1.0,1
قُلِ,,قل,,30,1.0,1
حَيْثُ,,حيث,,29,1.0,1
جَعَلْنَا,,جعل,نا,29,1.0,1
لَآيَاتٍ,,ل+آي,ات,29,1.0,1
لَفِي,,ل+في,,29,1.0,1
بِكُمْ,ب,كم,,29,1.0,1
سَبِيلَاً,,سبيل,ا,29,1.0,1
بَيْنَهُمَا,,بين,(null)|هما,29,1.0,1
عِلْمٍ,,علم,,29,1.0,1
وَجَعَلَ,و,جعل,,29,1.0,1
قَبْلِكَ,,قبل,ك,28,1.0,1
وَأَمَّا,و,أما,,28,1.0,1
الْعَلِيمُ,ال,عليم,,28,1.0,1
الرَّحِيمُ,ال,رحيم,,28,1.0,1
مَرْيَمَ,,مريم,,28,1.0,1
أَبَدَاً,,أبد,ا,28,1.0,1
تِلْكَ,,تلك,,28,1.0,1
الْآيَاتِ,ال,آي,ات,28,1.0,1
الْعَذَابَ,ال,عذاب,,28,1.0,1
فَهُوَ,ف,هو,,28,1.0,1
يَوْمٍ,,يوم,(null),28,1.0,1
وَيَقُولُونَ,و|ي,قول+ون+None+None,,28,1.0,1
وَرَسُولَهُ,و,رسول,ه,28,0.714,3
الدِّينِ,ال,دين,,27,1.0,1
هُدَىً,,هدي,,27,1.0,1
مَاءً,,ماء,,27,1.0,1
فَقَالَ,ف,قال,,27,1.0,1
آيَاتِهِ,,آي,ات|ه,27,1.0,1
الْجَنَّةِ,ال,جن,ة,27,1.0,1
كَانَتْ,,كان,ت,27,1.0,1
بَصِيرٌ,,بصير,,27,1.0,1
أَنْفُسِهِمْ,,أنفس,هم,27,1.0,1
وَلِلَّهِ,و|ل,له,,27,1.0,1
لَمِنَ,,ل,من,27,0.963,2
يَكُنْ,ي,كن,,27,1.0,1
وَإِلَى,,و,إلى,27,1.0,1
أَوْلِيَاءَ,,أولياء,,27,1.0,1
ضَلَالٍ,,ضلال,,27,1.0,1
الْإِنْسَانُ,ال,إنسان,(null),27,1.0,1
قَوْمِهِ,,قوم,ه,27,1.0,1
الْإِنْسَانَ,ال,إنسان,(null),27,1.0,1
الْحَمْدُ,ال,حمد,,26,1.0,1
آمَنَ,,آمن,,26,1.0,1
مَعَكُمْ,,مع,كم,26,1.0,1
فَضْلِهِ,,فضل,ه,26,1.0,1
إِذَاً,,إذا,,26,1.0,1
الْقَوْمَ,ال,قوم,,26,1.0,1
إِلَيْكُمْ,إلي,كم,,26,1.0,1
عَاقِبَةُ,,عاقب,ة|(null),26,1.0,1
فَسَوْفَ,ف,سوف,,26,1.0,1
قَوْمٌ,,قوم,(null),26,1.0,1
وَأُولَئِكَ,W,أولئك,,25,1.0,1
وَمِنْهُمْ,و|من,هم,,25,0.96,2
أَيْدِيهِمْ,,أيدي,(null)|هم,25,1.0,1
أَنْزَلْنَا,,أنزل,نا,25,1.0,1
ذُو,,ذو,,25,1.0,1
قَبْلِ,,قبل,,25,1.0,1
أَكْثَرَ,,أكثر,,25,1.0,1
اللَّيْلَ,ال,ليل,,25,1.0,1
إِلَيَّ,إلى,ي,,25,1.0,1
أُمَّةٍ,,أم,ة,25,1.0,1
لِكُلِّ,ل,كل,,25,1.0,1
لَئِنْ,,ل+ئن,,25,1.0,1
خَالِدُونَ,,خالد,ون,24,1.0,1
عَنْهَا,عن,ها,,24,1.0,1
الْحَقَّ,ال,حق,,24,1.0,1
الزَّكَاةَ,ال,زكا,ة,24,1.0,1
تَعْقِلُونَ,ت,عقل,ون,24,0.917,2
يَامُوسَى,يا,موسى,,24,1.0,1
بِأَنَّهُمْ,ب,أن,هم,24,0.792,3
بِالْبَيِّنَاتِ,ب|ال,بين,ات,24,0.958,2
الْمُشْرِكِينَ,ال,مشرك,ين,24,1.0,1
فِيمَا,في,ما,,24,1.0,1
وَإِنَّهُ,و,أن,ه,24,0.833,2
الظَّالِمُونَ,ال,ظالم,ون,24,1.0,1
وَلَوْلَا,و,لولا,,24,1.0,1
الْمُرْسَلِينَ,ال,مرسل,ين,24,1.0,1
وَرَسُولِهِ,و,رسول,ه,24,0.75,4
قَالَتْ,,قال,ت,24,1.0,1
يَرَوْا,ي,ر,وا,24,1.0,1
الْآخِرِ,ال,آخر,(null),23,1.0,1
لِلْكَافِرِينَ,ل|ال,كافر,ين,23,1.0,1
أَنَّهُ,,أن,ه,23,1.0,1
الْأَرْضُ,ال,أرض,(null),23,1.0,1
بَعْضُهُمْ,,بعض,هم,23,1.0,1
بِإِذْنِ,ب,إذن,,23,1.0,1
أَهْلِ,,أهل,(null),23,1.0,1
الْمَصِيرُ,ال,مصير,(null),23,1.0,1
أَجْمَعِينَ,,أجمع,ين,23,1.0,1
الْمُتَّقِينَ,ال,متق,ين,23,1.0,1
بَيْنَكُمْ,,بين,كم,23,1.0,1
عَزِيزٌ,,عزيز,,23,1.0,1
يَدْعُونَ,ي,دع,ون,23,0.913,2
خَبِيرٌ,,خبير,(null),23,1.0,1
آيَةً,,آي,ة|(null),23,1.0,1
وَلَهُ,و|ل,ه,,23,0.913,3
قَوْمٍ,,قوم,(null),23,1.0,1
نُوحٍ,,نوح,,23,1.0,1
فَهَلْ,ف,هل,,23,1.0,1
رَبُّ,,رب,,23,1.0,1
وَلَنْ,و,لن,,22,1.0,1
فَأَمَّا,ف,أما,,22,1.0,1
مَاذَا,,ماذا,,22,1.0,1
عَنْكُمْ,عن,كم,,22,1.0,1
فَلَنْ,ف,لن,,22,1.0,1
بَلَى,,بلى,,22,1.0,1
الْعَذَابُ,ال,عذاب,,22,1.0,1
عِبَادِهِ,,عباد,ه,22,1.0,1
أَكْثَرُهُمْ,,أكثر,هم,22,1.0,1
كُلٌّ,,كل,,22,1.0,1
الْهُدَى,ال,هدي,,22,1.0,1
رَسُولَاً,,رسول,ا,22,1.0,1
آيَاتِنَا,,آي,ات|نا,22,1.0,1
يَعْقِلُونَ,ي,عقل,ون,22,0.864,3
وَأَنْ,و,أن,,22,1.0,1
وَإِلَيْهِ,و|إلي,ه,,22,1.0,1
رَحْمَةً,,رحم,ة,22,1.0,1
الْمُؤْمِنُونَ,ال,مؤمن,ون,22,1.0,1
عَلِيمَاً,,عليم,ا,22,1.0,1
عَظِيمَاً,,عظيم,ا,22,1.0,1
أَجْرَاً,,أجر,ا,22,1.0,1
الْقُرْآنَ,ال,قرآن,,22,1.0,1
نَذِيرٌ,,نذير,,22,1.0,1
الرَّحْمَنِ,ال,رحمن,,21,1.0,1
يَشْعُرُونَ,ي,شعر,ون,21,0.905,2
تَكُونُوا,ت,كون,وا,21,1.0,1
وَالْيَوْمِ,و|ال,يوم,(null),21,1.0,1
عِنْدِ,,عند,,21,1.0,1
النَّارُ,ال,نار,,21,1.0,1
بِالْآخِرَةِ,ب|ال,آخر,ة,21,1.0,1
جَاءَكُمْ,,جاء,كم,21,1.0,1
رَسُولٌ,,رسول,,21,1.0,1
مِمَّنْ,من,من,,21,1.0,1
الرَّحْمَنُ,ال,رحمن,,21,1.0,1
آيَاتِ,,آي,ات,21,1.0,1
الْمَلَائِكَةُ,ال,ملائك,ة,21,1.0,1
مُسَمَّىً,,مسمى,,21,1.0,1
وَكَفَى,و,كفى,,21,1.0,1
عَسَى,,عسى,,21,1.0,1
اتَّخَذُوا,,اتخذ,وا,21,1.0,1
كَذَّبَ,,كذب,,21,1.0,1
خَلَقْنَا,,خلق,نا,21,1.0,1
يُنْفِقُونَ,ي,نفق,ون,20,0.95,2
مَثَلَاً,,مثل,ا,20,1.0,1
عَدُوٌّ,,عدو,(null),20,1.0,1
تَعْبُدُونَ,ت,عبد,ون,20,0.8,3
مُلْكُ,,ملك,(null),20,0.95,2
السَّبِيلِ,ال,سبيل,,20,1.0,1
تَوَلَّوْا,,تول,وا,20,0.95,2
مُسْتَقِيمٍ,,مستقيم,,20,1.0,1
شَهِيدَاً,,شهيد,ا,20,1.0,1
بِالْمَعْرُوفِ,ب|ال,معروف,,20,1.0,1
سَمِيعٌ,,سميع,,20,1.0,1
مَنِ,,من,,20,1.0,1
لَآيَةً,ل,آي,ة,20,1.0,1
خَيْرُ,,خير,(null),20,1.0,1
رَحِيمَاً,,رحيم,ا,20,1.0,1
غَفُورَاً,,غفور,ا,20,1.0,1
أَنِ,,أن,,20,1.0,1
غَيْرُ,,غير,(null),20,1.0,1
قَبْلَ,,قبل,,20,1.0,1
أَحَدَاً,,أحد,ا,20,1.0,1
أَخَافُ,أ,خاف,,20,1.0,1
عَمِلُوا,,عمل,وا,20,1.0,1
نَارَاً,,نار,ا,19,1.0,1
تَتَّقُونَ,ت,تق,ون,19,0.842,3
تُرْجَعُونَ,ت,رجع,ون,19,1.0,1
بَعْدِهِ,,بعد,ه,19,1.0,1
تَشْكُرُونَ,ت,شكر,و|ن,19,1.0,1
آتَيْنَا,,آتي,نا,19,1.0,1
قَوْلَاً,,قول,ا,19,1.0,1
يَسْمَعُونَ,ي,سمع,ون,19,0.895,2
الْعَظِيمِ,ال,عظيم,,19,1.0,1
السَّمِيعُ,ال,سميع,,19,1.0,1
الصَّالِحِينَ,ال,صالح,ين,19,1.0,1
إِلَيْنَا,إلي,نا,,19,1.0,1
عِنْدَهُ,,عند,ح,19,1.0,1
صِرَاطٍ,,صراط,,19,1.0,1
الشَّيْطَانِ,ال,شيطان,,19,1.0,1
يَنْظُرُونَ,ي,نظر,ون,19,0.842,3
قَرْيَةٍ,,قري,ة|(null),19,1.0,1
رَبَّهُ,,رب,ه,19,1.0,1
الْغَيْبِ,ال,غيب,,19,1.0,1
تَكُنْ,ت,كن,,19,1.0,1
أَنَّمَا,,أنما,,19,1.0,1
ذِي,,ذي,,19,1.0,1
تَرَى,ت,ري,,19,1.0,1
سَلَامٌ,,سلام,(null),19,1.0,1
الْمُجْرِمِينَ,ال,مجرم,ين,19,1.0,1
نَشَاءُ,ن,شاء,,19,1.0,1
نَجْزِي,ن,جزي,,19,1.0,1
الْعَرْشِ,ال,عرش,,19,1.0,1
يُشْرِكُونَ,ي,شرك,ون,19,1.0,1
لِلْمُتَّقِينَ,ل|ال,متق,ين,18,1.0,1
قَبْلِكُمْ,,قبل,كم,18,1.0,1
أَرَادَ,,أراد,(null),18,1.0,1
الْجَنَّةَ,ال,جن,ة,18,1.0,1
عَلَيْكُمُ,على,كم,,18,1.0,1
أَشَدُّ,,أشد,(null),18,1.0,1
كِتَابٌ,,كتاب,(null),18,1.0,1
كَفَرَ,,كفر,,18,1.0,1
ضَلَّ,,ضل,,18,1.0,1
قُلُوبُهُمْ,,قلوب,(null)|هم,18,1.0,1
وَأَنَا,و,أنا,,18,1.0,1
إِلَهٌ,,إله,,18,1.0,1
أَيَّامٍ,,أيام,(null),18,1.0,1
يَتَّقُونَ,ي,تق,ون,18,0.944,2
وَاعْلَمُوا,و,ا+علم,وا,18,1.0,1
جَهَنَّمُ,,جهنم,,18,1.0,1
وَاحِدَةً,,واحد,ة|(null),18,1.0,1
يُؤْمِنُ,ي,ؤمن,,18,1.0,1
حَسَنَاً,,حسن,ا,18,1.0,1
يَكُونُ,ي,كون,,18,1.0,1
الْعَزِيزِ,ال,عزيز,,18,1.0,1
عَظِيمٍ,,عظيم,,18,1.0,1
فَقَالُوا,ف,قال,وا,18,0.889,2
اعْبُدُوا,,ا+عبد,وا,17,1.0,1
فَاتَّقُوا,ف,اتق,وا,17,0.824,2
وَلَكُمْ,و|ل,كم,,17,0.882,3
أَنْفُسَكُمْ,,أنفس,كم,17,1.0,1
يَدَيْهِ,,يد,ي|ه,17,1.0,1
مِثْلَ,,مثل,,17,1.0,1
أَمْرَاً,,أمر,ا,17,1.0,1
الْجَحِيمِ,ال,جحيم,,17,1.0,1
رَبُّنَا,,رب,(null)|نا,17,1.0,1
الرَّسُولَ,ال,رسول,,17,1.0,1
يَكُونَ,ي,كون,,17,1.0,1
أَعْمَالَهُمْ,,أعمال,هم,17,1.0,1
حَرَّمَ,,حرم,,17,1.0,1
حَقَّاً,,حق,ا,17,1.0,1
بَعْدِهِمْ,,بعد,هم,17,1.0,1
كَبِيرَاً,,كبير,ا,17,1.0,1
رَبِّنَا,,رب,(null)|نا,17,1.0,1
وَقُلْ,و,قل,,17,1.0,1
يَفْتَرُونَ,ي,فتر,ون,17,0.824,3
لَهُوَ,,ل+هو,,17,1.0,1
النَّبِيُّ,ال,نبي,,17,1.0,1
نَفْسِهِ,,نفس,(null)|ه,17,1.0,1
رَبَّهُمْ,,رب,هم,17,1.0,1
أَنَّا,,أنا,,17,1.0,1
وَعْدَ,,وعد,(null),17,1.0,1
الْكَافِرُونَ,ال,كافر,ون,17,1.0,1
الصَّادِقِينَ,ال,صادق,ين,17,1.0,1
الْقُرَى,ال,قرى,,17,1.0,1
تَذَكَّرُونَ,,تذكر+ون+None+None,,17,1.0,1
فِرْعَوْنُ,,فرعون,,17,1.0,1
يَرْجِعُونَ,ي,رجع,ون,16,0.938,2
