priority,topic_id,operator,vocalized_form,meaning_id,meaning_ar,syntactic_effect,semantic_field,conditions,exceptions,warnings,example_constructed,example_quran,surah_ayah,author_position,disagreement,source_part,source_page,confidence
14,PRONOUN,ت,ْتَ,2ND_SG_M_PV_SUFFIX,ضَمير المُخاطَب المُذَكَّر مَع الماضي,raf3_muttasil,reference_to_addressee_past_m,يَلحَق بِالماضي,,,قُمتَ,أَنْتَ عَلَّمْتَنِي,البقرة:32,reported,,1,40,0.92
15,PRONOUN,نا,نَا,1ST_PL_SUFFIX,ضَمير المُتَكَلِّمين أَو المُعَظِّم نَفسَه — يَتَّصِل في حالات الإِعراب الثَّلاث,raf3_or_nasb_or_jar,reference_to_speaker_pl,,,تَكون لِلواحِد المُعَظِّم،,قُمنا — رَأَيتَنا — كِتابُنا,إِنَّا نَحْنُ نَزَّلْنَا,الحجر:9,preferred,قَد يُلتَبَس مَع نا الفاعِلين،,1,40,0.9
16,PRONOUN,ي,ي,1ST_SG_NASB_JARR,ياء المُتَكَلِّم لِلنَّصب وَ الجَرّ,nasb_or_jar,reference_to_speaker_object,,,يَلحَق بِنون الوِقايَة قَبل الفِعل,رَأَيتَني — كِتابي,إِنِّي أَنَا اللَّهُ,طه:14,preferred,,1,42,0.9
17,PRONOUN,ك,كَ,2ND_SG_M_NASB_JARR,كاف المُخاطَب لِلنَّصب وَ الجَرّ,nasb_or_jar,reference_to_addressee_m,,,لَيسَت كاف الخِطاب في «إِيَّاكَ»،,رَأَيتُكَ — كِتابُكَ,إِيَّاكَ نَعْبُدُ,الفاتحة:5,preferred,خِلاف في الكاف بَعد إِيَّا،,1,42,0.92
18,PRONOUN,ها,هَا,3RD_SG_F_NASB_JARR,هاء الغائِبَة لِلنَّصب وَ الجَرّ,nasb_or_jar,reference_to_absent_f,,,قَد تَعود عَلى جَمع غَير عاقِل,رَأَيتُها — كِتابُها,فَأَلْهَمَهَا فُجُورَهَا,الشمس:8,preferred,,1,42,0.92
19,PRONOUN,ه,هُ,3RD_SG_M_NASB_JARR,هاء الغائِب لِلنَّصب وَ الجَرّ,nasb_or_jar,reference_to_absent_m,,,تُكسَر مَع الياء (ـهِ),رَأَيتُهُ — كِتابُهُ,سَخَّرَهُ لَكُمْ,البقرة:185,preferred,,1,42,0.92
20,PRONOUN,هُم,هُمْ,3RD_PL_M_NASB_JARR,هُم لِلجَمع المُذَكَّر الغائِب نَصبًا وَ جَرًّا,nasb_or_jar,reference_to_absent_m_pl,,,تُكسَر مَع الياء (ـهِم),رَأَيتُهُم — كِتابُهُم,قَدْ أَفْلَحَ الْمُؤْمِنُونَ,المؤمنون:1,preferred,,1,42,0.92
21,PRONOUN_SHAAN,هُوَ,هُوَ,SHAAN_3RD_M,ضَمير الشَّأن المُذَكَّر — ضَمير غامِض يُبهَم مَعناه وَ يُفَسِّره ما بَعدَه,raf3_mubtada,topic_introducer,يَأتي مُبتَدَأ، وَ يُفَسِّر بِجُملَة بَعدَه,,لا تَأَكِّد بِهِ شَيء قَبله،,هُوَ زَيدٌ قائِمٌ,قُلْ هُوَ اللَّهُ أَحَدٌ,الإخلاص:1,preferred,خِلاف هَل هو ضَمير شَأن أَو مُبتَدَأ عاديّ،,1,57,0.9
22,PRONOUN_SHAAN,هِيَ,هِيَ,SHAAN_3RD_F,ضَمير الشَّأن المُؤَنَّث — يُسَمَّى ضَمير القِصَّة,raf3_mubtada,topic_introducer_f,يُفَسَّر بِجُملَة اسميَّة عادَةً,,يَأتي حَيث يَكون المَوضوع مُؤَنَّثًا,هِيَ الحَياةُ تَجري,فَإِنَّهَا لَا تَعْمَى الْأَبْصَارُ,الحج:46,preferred,قَد يَختَلِف النَّحاة في الإِعراب،,1,57,0.88
23,PRONOUN_SHAAN,إِنَّهُ,إِنَّهُ,SHAAN_INNAH,ضَمير الشَّأن المَنصوب بَعد إِنَّ,nasb_isim_inna,topic_introducer_inna,بَعد إِنَّ أَو إِحدى أَخواتها,,يَختَلِف عَن إِنَّ زَيدًا,إِنَّهُ زَيدٌ قائِمٌ,إِنَّهُ هُوَ السَّمِيعُ الْعَلِيمُ,الأنفال:53,preferred,,1,58,0.9
24,PRONOUN_SHAAN,كَأَنَّهُ,كَأَنَّهُ,SHAAN_KA_ANNAH,ضَمير الشَّأن مَع كَأَنَّ,nasb_isim_kaanna,topic_introducer_kaanna,بَعد كَأَنَّ,,,كَأَنَّهُ السَّماءُ تُمطِر,كَأَنَّهُمْ خُشُبٌ مُسَنَّدَةٌ,المنافقون:4,reported,,1,58,0.88
25,PRONOUN_MUNFASIL_NASB,إِيَّايَ,إِيَّايَ,1ST_SG_NASB_MUNFASIL,إِيَّايَ — ضَمير المُتَكَلِّم المُفرَد المُنفَصِل في مَوضِع نَصب,nasb_munfasil,reference_to_speaker_object,يَكون مَفعولًا بِه مُقَدَّمًا غالِبًا,,لا يَنوب عَن المُتَّصِل إِلّا لِغَرَض (تَقديم، حَصر، تَعَذُّر اتِّصال),إِيَّايَ ارهَبوا,وَإِيَّايَ فَارْهَبُونِ,البقرة:40,preferred,,1,45,0.95
26,PRONOUN_MUNFASIL_NASB,إِيَّانا,إِيَّانَا,1ST_PL_NASB_MUNFASIL,إِيَّانا — ضَمير المُتَكَلِّمين المُنفَصِل في مَوضِع نَصب,nasb_munfasil,reference_to_speaker_plural_object,يَكون مَفعولًا بِه مُقَدَّمًا,,لا يَنوب عَن المُتَّصِل إِلّا لِغَرَض,إِيَّانا أَنذَرَ,,—,preferred,,1,45,0.92
27,PRONOUN_MUNFASIL_NASB,إِيَّاكَ,إِيَّاكَ,2ND_SG_M_NASB_MUNFASIL,إِيَّاكَ — ضَمير المُخاطَب المُذَكَّر المُفرَد المُنفَصِل في مَوضِع نَصب,nasb_munfasil,reference_to_addressee_m_object,يَكون مَفعولًا بِه مُقَدَّمًا لِلِاختِصاص أَو الحَصر,قَد يَكون لِلتَّحذير,التَّفريق بَين إِيَّا الِاختِصاص وَ التَّحذير سياقيّ,إِيَّاكَ أَعني,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,الفاتحة:5,preferred,خِلاف في تَركيب «إِيَّا+كاف» هَل اسم أَم ضَمير،,1,45,0.95
28,PRONOUN_MUNFASIL_NASB,إِيَّاكِ,إِيَّاكِ,2ND_SG_F_NASB_MUNFASIL,إِيَّاكِ — ضَمير المُخاطَبَة المُؤَنَّثَة المُفرَدَة المُنفَصِل في مَوضِع نَصب,nasb_munfasil,reference_to_addressee_f_object,يَكون مَفعولًا بِه مُقَدَّمًا,,نَفس حُكم إِيَّاكَ بِكَسر الكاف,إِيَّاكِ أَعني,,—,preferred,,1,45,0.92
29,PRONOUN_MUNFASIL_NASB,إِيَّاكُما,إِيَّاكُمَا,2ND_DU_NASB_MUNFASIL,إِيَّاكُما — ضَمير المُخاطَبَين المُنفَصِل في مَوضِع نَصب,nasb_munfasil,reference_to_addressee_dual_object,يَكون مَفعولًا بِه مُقَدَّمًا,,,إِيَّاكُما أَعني,,—,preferred,,1,45,0.92
30,PRONOUN_MUNFASIL_NASB,إِيَّاكُم,إِيَّاكُمْ,2ND_PL_M_NASB_MUNFASIL,إِيَّاكُم — ضَمير المُخاطَبين المُذَكَّر الجَمع المُنفَصِل في مَوضِع نَصب,nasb_munfasil,reference_to_addressee_pl_m_object,يَكون مَفعولًا بِه مُقَدَّمًا،,شائِع في التَّحذير,تَفريق سياقيّ بَين الِاختِصاص وَ التَّحذير,إِيَّاكُم وَ الكَذِبَ (تَحذير),إِيَّاكُمْ وَالظَّنَّ,(حديث),preferred,,1,45,0.95
31,PRONOUN_MUNFASIL_NASB,إِيَّاكُنَّ,إِيَّاكُنَّ,2ND_PL_F_NASB_MUNFASIL,إِيَّاكُنَّ — ضَمير المُخاطَبات المُؤَنَّث الجَمع المُنفَصِل في مَوضِع نَصب,nasb_munfasil,reference_to_addressee_pl_f_object,يَكون مَفعولًا بِه مُقَدَّمًا,,,إِيَّاكُنَّ أَعني,,—,preferred,,1,45,0.92
32,PRONOUN_MUNFASIL_NASB,إِيَّاهُ,إِيَّاهُ,3RD_SG_M_NASB_MUNFASIL,إِيَّاهُ — ضَمير الغائِب المُذَكَّر المُفرَد المُنفَصِل في مَوضِع نَصب,nasb_munfasil,reference_to_absent_m_object,يَكون مَفعولًا بِه مُقَدَّمًا لِلِاختِصاص,,,إِيَّاهُ نَعبُدُ,إِيَّاهُ تَدْعُونَ,الأنعام:41,preferred,,1,45,0.95
33,PRONOUN_MUNFASIL_NASB,إِيَّاها,إِيَّاهَا,3RD_SG_F_NASB_MUNFASIL,إِيَّاها — ضَمير الغائِبَة المُؤَنَّثَة المُفرَدَة المُنفَصِل في مَوضِع نَصب,nasb_munfasil,reference_to_absent_f_object,يَكون مَفعولًا بِه مُقَدَّمًا,,,إِيَّاها أَعني,,—,preferred,,1,45,0.92
34,PRONOUN_MUNFASIL_NASB,إِيَّاهُما,إِيَّاهُمَا,3RD_DU_NASB_MUNFASIL,إِيَّاهُما — ضَمير الغائِبَين المُنفَصِل في مَوضِع نَصب,nasb_munfasil,reference_to_absent_dual_object,يَكون مَفعولًا بِه مُقَدَّمًا,,,إِيَّاهُما أَعني,,—,preferred,,1,45,0.92
35,PRONOUN_MUNFASIL_NASB,إِيَّاهُم,إِيَّاهُمْ,3RD_PL_M_NASB_MUNFASIL,إِيَّاهُم — ضَمير الغائِبين المُذَكَّر الجَمع المُنفَصِل في مَوضِع نَصب,nasb_munfasil,reference_to_absent_pl_m_object,يَكون مَفعولًا بِه مُقَدَّمًا,,,إِيَّاهُم أَعني,,—,preferred,,1,45,0.92
36,PRONOUN_MUNFASIL_NASB,إِيَّاهُنَّ,إِيَّاهُنَّ,3RD_PL_F_NASB_MUNFASIL,إِيَّاهُنَّ — ضَمير الغائِبات المُؤَنَّث الجَمع المُنفَصِل في مَوضِع نَصب,nasb_munfasil,reference_to_absent_pl_f_object,يَكون مَفعولًا بِه مُقَدَّمًا,,,إِيَّاهُنَّ أَعني,,—,preferred,,1,45,0.92
