Word,Without_Diacritics,Count,Root,Wazn,Status,Source_Of_Claim
تُرْجَعُونَ,ترجعون,57,رجع,تُفْعَل,open_class,wazn_alignment:تُفْعَل
جَاءَ,جاء,57,جوء,فَالَ,open_class,wazn_alignment:فَالَ
يُشْرِكُونَ,يشركون,57,شرك,يُفْعِل,open_class,wazn_alignment:يُفْعِل
أَبَدَاً,أبدا,56,أبد,فَعَل,open_class,wazn_alignment:فَعَل
أُنْزِلَ,أنزل,56,نزل,أُفْعِل,open_class,wazn_alignment:أُفْعِل
الرَّحِيمُ,الرحيم,56,رحم,فَعِيل,open_class,wazn_alignment:فَعِيل
الْعَذَابَ,العذاب,56,عذاب,فَفَعَل,open_class,wazn_alignment:فَفَعَل
الْعَلِيمُ,العليم,56,علم,فَعِيل,open_class,wazn_alignment:فَعِيل
قَبْلِكَ,قبلك,56,قبل,فَعْل,open_class,wazn_alignment:فَعْل
يَوْمٍ,يوم,56,يوم,فَعْل,open_class,wazn_alignment:فَعْل
يَتَّقُونَ,يتقون,55,يتق,فَعَّل,open_class,wazn_alignment:فَعَّل
يَفْتَرُونَ,يفترون,55,فتر,يَفْعَلُونَ,open_class,wazn_alignment:يَفْعَلُونَ
أَنْفُسِهِمْ,أنفسهم,54,نفس,أَفْعُل,open_class,wazn_alignment:أَفْعُل
الدِّينِ,الدين,54,إلد,فِعَل,open_class,wazn_alignment:فِعَل
جَهَنَّمَ,جهنم,54,جهنم,فَفَعَّل,open_class,wazn_alignment:فَفَعَّل
كَانَتْ,كانت,54,كون,فَالَتْ,open_class,wazn_alignment:فَالَتْ
وَاحِدَةً,واحدة,54,وحد,فَاعِلَة,open_class,wazn_alignment:فَاعِلَة
يَسْأَلُونَكَ,يسألونك,54,سأل,يَفْعَلُونَ,open_class,wazn_alignment:يَفْعَلُونَ
السَّاعَةُ,الساعة,52,سعة,فَأَعل,open_class,wazn_alignment:فَأَعل
الْحَمْدُ,الحمد,52,حمد,فَعْل,open_class,wazn_alignment:فَعْل
فَضْلِهِ,فضله,52,فضل,فَعْلِهِ,open_class,wazn_alignment:فَعْلِهِ
اعْبُدُوا,اعبدوا,51,أعبد,فُعْلُل,open_class,wazn_alignment:فُعْلُل
الصَّادِقِينَ,الصادقين,51,صدق,فَاعِل,open_class,wazn_alignment:فَاعِل
الْكَافِرُونَ,الكافرون,51,كفر,فَاعِلُون,open_class,wazn_alignment:فَاعِلُون
غَفُورٌ,غفور,51,غفر,فَعُول,open_class,wazn_alignment:فَعُول
نَفْسِهِ,نفسه,51,فسه,نَفْعِل,open_class,wazn_alignment:نَفْعِل
أَنْزَلَ,أنزل,50,أزل,فَنْعَل,open_class,wazn_alignment:فَنْعَل
أَنْزَلْنَا,أنزلنا,50,نزل,أَفْعَلْ,open_class,wazn_alignment:أَفْعَلْ
اللَّيْلَ,الليل,50,ليل,فَعْل,open_class,wazn_alignment:فَعْل
يَرْجِعُونَ,يرجعون,50,رجع,يَفْعِلُونَ,open_class,wazn_alignment:يَفْعِلُونَ
السَّاعَةَ,الساعة,48,سعة,فَأَعل,open_class,wazn_alignment:فَأَعل
الْحَقَّ,الحق,48,حقق,فَعَّ,open_class,wazn_alignment:فَعَّ
خَالِدُونَ,خالدون,48,خلد,فَاعِلُون,open_class,wazn_alignment:فَاعِلُون
فِرْعَوْنَ,فرعون,48,فرع,فِعْل,open_class,wazn_alignment:فِعْل
قَالَتْ,قالت,48,قول,فَالَتْ,open_class,wazn_alignment:فَالَتْ
كُلَّ,كل,47,كلل,فُعَّ,open_class,wazn_alignment:فُعَّ
كُلُّ,كل,47,كلل,فُعُّ,open_class,wazn_alignment:فُعُّ
يَسْتَطِيعُونَ,يستطيعون,47,طيع,يَسْتَفعِل,open_class,wazn_alignment:يَسْتَفعِل
أَجْمَعِينَ,أجمعين,46,جمع,أَفْعَل,open_class,wazn_alignment:أَفْعَل
بَعْضُهُمْ,بعضهم,46,بعض,فَعْل,open_class,wazn_alignment:فَعْل
بَيْنَكُمْ,بينكم,46,بين,فَعْل,open_class,wazn_alignment:فَعْل
خَبِيرٌ,خبير,46,خبر,فَعِيل,open_class,wazn_alignment:فَعِيل
الْمُبِينُ,المبين,45,مبن,فُعِيل,open_class,wazn_alignment:فُعِيل
الْمُنَافِقِينَ,المنافقين,45,نفق,مُفَاعِل,open_class,wazn_alignment:مُفَاعِل
تَقُولُوا,تقولوا,45,قلو,تَفُولُوا,open_class,wazn_alignment:تَفُولُوا
مُبِينٌ,مبين,45,مبن,فُعِيل,open_class,wazn_alignment:فُعِيل
يُظْلَمُونَ,يظلمون,45,ظلم,يُفْعَل,open_class,wazn_alignment:يُفْعَل
أَجْرَاً,أجرا,44,أجر,فَعْل,open_class,wazn_alignment:فَعْل
أَكْثَرُهُمْ,أكثرهم,44,كثر,أَفْعَل,open_class,wazn_alignment:أَفْعَل
الْآخِرَةَ,الآخرة,44,ءخر,فَاعِلَة,open_class,wazn_alignment:فَاعِلَة
الْحَيَاةَ,الحياة,44,حيا,فَعَلَة,open_class,wazn_alignment:فَعَلَة
الْعَذَابُ,العذاب,44,عذاب,فَفَعَل,open_class,wazn_alignment:فَفَعَل
الْهُدَى,الهدى,44,هدى,فُعل,open_class,wazn_alignment:فُعل
رَحْمَةً,رحمة,44,رحم,فَعْلَة,open_class,wazn_alignment:فَعْلَة
عَظِيمَاً,عظيما,44,عظم,فَعِيل,open_class,wazn_alignment:فَعِيل
عَلِيمَاً,عليما,44,علم,فَعِيل,open_class,wazn_alignment:فَعِيل
يَفْقَهُونَ,يفقهون,44,فقه,يَفْعَلُونَ,open_class,wazn_alignment:يَفْعَلُونَ
يَكْسِبُونَ,يكسبون,43,كسب,يَفْعِلُونَ,open_class,wazn_alignment:يَفْعِلُونَ
آيَاتِ,آيات,42,ءوي,فَالَا,open_class,wazn_alignment:فَالَا
الرَّحْمَنُ,الرحمن,42,رحم,فَعْلَان,open_class,wazn_alignment:فَعْل
الرَّحْمَنِ,الرحمن,42,رحم,فَعْلَان,open_class,wazn_alignment:فَعْل
الْمَوْتِ,الموت,42,لمو,إِفْعَلْ,open_class,wazn_alignment:إِفْعَلْ
جَاءَكُمْ,جاءكم,42,جاو,فَعَاكُمْ,open_class,wazn_alignment:فَعَاكُمْ
خَلَقْنَا,خلقنا,42,خلق,فَعَلْنَا,open_class,wazn_alignment:فَعَلْنَا
يَسْتَهْزِئُونَ,يستهزئون,42,هزئ,يَسْتَفْعِل,open_class,wazn_alignment:يَسْتَفْعِل
إِسْرَائِيلَ,إسرائيل,41,إسرل,فِعْلَآءِيل,open_class,wazn_alignment:فِعْلَآءِيل
تَوَلَّوْا,تولوا,41,لوا,تَوَفَّعْل,open_class,wazn_alignment:تَوَفَّعْل
يُرِيدُونَ,يريدون,41,ردو,يُفِيعُل,open_class,wazn_alignment:يُفِيعُل
أَحَدَاً,أحدا,40,أحد,فَعَل,open_class,wazn_alignment:فَعَل
أَخَافُ,أخاف,40,خاف,أَفَعُل,open_class,wazn_alignment:أَفَعُل
السَّاعَةِ,الساعة,40,سعة,فَأَعل,open_class,wazn_alignment:فَأَعل
السَّبِيلِ,السبيل,40,سبل,فَعِيل,open_class,wazn_alignment:فَعِيل
خَيْرُ,خير,40,خير,فَعْل,open_class,wazn_alignment:فَعْل
رَحِيمَاً,رحيما,40,رحم,فَعِيل,open_class,wazn_alignment:فَعِيل
عَمِلُوا,عملوا,40,عمل,فَعِلُوا,open_class,wazn_alignment:فَعِلُوا
غَفُورَاً,غفورا,40,غفر,فَعُول,open_class,wazn_alignment:فَعُول
غَيْرُ,غير,40,غير,فَعْل,open_class,wazn_alignment:فَعْل
مَثَلَاً,مثلا,40,مثل,فَعَل,open_class,wazn_alignment:فَعَل
يَحْزَنُونَ,يحزنون,40,حزن,يَفْعَلُونَ,open_class,wazn_alignment:يَفْعَلُونَ
يَظْلِمُونَ,يظلمون,40,ظلم,يَفْعِلُونَ,open_class,wazn_alignment:يَفْعِلُونَ
يَفْعَلُونَ,يفعلون,40,فعل,يَفْعَلُونَ,open_class,wazn_alignment:يَفْعَلُونَ
ادْخُلُوا,ادخلوا,39,أدخل,فُعْلُل,open_class,wazn_alignment:فُعْلُل
السَّيِّئَاتِ,السيئات,39,سيئ,فَعِّل,open_class,wazn_alignment:فَعِّل
الْخَاسِرِينَ,الخاسرين,39,خسر,فَاعِل,open_class,wazn_alignment:فَاعِل
الْمُجْرِمُونَ,المجرمون,39,جرم,مُفْعِلُون,open_class,wazn_alignment:مُفْعِلُون
تَتَّخِذُوا,تتخذوا,39,خذو,تَتَّفِعُل,open_class,wazn_alignment:تَتَّفِعُل
تُوعَدُونَ,توعدون,39,توعد,فُفَعل,open_class,wazn_alignment:فُفَعل
رَحْمَتِهِ,رحمته,39,رحم,فَعْل,open_class,wazn_alignment:فَعْل
مُبِينٍ,مبين,39,مبن,فُعِيل,open_class,wazn_alignment:فُعِيل
مُلْكُ,ملك,39,ملك,فُعْل,open_class,wazn_alignment:فُعْل
يَكُونُوا,يكونوا,39,كنو,يَفُولُوا,open_class,wazn_alignment:يَفُولُوا
آتَيْنَا,آتينا,38,اتن,أَفَعَيْل,open_class,wazn_alignment:أَفَعَيْل
السَّمِيعُ,السميع,38,سمع,فَعِيل,open_class,wazn_alignment:فَعِيل
الْعَظِيمِ,العظيم,38,عظم,فَعِيل,open_class,wazn_alignment:فَعِيل
الْغَيْبِ,الغيب,38,غيب,فَعْل,open_class,wazn_alignment:فَعْل
بَعْدِهِ,بعده,38,بعد,فَعْلِهِ,open_class,wazn_alignment:فَعْلِهِ
تَرَى,ترى,38,ترى,فَعَل,open_class,wazn_alignment:فَعَل
سَلَامٌ,سلام,38,لوم,فَاعٍ,open_class,wazn_alignment:فَاعٍ
عِنْدَهُ,عنده,38,عند,فِعْل,open_class,wazn_alignment:فِعْل
قَوْلَاً,قولا,38,قول,فَعْل,open_class,wazn_alignment:فَعْل
نَجْزِي,نجزي,38,جزي,نَفْعِل,open_class,wazn_alignment:نَفْعِل
نَشَاءُ,نشاء,38,نشاء,فَفَعَل,open_class,wazn_alignment:فَفَعَل
يَكْفُرُونَ,يكفرون,38,كفر,يَفْعُلُونَ,open_class,wazn_alignment:يَفْعُلُونَ
عَذَابَ,عذاب,37,عذاب,فَفَعَل,open_class,wazn_alignment:فَفَعَل
قَدِيرٌ,قدير,37,قدر,فَعِيل,open_class,wazn_alignment:فَعِيل
آيَاتُنَا,آياتنا,36,ءوي,فَالَا,open_class,wazn_alignment:فَالَا
آيَةٍ,آية,36,اية,أَفَعَل,open_class,wazn_alignment:أَفَعَل
أَرَادَ,أراد,36,راد,أَفَعُل,open_class,wazn_alignment:أَفَعُل
أَشَدُّ,أشد,36,شدد,أَفَعُّ,open_class,wazn_alignment:أَفَعُّ
أَيَّامٍ,أيام,36,أيم,فَعَّال,open_class,wazn_alignment:فَعَّال
الظُّلُمَاتِ,الظلمات,36,ظلم,فُعُل,open_class,wazn_alignment:فُعُل
الْعَزِيزِ,العزيز,36,عزز,فَعِيل,open_class,wazn_alignment:فَعِيل
الْمُفْلِحُونَ,المفلحون,36,فلح,مُفْعِلُون,open_class,wazn_alignment:مُفْعِلُون
حَسَنَاً,حسنا,36,حسن,فَعَل,open_class,wazn_alignment:فَعَل
قَبْلِكُمْ,قبلكم,36,قبل,فَعْل,open_class,wazn_alignment:فَعْل
قُوَّةً,قوة,36,قوة,فُعَّل,open_class,wazn_alignment:فُعَّل
يَرْجُونَ,يرجون,36,رجو,يَفْعُونَ,open_class,wazn_alignment:يَفْعُونَ
يَكُونُ,يكون,36,يكن,فَعُول,open_class,wazn_alignment:فَعُول
يُؤْمِنُ,يؤمن,36,ؤمن,يُفْعِل,open_class,wazn_alignment:يُفْعِل
يُؤْمِنُوا,يؤمنوا,36,ؤمن,يُفْعِل,open_class,wazn_alignment:يُفْعِل
يُنْصَرُونَ,ينصرون,36,نصر,يُفْعَل,open_class,wazn_alignment:يُفْعَل
تَكْفُرُونَ,تكفرون,35,كفر,تَفْعُلُونَ,open_class,wazn_alignment:تَفْعُلُونَ
أَعْمَالَهُمْ,أعمالهم,34,عمل,أَفْعَال,open_class,wazn_alignment:أَفْعَال
أَمْرَاً,أمرا,34,أمر,فَعْل,open_class,wazn_alignment:فَعْل
أَنْفُسَكُمْ,أنفسكم,34,نفس,أَفْعُل,open_class,wazn_alignment:أَفْعُل
بَعْدِهِمْ,بعدهم,34,بعد,فَعْل,open_class,wazn_alignment:فَعْل
تُفْلِحُونَ,تفلحون,34,فلح,تُفْعِل,open_class,wazn_alignment:تُفْعِل
حَقَّاً,حقا,34,حقق,فَعَّ,open_class,wazn_alignment:فَعَّ
قِيلَ,قيل,34,قيل,فِعَل,open_class,wazn_alignment:فِعَل
كَبِيرَاً,كبيرا,34,كبر,فَعِيل,open_class,wazn_alignment:فَعِيل
وَعْدَ,وعد,34,وعد,فَعْل,open_class,wazn_alignment:فَعْل
يَكُونَ,يكون,34,يكن,فَعُول,open_class,wazn_alignment:فَعُول
يَهْتَدُونَ,يهتدون,34,هتد,يَفْعَلُونَ,open_class,wazn_alignment:يَفْعَلُونَ
يُبْصِرُونَ,يبصرون,34,بصر,يُفْعِل,open_class,wazn_alignment:يُفْعِل
أَسْأَلُكُمْ,أسألكم,33,سأل,أَفْعَل,open_class,wazn_alignment:أَفْعَل
الْخَاسِرُونَ,الخاسرون,33,خسر,فَاعِلُون,open_class,wazn_alignment:فَاعِلُون
الْفَاسِقِينَ,الفاسقين,33,فسق,فَاعِل,open_class,wazn_alignment:فَاعِل
الْمَوْتُ,الموت,33,لمو,إِفْعَلْ,open_class,wazn_alignment:إِفْعَلْ
الْمُسْلِمِينَ,المسلمين,33,سلم,مُفْعِلِين,open_class,wazn_alignment:مُفْعِلِين
تَأْكُلُونَ,تأكلون,33,أكل,تَفْعُلُونَ,open_class,wazn_alignment:تَفْعُلُونَ
تُبْصِرُونَ,تبصرون,33,بصر,تُفْعِل,open_class,wazn_alignment:تُفْعِل
جَاءَتْهُمْ,جاءتهم,33,جوء,فَالَتْ,open_class,wazn_alignment:فَالَتْ
فِتْنَةٌ,فتنة,33,فتن,فِعْلَة,open_class,wazn_alignment:فِعْلَة
يَقُولُوا,يقولوا,33,قلو,يَفُولُوا,open_class,wazn_alignment:يَفُولُوا
يُوعَدُونَ,يوعدون,33,يوعد,فُفَعل,open_class,wazn_alignment:فُفَعل
يُوقِنُونَ,يوقنون,33,وقن,يُفعِل,open_class,wazn_alignment:يُفعِل
أَجَلٍ,أجل,32,أجل,فَعَل,open_class,wazn_alignment:فَعَل
أَحْسَنُ,أحسن,32,حسن,أَفْعَل,open_class,wazn_alignment:أَفْعَل
أَكْبَرُ,أكبر,32,كبر,أَفْعَل,open_class,wazn_alignment:أَفْعَل
أَهْلَكْنَا,أهلكنا,32,هلك,أَفْعَلْ,open_class,wazn_alignment:أَفْعَلْ
الْأَلْبَابِ,الألباب,32,لبب,أَفْعَال,open_class,wazn_alignment:أَفْعَال
الْحَرَامِ,الحرام,32,حرام,فَفَعَل,open_class,wazn_alignment:فَفَعَل
الْعَظِيمُ,العظيم,32,عظم,فَعِيل,open_class,wazn_alignment:فَعِيل
الْفَوْزُ,الفوز,32,فوز,فَعْل,open_class,wazn_alignment:فَعْل
الْمَوْتَى,الموتى,32,وتى,مَفْعَل,open_class,wazn_alignment:مَفْعَل
تُتْلَى,تتلى,32,تلى,تُفْعَل,open_class,wazn_alignment:تُفْعَل
حَكِيمَاً,حكيما,32,حكم,فَعِيل,open_class,wazn_alignment:فَعِيل
خَلَقَكُمْ,خلقكم,32,خلق,فَعَل,open_class,wazn_alignment:فَعَل
سَمِعْنَا,سمعنا,32,عنا,مِفْعَل,open_class,wazn_alignment:مِفْعَل
كَسَبَتْ,كسبت,32,كسب,فَعَلَتْ,open_class,wazn_alignment:فَعَلَتْ
يَجِدُونَ,يجدون,32,يجد,فَعل,open_class,wazn_alignment:فَعل
يَمْلِكُونَ,يملكون,32,ملك,يَفْعِلُونَ,open_class,wazn_alignment:يَفْعِلُونَ
يَوْمَاً,يوما,32,يوم,فَعْل,open_class,wazn_alignment:فَعْل
