sentence_id,sentence,position,token,word_class,case,mark,role,root,wazn,closed_class_kind,case_source,role_source,word_class_source,notes
4,الْمَاءُ فِي الْكُوزِ,2,الْكُوزِ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,كوز,فُعًل,,ism+prev_HARF_JARR(فِي),after_HARF_JARR(فِي),open_class+nominal_wazn:فُعًل,
5,رَمَيْتُ السَّهْمَ عَنِ الْقَوْسِ,0,رَمَيْتُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,رمت,فَعَيْل,,ending: ending:ضمة → مرفوع,mubtada_first_marfu,open_class+nominal_wazn:فَعَيْل,
5,رَمَيْتُ السَّهْمَ عَنِ الْقَوْسِ,1,السَّهْمَ,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,إلس,فِعَل,,ending: ending:فتحة → منصوب,fallback_case_only,open_class+nominal_wazn:فِعَل,
5,رَمَيْتُ السَّهْمَ عَنِ الْقَوْسِ,2,عَنِ,HARF,مَبْنِي,,حرف جر,,,HARF_JARR,layer1:HARF_is_mabni,harf_kind:HARF_JARR,closed_class:HARF_JARR,مَبْنِي عَلَى الْكَسْرِ
5,رَمَيْتُ السَّهْمَ عَنِ الْقَوْسِ,3,الْقَوْسِ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,قوس,فَعْل,,ism+prev_HARF_JARR(عَنِ),after_HARF_JARR(عَنِ),open_class+nominal_wazn:فَعْل,
6,وَاللَّهِ لَأَشْرَبَنَّ,0,وَاللَّهِ,HARF,مَبْنِي,,حرف استئناف,,,HARF_ISTINAAD,layer1:HARF_is_mabni,harf_kind:HARF_ISTINAAD,closed_class:HARF_ISTINAAD,مَبْنِي عَلَى الْكَسْرِ
6,وَاللَّهِ لَأَشْرَبَنَّ,1,لَأَشْرَبَنَّ,FIIL,مَبْنِي,,فعل ماضٍ,شرب,أَفْعَل,,PV:mabni,fiil_aspect:PV,open_class+verbal_wazn:أَفْعَل,
7,بِاللَّهِ لَأَفْعَلَنَّ,0,بِاللَّهِ,HARF,مَبْنِي,,حرف جر,,,HARF_JARR,layer1:HARF_is_mabni,harf_kind:HARF_JARR,closed_class:HARF_JARR,مَبْنِي عَلَى الْكَسْرِ
7,بِاللَّهِ لَأَفْعَلَنَّ,1,لَأَفْعَلَنَّ,FIIL,مَبْنِي,,فعل ماضٍ,فعل,أَفْعَل,,PV:mabni,fiil_aspect:PV,open_class+verbal_wazn:أَفْعَل,
8,تَاللَّهِ لَأَضْرِبَنَّ زَيْدًا,0,تَاللَّهِ,HARF,مَبْنِي,,حرف جر,,,HARF_JARR,layer1:HARF_is_mabni,harf_kind:HARF_JARR,closed_class:HARF_JARR,مَبْنِي عَلَى الْكَسْرِ
8,تَاللَّهِ لَأَضْرِبَنَّ زَيْدًا,1,لَأَضْرِبَنَّ,FIIL,مَبْنِي,,فعل ماضٍ,ضرب,أَفْعِل,,PV:mabni,fiil_aspect:PV,open_class+verbal_wazn:أَفْعِل,
8,تَاللَّهِ لَأَضْرِبَنَّ زَيْدًا,2,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,مفعول به منصوب,زدا,فَيْعِل,,ending: ending:تنوين فتح → منصوب,mafool_bih_after_verb,open_class+nominal_wazn:فَيْعِل,
9,الْمَالُ لِزَيْدٍ,0,الْمَالُ,JAMID,مَرْفُوع,ضمة,مبتدأ مرفوع,,,,ending: ending:ضمة → مرفوع,mubtada_first_marfu,jamid_detector,
9,الْمَالُ لِزَيْدٍ,1,لِزَيْدٍ,ISM_MUARAB,مَجْرُور,كسرة,مضاف إليه مجرور,زيد,فَعْلٍ,,ending: ending:تنوين كسر → مجرور,mudaf_ilayh,open_class+nominal_wazn:فَعْلٍ,
10,رُبَّ رَجُلٍ كَرِيمٍ لَقِيتُهُ,0,رُبَّ,JAMID,,,اسم,,,,unknown_ending,fallback_case_only,jamid_detector,
10,رُبَّ رَجُلٍ كَرِيمٍ لَقِيتُهُ,1,رَجُلٍ,JAMID,مَجْرُور,كسرة,مضاف إليه مجرور,,,,ending: ending:تنوين كسر → مجرور,mudaf_ilayh,jamid_detector,
10,رُبَّ رَجُلٍ كَرِيمٍ لَقِيتُهُ,2,كَرِيمٍ,ISM_MUARAB,مَجْرُور,كسرة,نعت مجرور,كرم,فَعِيل,,ending: ending:تنوين كسر → مجرور,naat_agrees_prev,open_class+nominal_wazn:فَعِيل,
10,رُبَّ رَجُلٍ كَرِيمٍ لَقِيتُهُ,3,لَقِيتُهُ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,لقت,فَعِيل,,ending: ending:ضمة → مرفوع,mubtada_first_marfu,open_class+nominal_wazn:فَعِيل,
11,وَلَيْلٍ كَمَوْجِ الْبَحْرِ,0,وَلَيْلٍ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,ولل,فَعَيْل,,ending: ending:تنوين كسر → مجرور,fallback_case_only,open_class+nominal_wazn:فَعَيْل,
11,وَلَيْلٍ كَمَوْجِ الْبَحْرِ,1,كَمَوْجِ,ISM_MUARAB,مَجْرُور,كسرة,نعت مجرور,كمج,فَعَوْل,,ending: ending:كسرة → مجرور,naat_agrees_prev,open_class+nominal_wazn:فَعَوْل,
11,وَلَيْلٍ كَمَوْجِ الْبَحْرِ,2,الْبَحْرِ,JAMID,مَجْرُور,كسرة,مضاف إليه مجرور,,,,ending: ending:كسرة → مجرور,mudaf_ilayh,jamid_detector,
12,الْكِتَابُ عَلَى الْمَكْتَبِ,0,الْكِتَابُ,JAMID,مَرْفُوع,ضمة,مبتدأ مرفوع,,,,ending: ending:ضمة → مرفوع,mubtada_first_marfu,jamid_detector,
12,الْكِتَابُ عَلَى الْمَكْتَبِ,1,عَلَى,HARF,مَبْنِي,,حرف جر,,,HARF_JARR,layer1:HARF_is_mabni,harf_kind:HARF_JARR,closed_class:HARF_JARR,مَبْنِي عَلَى الْفَتْحِ
12,الْكِتَابُ عَلَى الْمَكْتَبِ,2,الْمَكْتَبِ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,كتب,مَفْعَل,,ism+prev_HARF_JARR(عَلَى),after_HARF_JARR(عَلَى),open_class+nominal_wazn:مَفْعَل,
13,زَيْدٌ كَالْأَسَدِ,0,زَيْدٌ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,زيد,فَعْلٍ,,ending: ending:تنوين ضم → مرفوع,mubtada_first_marfu,open_class+nominal_wazn:فَعْلٍ,
13,زَيْدٌ كَالْأَسَدِ,1,كَالْأَسَدِ,ISM_MUARAB,مَجْرُور,كسرة,مضاف إليه مجرور,أسد,فَعل,,ending: ending:كسرة → مجرور,mudaf_ilayh,open_class+nominal_wazn:فَعل,
14,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ,0,مَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MAWSOOL,layer1:ISM_MABNI_is_mabni,ism_mabni_default,closed_class:ISM_MAWSOOL,مَبْنِي عَلَى الْفَتْحِ
14,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ,1,رَأَيْتُ,UNKNOWN,مَرْفُوع,ضمة,,—,—,OVERRIDE_AS_VERB,unknown_class+ending: ending:ضمة → مرفوع,,unhandled_status:closed_class,
14,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ,2,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,زدا,فَيْعِل,,ending: ending:تنوين فتح → منصوب,fallback_case_only,open_class+nominal_wazn:فَيْعِل,
14,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ,3,مُذْ,UNKNOWN,مَجْزُوم,سكون,,—,—,,unknown_class+ending: ending:سكون → مجزوم/مبني,,unhandled_status:closed_class,
14,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ,4,يَوْمِ,FIIL,مَرْفُوع,ضمة,فعل مضارع,يوم,فَعْل,,IV:default_marfu (ضمة),fiil_aspect:IV,open_class+surface_verb_heuristic (wazn=فَعْل),
14,مَا رَأَيْتُ زَيْدًا مُذْ يَوْمِ الْجُمُعَةِ,5,الْجُمُعَةِ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,,,,ending: ending:كسرة → مجرور,fallback_case_only,no_match_default_ism,
15,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ,0,مَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MAWSOOL,layer1:ISM_MABNI_is_mabni,ism_mabni_default,closed_class:ISM_MAWSOOL,مَبْنِي عَلَى الْفَتْحِ
15,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ,1,رَأَيْتُ,UNKNOWN,مَرْفُوع,ضمة,,—,—,OVERRIDE_AS_VERB,unknown_class+ending: ending:ضمة → مرفوع,,unhandled_status:closed_class,
15,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ,2,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,زدا,فَيْعِل,,ending: ending:تنوين فتح → منصوب,fallback_case_only,open_class+nominal_wazn:فَيْعِل,
15,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ,3,مُنْذُ,UNKNOWN,مَرْفُوع,ضمة,,—,—,,unknown_class+ending: ending:ضمة → مرفوع,,unhandled_status:closed_class,
15,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ,4,يَوْمِ,FIIL,مَرْفُوع,ضمة,فعل مضارع,يوم,فَعْل,,IV:default_marfu (ضمة),fiil_aspect:IV,open_class+surface_verb_heuristic (wazn=فَعْل),
15,مَا رَأَيْتُ زَيْدًا مُنْذُ يَوْمِ الْجُمُعَةِ,5,الْجُمُعَةِ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,,,,ending: ending:كسرة → مجرور,fallback_case_only,no_match_default_ism,
16,سَلَامٌ هِيَ حَتَّى مَطْلَعِ الْفَجْرِ,0,سَلَامٌ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,لوم,فَالَ,,ending: ending:تنوين ضم → مرفوع,mubtada_first_marfu,open_class+nominal_wazn:فَالَ,
16,سَلَامٌ هِيَ حَتَّى مَطْلَعِ الْفَجْرِ,1,هِيَ,ISM_MABNI,مَبْنِي,,اسم مبني,,,DAMEER,layer1:ISM_MABNI_is_mabni,ism_mabni_default,closed_class:DAMEER,مَبْنِي عَلَى الْفَتْحِ
16,سَلَامٌ هِيَ حَتَّى مَطْلَعِ الْفَجْرِ,2,حَتَّى,HARF,مَبْنِي,,حرف نصب,,,HARF_NASB,layer1:HARF_is_mabni,harf_kind:HARF_NASB,closed_class:HARF_NASB,مَبْنِي عَلَى الْفَتْحِ (مشدد)
16,سَلَامٌ هِيَ حَتَّى مَطْلَعِ الْفَجْرِ,3,مَطْلَعِ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,طلع,مَفْعَل,,ending: ending:كسرة → مجرور,fallback_case_only,open_class+nominal_wazn:مَفْعَل,
16,سَلَامٌ هِيَ حَتَّى مَطْلَعِ الْفَجْرِ,4,الْفَجْرِ,ISM_MUARAB,مَجْرُور,كسرة,مضاف إليه مجرور,فجر,فَعْل,,ending: ending:كسرة → مجرور,mudaf_ilayh,open_class+nominal_wazn:فَعْل,
17,جَاءَنِي الْقَوْمُ حَاشَا زَيْدٍ,0,جَاءَنِي,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,جءن,فَأَعل,,ending: ending:كسرة → مجرور,fallback_case_only,open_class+nominal_wazn:فَأَعل,
17,جَاءَنِي الْقَوْمُ حَاشَا زَيْدٍ,1,الْقَوْمُ,JAMID,مَرْفُوع,ضمة,مبتدأ مرفوع,,,,ending: ending:ضمة → مرفوع,mubtada_first_marfu,jamid_detector,
17,جَاءَنِي الْقَوْمُ حَاشَا زَيْدٍ,2,حَاشَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,,unknown_class+ending: ending:فتحة → منصوب,,unhandled_status:closed_class,
17,جَاءَنِي الْقَوْمُ حَاشَا زَيْدٍ,3,زَيْدٍ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,زيد,فَعْلٍ,,ending: ending:تنوين كسر → مجرور,fallback_case_only,open_class+nominal_wazn:فَعْلٍ,
18,جَاءَنِي الْقَوْمُ عَدَا زَيْدٍ,0,جَاءَنِي,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,جءن,فَأَعل,,ending: ending:كسرة → مجرور,fallback_case_only,open_class+nominal_wazn:فَأَعل,
18,جَاءَنِي الْقَوْمُ عَدَا زَيْدٍ,1,الْقَوْمُ,JAMID,مَرْفُوع,ضمة,مبتدأ مرفوع,,,,ending: ending:ضمة → مرفوع,mubtada_first_marfu,jamid_detector,
18,جَاءَنِي الْقَوْمُ عَدَا زَيْدٍ,2,عَدَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,,unknown_class+ending: ending:فتحة → منصوب,,unhandled_status:closed_class,
18,جَاءَنِي الْقَوْمُ عَدَا زَيْدٍ,3,زَيْدٍ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,زيد,فَعْلٍ,,ending: ending:تنوين كسر → مجرور,fallback_case_only,open_class+nominal_wazn:فَعْلٍ,
19,جَاءَنِي الْقَوْمُ خَلَا زَيْدٍ,0,جَاءَنِي,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,جءن,فَأَعل,,ending: ending:كسرة → مجرور,fallback_case_only,open_class+nominal_wazn:فَأَعل,
19,جَاءَنِي الْقَوْمُ خَلَا زَيْدٍ,1,الْقَوْمُ,JAMID,مَرْفُوع,ضمة,مبتدأ مرفوع,,,,ending: ending:ضمة → مرفوع,mubtada_first_marfu,jamid_detector,
19,جَاءَنِي الْقَوْمُ خَلَا زَيْدٍ,2,خَلَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,OVERRIDE_AS_VERB,unknown_class+ending: ending:فتحة → منصوب,,unhandled_status:closed_class,
19,جَاءَنِي الْقَوْمُ خَلَا زَيْدٍ,3,زَيْدٍ,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,زيد,فَعْلٍ,,ending: ending:تنوين كسر → مجرور,fallback_case_only,open_class+nominal_wazn:فَعْلٍ,
20,إِنَّ زَيْدًا قَائِمٌ,0,إِنَّ,HARF,مَبْنِي,,حرف,,,HARF,layer1:HARF_is_mabni,harf_kind:HARF,closed_class:HARF,مَبْنِي عَلَى الْفَتْحِ (مشدد)
20,إِنَّ زَيْدًا قَائِمٌ,1,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم (إِنَّ) منصوب,زدا,فَيْعِل,,ending: ending:تنوين فتح → منصوب,ism_inna_after(إِنَّ),open_class+nominal_wazn:فَيْعِل,
20,إِنَّ زَيْدًا قَائِمٌ,2,قَائِمٌ,ISM_MUARAB,مَرْفُوع,ضمة,خبر (إنّ) مرفوع,قوم,فَائِل,,ending: ending:تنوين ضم → مرفوع,khabar_inna,open_class+nominal_wazn:فَائِل,
21,بَلَغَنِي أَنَّ زَيْدًا مُنْطَلِقٌ,0,بَلَغَنِي,ISM_MUARAB,مَجْرُور,كسرة,اسم مجرور,لغن,فَعَلِي,,ending: ending:كسرة → مجرور,fallback_case_only,open_class+nominal_wazn:فَعَلِي,
21,بَلَغَنِي أَنَّ زَيْدًا مُنْطَلِقٌ,1,أَنَّ,HARF,مَبْنِي,,حرف نصب,,,HARF_NASB,layer1:HARF_is_mabni,harf_kind:HARF_NASB,closed_class:HARF_NASB,مَبْنِي عَلَى الْفَتْحِ (مشدد)
21,بَلَغَنِي أَنَّ زَيْدًا مُنْطَلِقٌ,2,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم (أَنَّ) منصوب,زدا,فَيْعِل,,ending: ending:تنوين فتح → منصوب,ism_inna_after(أَنَّ),open_class+nominal_wazn:فَيْعِل,
21,بَلَغَنِي أَنَّ زَيْدًا مُنْطَلِقٌ,3,مُنْطَلِقٌ,ISM_MUARAB,مَرْفُوع,ضمة,خبر (إنّ) مرفوع,طلق,مُنْفَعِل,,ending: ending:تنوين ضم → مرفوع,khabar_inna,open_class+nominal_wazn:مُنْفَعِل,
22,كَأَنَّ زَيْدًا أَسَدٌ,0,كَأَنَّ,HARF,مَبْنِي,,حرف,,,HARF,layer1:HARF_is_mabni,harf_kind:HARF,closed_class:HARF,مَبْنِي عَلَى الْفَتْحِ (مشدد)
22,كَأَنَّ زَيْدًا أَسَدٌ,1,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم (كَأَنَّ) منصوب,زدا,فَيْعِل,,ending: ending:تنوين فتح → منصوب,ism_inna_after(كَأَنَّ),open_class+nominal_wazn:فَيْعِل,
22,كَأَنَّ زَيْدًا أَسَدٌ,2,أَسَدٌ,ISM_MUARAB,مَرْفُوع,ضمة,خبر (إنّ) مرفوع,أسد,فَعل,,ending: ending:تنوين ضم → مرفوع,khabar_inna,open_class+nominal_wazn:فَعل,
23,غَابَ زَيْدٌ لَكِنَّ عَمْرًا حَاضِرٌ,0,غَابَ,FIIL,مَبْنِي,,فعل ماضٍ,غوب,فَالَ,,PV:mabni_ala_fath,fiil_aspect:PV,open_class+verbal_wazn:فَالَ,
23,غَابَ زَيْدٌ لَكِنَّ عَمْرًا حَاضِرٌ,1,زَيْدٌ,ISM_MUARAB,مَرْفُوع,ضمة,فاعل مرفوع,زيد,فَعْلٍ,,ending: ending:تنوين ضم → مرفوع,faail_after_verb,open_class+nominal_wazn:فَعْلٍ,
23,غَابَ زَيْدٌ لَكِنَّ عَمْرًا حَاضِرٌ,2,لَكِنَّ,HARF,مَبْنِي,,حرف,,,HARF,layer1:HARF_is_mabni,harf_kind:HARF,closed_class:HARF,مَبْنِي عَلَى الْفَتْحِ (مشدد)
23,غَابَ زَيْدٌ لَكِنَّ عَمْرًا حَاضِرٌ,3,عَمْرًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم (لَكِنَّ) منصوب,عمر,فَعْلًا,,ending: ending:تنوين فتح → منصوب,ism_inna_after(لَكِنَّ),open_class+nominal_wazn:فَعْلًا,
23,غَابَ زَيْدٌ لَكِنَّ عَمْرًا حَاضِرٌ,4,حَاضِرٌ,ISM_MUARAB,مَرْفُوع,ضمة,خبر (إنّ) مرفوع,حضر,فَأَعل,,ending: ending:تنوين ضم → مرفوع,khabar_inna,open_class+nominal_wazn:فَأَعل,
24,لَيْتَ زَيْدًا طَائِرًا,0,لَيْتَ,UNKNOWN,مَنْصُوب,فتحة,,—,—,,unknown_class+ending: ending:فتحة → منصوب,,unhandled_status:closed_class,
24,لَيْتَ زَيْدًا طَائِرًا,1,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,زدا,فَيْعِل,,ending: ending:تنوين فتح → منصوب,fallback_case_only,open_class+nominal_wazn:فَيْعِل,
24,لَيْتَ زَيْدًا طَائِرًا,2,طَائِرًا,ISM_MUARAB,مَنْصُوب,فتحة,نعت منصوب,طور,فَائِلًا,,ending: ending:تنوين فتح → منصوب,naat_agrees_prev,open_class+nominal_wazn:فَائِلًا,
25,لَعَلَّ السُّلْطَانَ عَادِلٌ,0,لَعَلَّ,HARF,مَبْنِي,,حرف,,,HARF,layer1:HARF_is_mabni,harf_kind:HARF,closed_class:HARF,مَبْنِي عَلَى الْفَتْحِ (مشدد)
25,لَعَلَّ السُّلْطَانَ عَادِلٌ,1,السُّلْطَانَ,ISM_MUARAB,مَرْفُوع,ألف,مبتدأ مرفوع,سلط,فُعْلَان,,ending: ending:ان → مثنى مرفوع (ألف),mubtada_first_marfu,open_class+nominal_wazn:فُعْلَان,
25,لَعَلَّ السُّلْطَانَ عَادِلٌ,2,عَادِلٌ,ISM_MUARAB,مَرْفُوع,ضمة,خبر مرفوع,عدل,فَأَعل,,ending: ending:تنوين ضم → مرفوع,khabar_after_mubtada,open_class+nominal_wazn:فَأَعل,
26,مَا زَيْدٌ ذَاهِبًا,0,مَا,ISM_MABNI,مَبْنِي,,اسم مبني,,,ISM_MAWSOOL,layer1:ISM_MABNI_is_mabni,ism_mabni_default,closed_class:ISM_MAWSOOL,مَبْنِي عَلَى الْفَتْحِ
26,مَا زَيْدٌ ذَاهِبًا,1,زَيْدٌ,ISM_MUARAB,مَرْفُوع,ضمة,مبتدأ مرفوع,زيد,فَعْلٍ,,ending: ending:تنوين ضم → مرفوع,mubtada_first_marfu,open_class+nominal_wazn:فَعْلٍ,
26,مَا زَيْدٌ ذَاهِبًا,2,ذَاهِبًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,ذهب,فَأَعل,,ending: ending:تنوين فتح → منصوب,fallback_case_only,open_class+nominal_wazn:فَأَعل,
27,لَا رَجُلَ مُسَافِرًا,0,لَا,HARF,مَبْنِي,,حرف جزم,,,HARF_JAZM,layer1:HARF_is_mabni,harf_kind:HARF_JAZM,closed_class:HARF_JAZM,مَبْنِي عَلَى الْفَتْحِ
27,لَا رَجُلَ مُسَافِرًا,1,رَجُلَ,JAMID,مَنْصُوب,فتحة,اسم منصوب,,,,ending: ending:فتحة → منصوب,fallback_case_only,jamid_detector,
27,لَا رَجُلَ مُسَافِرًا,2,مُسَافِرًا,ISM_MUARAB,مَنْصُوب,فتحة,نعت منصوب,سفر,مُفَاعِل,,ending: ending:تنوين فتح → منصوب,naat_agrees_prev,open_class+nominal_wazn:مُفَاعِل,
28,اسْتَوَى الْمَاءُ وَالْخَشَبَةَ,0,اسْتَوَى,FIIL,مَبْنِي,,فعل ماضٍ,سوي,افْتَعَل,,PV:mabni_ala_fath,fiil_aspect:PV,open_class+verbal_wazn:افْتَعَل,
28,اسْتَوَى الْمَاءُ وَالْخَشَبَةَ,1,الْمَاءُ,JAMID,مَرْفُوع,ضمة,فاعل مرفوع,,,,ending: ending:ضمة → مرفوع,faail_after_verb,jamid_detector,
28,اسْتَوَى الْمَاءُ وَالْخَشَبَةَ,2,وَالْخَشَبَةَ,ISM_MUARAB,مَنْصُوب,فتحة,مفعول به منصوب,خشب,فَعَلَة,,ending: ending:فتحة → منصوب,mafool_bih_after_verb,open_class+nominal_wazn:فَعَلَة,
29,قَامَ الْقَوْمُ إِلَّا زَيْدًا,0,قَامَ,FIIL,مَبْنِي,,فعل ماضٍ,قوم,فَالَ,,PV:mabni_ala_fath,fiil_aspect:PV,open_class+verbal_wazn:فَالَ,
29,قَامَ الْقَوْمُ إِلَّا زَيْدًا,1,الْقَوْمُ,JAMID,مَرْفُوع,ضمة,فاعل مرفوع,,,,ending: ending:ضمة → مرفوع,faail_after_verb,jamid_detector,
29,قَامَ الْقَوْمُ إِلَّا زَيْدًا,2,إِلَّا,HARF,مَبْنِي,,حرف,,,HARF,layer1:HARF_is_mabni,harf_kind:HARF,closed_class:HARF,مَبْنِي عَلَى الْفَتْحِ (مشدد)
29,قَامَ الْقَوْمُ إِلَّا زَيْدًا,3,زَيْدًا,ISM_MUARAB,مَنْصُوب,فتحة,مفعول به منصوب,زدا,فَيْعِل,,ending: ending:تنوين فتح → منصوب,mafool_bih_after_verb,open_class+nominal_wazn:فَيْعِل,
30,يَا رَسُولَ اللَّهِ,0,يَا,UNKNOWN,مَنْصُوب,فتحة,,—,—,,unknown_class+ending: ending:فتحة → منصوب,,unhandled_status:closed_class,
30,يَا رَسُولَ اللَّهِ,1,رَسُولَ,JAMID,مَنْصُوب,فتحة,اسم منصوب,,,,ending: ending:فتحة → منصوب,fallback_case_only,jamid_detector,
30,يَا رَسُولَ اللَّهِ,2,اللَّهِ,JALALAH,مَجْرُور,كسرة,مضاف إليه مجرور,ءله,,,jalalah_ending: ending:كسرة → مجرور,mudaf_ilayh,jalalah_lexical,
31,أَيَّا جَمَّا ذَنْبَهُ,0,أَيَّا,UNKNOWN,,,,—,—,,unknown_class+no_ending,,unhandled_status:closed_class,
31,أَيَّا جَمَّا ذَنْبَهُ,1,جَمَّا,FIIL,مَبْنِي,,فعل ماضٍ,جما,فَعَّل,,PV:mabni,fiil_aspect:PV,open_class+verbal_wazn:فَعَّل,
31,أَيَّا جَمَّا ذَنْبَهُ,2,ذَنْبَهُ,ISM_MUARAB,مَرْفُوع,ضمة,فاعل مرفوع,ذنب,فَعْلَهُ,,ending: ending:ضمة → مرفوع,faail_after_verb,open_class+nominal_wazn:فَعْلَهُ,
32,هَيَّا نَاسِيًا نِعْمَةَ اللَّهِ,0,هَيَّا,UNKNOWN,,,,—,—,,unknown_class+no_ending,,unhandled_status:closed_class,
32,هَيَّا نَاسِيًا نِعْمَةَ اللَّهِ,1,نَاسِيًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,نسا,فَاعِيلٌ,,ending: ending:تنوين فتح → منصوب,fallback_case_only,open_class+nominal_wazn:فَاعِيلٌ,
32,هَيَّا نَاسِيًا نِعْمَةَ اللَّهِ,2,نِعْمَةَ,ISM_MUARAB,مَنْصُوب,فتحة,نعت منصوب,نعم,فِعْلَة,,ending: ending:فتحة → منصوب,naat_agrees_prev,open_class+nominal_wazn:فِعْلَة,
