Root,Example_Word,Example_Wazn,Example_Count,Unique_Words,Total_Occurrences
بعض,بَعْضٍ,فَعْل,74,14,264
كثر,كَثِيرَاً,فَعِيل,92,20,263
نزل,أُنْزِلَ,أُفْعِل,56,39,263
سبل,سَبِيلِ,فَعِيل,72,21,262
نصر,يُنْصَرُونَ,يُفْعَل,36,50,260
خرج,يَخْرُجُ,يَفْعُل,18,60,259
قلو,يَقُولُونَ,يَفُولُونَ,157,4,259
عند,عِنْدَ,فِعْل,98,15,257
جوء,جَاءَهُمْ,فَالَ,60,14,256
دني,الدُّنْيَا,فُعْل,230,6,256
صدق,صَادِقِينَ,فَاعِل,62,39,250
كلل,كُلِّ,فُعِّ,123,7,249
كبر,كَبِيرَاً,فَعِيل,34,40,245
بصر,يُبْصِرُونَ,يُفْعِل,34,35,240
رجع,تُرْجَعُونَ,تُفْعَل,57,25,226
رزق,رَزَقْنَاهُمْ,فَعَلْنَا,30,33,226
جمع,جَمِيعَاً,فَعِيل,98,25,221
غفر,غَفُورٌ,فَعُول,51,26,221
عبد,تَعْبُدُونَ,تَفْعُلُونَ,66,24,219
صلا,الصَّلَاةَ,فَعَلَة,141,11,218
فعل,يَفْعَلُونَ,يَفْعَلُونَ,40,29,217
نفق,يُنْفِقُونَ,يُفْعِل,62,17,211
وعد,وَعْدَ,فَعْل,34,35,204
خلف,يَخْتَلِفُونَ,افْتَعَل,30,44,201
شيء,شَيْءٍ,فَعْل,179,4,197
حسب,الْحِسَابِ,فِعَال,28,40,188
شكر,تَشْكُرُونَ,تَفْعُلُونَ,76,21,182
نظر,يَنْظُرُونَ,يَفْعُلُونَ,62,20,181
هدي,يَهْدِي,يَفْعِي,84,27,177
مبن,الْمُبِينُ,فُعِيل,45,5,176
دخل,تَدْخُلُوا,تَفْعُل,18,30,174
غير,غَيْرَ,فَعْل,78,10,174
خلد,خَالِدِينَ,فَاعِل,86,14,173
سأل,يَسْأَلُونَكَ,يَفْعَلُونَ,54,18,173
سلم,الْمُسْلِمِينَ,مُفْعِلِين,33,32,173
عزز,الْعَزِيزُ,فَعِيل,92,8,171
عظم,عَظِيمَاً,فَعِيل,44,8,171
سعة,السَّاعَةُ,فَأَعل,52,8,168
حبب,يُحِبُّ,يُفِعُّ,78,18,166
وحد,وَاحِدَةً,فَاعِلَة,54,10,165
بعد,بَعْدِهِ,فَعْلِهِ,38,18,162
ملك,مُلْكُ,فُعْل,39,17,156
أجر,أَجْرَاً,فَعْل,44,13,155
عقل,تَعْقِلُونَ,تَفْعِلُونَ,76,5,155
فضل,فَضْلِهِ,فَعْلِهِ,52,14,155
قدر,قَدِيرٌ,فَعِيل,37,32,155
جرم,الْمُجْرِمِينَ,مُفْعِلِين,57,12,154
شيئ,شَيْئَاً,فَعْل,154,1,154
عقب,عَاقِبَةُ,فَاعِلَة,78,21,154
ليل,اللَّيْلِ,فَعْل,60,9,152
كسب,يَكْسِبُونَ,يَفْعِلُونَ,43,14,150
سجد,الْمَسْجِدِ,مَفْعِل,24,20,146
اية,آيَةً,أَفَعَل,69,5,144
صحب,أَصْحَابُ,أَفْعَال,82,11,144
ليم,أَلِيمٌ,أَفعِل,76,6,144
ضلل,ضَلَّ,فَعَّ,18,24,141
أكل,تَأْكُلُونَ,تَفْعُلُونَ,33,20,140
شدد,أَشَدُّ,أَفَعُّ,36,11,140
نعم,النَّعِيمِ,فَعِيل,20,21,139
فتن,فِتْنَةٌ,فِعْلَة,33,20,138
خسر,الْخَاسِرِينَ,فَاعِل,39,17,137
قلل,قَلِيلَاً,فَعِيل,110,6,136
أولئ,أُولَئِكَ,فُفَعل,133,1,133
خوف,خَوْفٌ,فَعْل,28,20,132
كنا,كُنَّا,فُعَّل,126,2,132
مثل,مَثَلَاً,فَعَل,40,19,132
صبر,الصَّابِرِينَ,فَاعِل,30,18,129
سبح,سُبْحَانَهُ,فُعْلَان,28,18,126
جري,تَجْرِي,تَفْعِل,96,4,125
أخذ,أَخَذْنَا,فَعَلْنَا,24,27,124
شهد,الشَّاهِدِينَ,فَاعِل,18,28,124
قرب,قَرِيبَاً,فَعِيل,18,20,122
ولي,الْأَوَّلِينَ,أَفَّعِل,93,5,121
فسق,الْفَاسِقِينَ,فَاعِل,33,14,118
بعث,يُبْعَثُونَ,يُفْعَل,27,22,117
دنه,دُونِهِ,فُوعِل,114,2,116
سيئ,السَّيِّئَاتِ,فَعِّل,39,15,116
عرض,مُعْرِضُونَ,مُفْعِلُون,28,26,115
دون,دُونِ,فُعِل,83,8,110
كنت,كُنْتَ,فُعْل,70,5,108
فلح,الْمُفْلِحُونَ,مُفْعِلُون,36,7,107
نذر,نَذِيرٌ,فَعِيل,22,25,107
كنو,تَكُونُوا,تَفُولُوا,63,3,105
لمو,الْمَوْتِ,إِفْعَلْ,42,3,105
موسى,مُوسَى,فُفَعل,105,1,105
حمل,تَحْمِلُ,تَفْعِل,8,32,104
خبر,خَبِيرٌ,فَعِيل,46,8,102
شعر,يَشْعُرُونَ,يَفْعُلُونَ,67,11,102
نفع,نَفْعَاً,فَعْل,18,18,102
حيي,يُحْيِي,يُفْعِي,32,17,100
حزن,يَحْزَنُونَ,يَفْعَلُونَ,40,10,99
دين,دِينَهُمْ,فِعَل,18,16,97
أحد,أَحَدَاً,فَعَل,40,9,96
عرف,يَعْرِفُونَ,يَفْعِلُونَ,16,20,96
طيب,الطَّيِّبَاتِ,فَعِّل,24,11,95
إلد,الدِّينِ,فِعَل,54,3,94
حمد,الْحَمْدُ,فَعْل,52,12,93
بلغ,يَبْلُغَ,يَفْعُل,10,25,88
كتب,كُتِبَ,فُعِل,23,17,88
سحر,السَّحَرَةُ,فَعَلَة,21,18,87
متق,الْمُتَّقِينَ,فُعَّل,69,2,87
ظهر,يَظْهَرُوا,يَفْعَل,9,22,86
توب,تَابُوا,فَالُوا,20,12,85
ريد,يُرِيدُ,يُفعِل,76,2,84
هدى,الْهُدَى,فُعل,44,5,84
قدم,قَدَّمَتْ,فَعَّل,28,16,83
هلك,أَهْلَكْنَا,أَفْعَلْ,32,18,83
زكا,الزَّكَاةَ,فَعَلَة,72,4,82
ضرر,ضَرَّاً,فَعَّ,18,15,82
ضعف,ضَعِيفَاً,فَعِيل,8,28,82
هتد,يَهْتَدُونَ,يَفْعَلُونَ,34,7,82
يسر,يَسِيرُوا,فَعِيل,21,13,82
اينا,آتَيْنَاهُمُ,أَفَتَفْعَل,24,6,81
حشر,تُحْشَرُونَ,تُفْعَل,25,13,81
عجل,تَسْتَعْجِلُونَ,تَسْتَفْعِل,22,17,81
يقل,يَقُولُ,فَعُول,70,3,81
يكن,يَكُونُ,فَعُول,36,4,81
كلم,كُلَّمَا,فُعَّل,26,20,80
مصر,الْمَصِيرُ,فَعِيل,69,4,80
بشر,يَسْتَبْشِرُونَ,يَسْتَفْعِل,20,17,79
جاو,جَاءَكُمْ,فَعَاكُمْ,42,3,78
ضرب,ضَرَبَ,فَعَل,12,15,78
تكن,تَكُونَ,فَعُول,28,3,77
يمن,الْيَمِينِ,فَعِيل,24,10,77
يرا,يَرَوْا,فَعَوْل,72,2,76
ذبا,كَذَّبُوا,فَّعُول,74,1,74
فتر,يَفْتَرُونَ,يَفْعَلُونَ,55,7,74
فرق,الْفُرْقَانَ,فُعْلَان,9,19,74
فسد,الْمُفْسِدِينَ,مُفْعِلِين,30,9,74
عذب,يُعَذِّبْكُمْ,يُفَعِّلْ,9,19,73
جهنم,جَهَنَّمَ,فَفَعَّل,54,2,72
حته,تَحْتِهَا,تَفْعِل,70,2,72
سوء,السَّوْءِ,فَعْل,12,12,72
معه,مَعَهُ,فَعَل,68,3,72
دبر,مُدْبِرِينَ,مُفْعِلِين,12,14,70
غيب,الْغَيْبِ,فَعْل,38,7,70
كرم,كَرِيمٌ,فَعِيل,12,16,70
حرم,حَرَّمَ,فَعَّل,17,18,69
خلص,الْمُخْلَصِينَ,مُفْعَل,24,11,69
أجل,أَجَلٍ,فَعَل,32,8,68
تتق,تَتَّقُونَ,فَعَّل,62,2,68
تلو,يَتْلُونَ,يَفْعُونَ,15,10,68
جدل,يُجَادِلُونَ,يُفَاعِل,20,14,68
ذهب,يُذْهِبْكُمْ,يُفْعِل,12,18,68
قوة,قُوَّةً,فُعَّل,36,6,68
أوت,أُوتُوا,فُعِل,64,2,67
غلب,الْغَالِبُونَ,فَاعِلُون,15,15,67
مكر,يَمْكُرُونَ,يَفْعُلُونَ,18,15,67
طيع,يَسْتَطِيعُونَ,يَسْتَفعِل,47,5,66
ظنن,يَظُنُّونَ,يَفُعُّونَ,16,14,65
فرع,فِرْعَوْنَ,فِعْل,48,2,65
لوم,سَلَامٌ,فَاعٍ,38,7,65
وكل,وَكِيلَاً,فَعِيل,26,8,64
ءمن,آمِنُوا,فَاعِل,20,7,63
تجد,تَجِدَ,فَعل,22,4,63
ردو,يُرِيدُونَ,يُفِيعُل,41,4,63
ءوم,آمَنَّا,فَالَ,62,1,62
إمن,إِيمَانَاً,فِيعَئِل,14,14,62
سكن,سَكِينَتَهُ,فَعِيل,9,20,62
قلب,قُلُوبِكُمْ,فُعُول,18,15,62
نكر,الْمُنْكَرِ,مُفْعَل,16,16,62
فصل,الْفَصْلِ,فَعْل,21,11,60
مسس,يَمْسَسْكَ,يَفْعَل,9,15,60
بدل,تَبْدِيلَاً,تَفْعِيلَ,10,20,59
جزي,نَجْزِي,نَفْعِل,38,6,59
حدث,الْحَدِيثِ,فَعِيل,18,10,59
عهد,عَاهَدُوا,فَأَعل,8,18,59
فوق,فَوْقَ,فَعْل,13,10,59
نصب,نَصِيبٌ,فَعِيل,16,12,59
صدد,يَصُدُّونَ,يَفُعُّونَ,20,13,58
عدو,تَعْتَدُوا,افْتَعَل,9,14,58
سبق,سَبَقَتْ,فَعَلَتْ,14,14,57
أبد,أَبَدَاً,فَعَل,56,1,56
أزل,أَنْزَلَ,فَنْعَل,50,2,56
أعبد,اعْبُدُوا,فُعْلُل,51,2,56
فتح,فَتَحْنَا,فَعَلْنَا,8,18,56
نور,نُورَاً,فُعِل,18,12,56
هزئ,يَسْتَهْزِئُونَ,يَسْتَفْعِل,42,6,56
وجد,وَجَدْنَا,فَعَلْنَا,26,10,56
أدخل,ادْخُلُوا,فُعْلُل,39,5,55
رجو,يَرْجُونَ,يَفْعُونَ,36,6,55
غني,يُغْنِي,يُفْعِي,20,9,55
فسه,نَفْسِهِ,نَفْعِل,51,3,55
قصص,نَقُصُّ,نَفُعُّ,10,17,55
لبث,لَبِثْتُمْ,فَعل,16,10,55
نهار,النَّهَارِ,فَفَعَل,26,4,55
يتق,يَتَّقُونَ,فَعَّل,55,1,55
اخر,آخَرِينَ,أَفَعَل,16,7,54
بطل,الْبَاطِلُ,فَاعِل,15,7,54
قسم,أُقْسِمُ,أُفْعِل,16,14,54
كره,كَارِهُونَ,فَاعِلُون,10,14,54
يجد,يَجِدُونَ,فَعل,32,4,54
حفظ,يُحَافِظُونَ,يُفَاعِل,9,16,53
سبع,سَبْعَ,فَعْل,20,10,53
فقه,يَفْقَهُونَ,يَفْعَلُونَ,44,4,53
أول,أَوَّلَ,فَعَّل,16,12,52
غفل,غَافِلُونَ,فَاعِلُون,12,9,52
سرر,سِرَّاً,فِعَّ,12,9,51
كتم,تَكْتُمُونَ,تَفْعُلُونَ,16,9,51
نكح,تَنْكِحُوا,تَفْعِل,9,15,51
أيم,أَيَّامٍ,فَعَّال,36,6,50
حرام,الْحَرَامِ,فَفَعَل,32,5,50
أتو,أَتَاكَ,فَعَاكَ,12,7,49
ترك,تَرَكَ,فَعَل,12,14,49
لقو,يَلْقَوْنَهُ,يَفْعَلْنَ,14,10,49
لوا,تَوَلَّوْا,تَوَفَّعْل,41,2,49
أذن,يَسْتَأْذِنُونَكَ,يَسْتَفْعِل,14,14,48
حلل,يَحِلُّ,يَفِعُّ,12,12,48
خذو,تَتَّخِذُوا,تَتَّفِعُل,39,2,48
سوي,يَسْتَوِي,افْتَعَل,24,7,48
صدر,صُدُورِهِمْ,فُعُول,10,11,48
عرب,عَرَبِيَّاً,فَعَل,24,5,48
قل,قُلِ,فُل,30,2,48
لقي,أَلْقَى,أَفْعَى,6,14,48
تبع,تَبِعَكَ,فَعل,6,16,47
جهل,الْجَاهِلِينَ,فَاعِل,18,7,47
ضلال,ضَلَالٍ,فَفَعَل,27,4,47
عجب,عَجَبَاً,فَعَل,8,15,47
يرن,يَرَوْنَ,فَعَوْل,26,4,47
تلى,تُتْلَى,تُفْعَل,32,2,46
جهد,جَاهَدُوا,فَأَعل,10,11,46
صرط,صِرَاطٍ,فِعَال,19,8,46
يخذ,يَتَّخِذَ,افْتَعَل,10,7,46
خاف,أَخَافُ,أَفَعُل,40,3,45
درك,أَدْرَاكَ,أَفْعَال,26,9,45
سرف,الْمُسْرِفِينَ,مُفْعِلِين,21,9,45
طهر,مُطَهَّرَةٌ,مُفَعَّلَة,6,15,45
وراة,التَّوْرَاةِ,تَفْعَلِل,21,3,45
ءوت,آتَاكُمْ,فَالَا,10,10,44
راد,أَرَادَ,أَفَعُل,36,2,44
صرف,تُصْرَفُونَ,تُفْعَل,8,14,44
ؤتي,يُؤْتِيهِ,يُفْعِي,15,8,43
عمر,الْعُمُرُ,فُعُل,4,16,43
غرر,غُرُورَاً,فُعُول,10,8,43
ميت,يُمِيتُكُمْ,يُفعِل,12,7,43
نوح,نُوحٍ,فُعِل,23,3,43
هجر,هَاجَرُوا,فَأَعل,10,12,43
هدو,يَهْدُونَ,يَفْعُونَ,12,6,43
إسرل,إِسْرَائِيلَ,فِعْلَآءِيل,41,2,42
درج,دَرَجَاتٍ,فَعَل,16,6,42
سخر,سَخِرُوا,فَعِلُوا,6,14,42
فجر,الْفَجْرِ,فَعْل,15,11,42
فوز,الْفَوْزُ,فَعْل,32,3,42
مرة,مَرَّةٍ,فَعَّل,30,3,42
عدل,يَعْدِلُونَ,يَفْعِلُونَ,20,6,41
فرح,تَفْرَحُونَ,تَفْعَلُونَ,6,11,41
متع,تَمَتَّعُوا,تَفَعَّل,6,13,41
مرت,مَرَّتَيْنِ,فَعَّل,15,7,41
ؤفك,يُؤْفَكُونَ,يُفْعَل,24,3,40
خشو,يَخْشَوْنَ,يَفْعَلْنَ,20,5,40
شهر,أَشْهُرٍ,أَفْعُل,8,12,40
قرن,الْقُرُونِ,فُعُول,14,10,40
قعد,الْقَاعِدِينَ,فَاعِل,12,13,40
قيل,قِيلَ,فِعَل,34,2,40
مرض,مَرَضٌ,فَعَل,24,6,40
مكا,مَكَانَاً,فَعَل,18,5,40
هود,هَادُوا,فَالُوا,20,5,40
أحي,أَوْحَيْنَا,فَوْعَل,28,3,39
بأس,بَأْسُنَا,فَعْل,12,14,39
توعد,تُوعَدُونَ,فُفَعل,39,1,39
حضر,مُحْضَرُونَ,مُفْعَلُون,10,11,39
ذنب,ذُنُوبَنَا,فُعُول,8,13,39
سلط,سُلْطَانَاً,فُعْلَان,22,5,39
صلو,يَصْلَوْنَهَا,يَفْعَلْنَ,24,5,39
عدن,عَدْنٍ,فَعْل,22,5,39
إثم,إِثْمَاً,فِعْل,14,6,38
اتن,آتَيْنَا,أَفَعَيْل,38,1,38
بعو,تَتَّبِعُوا,تَتَّفِعُل,24,3,38
ترى,تَرَى,فَعَل,38,1,38
طعم,يُطْعِمُونِ,يُفْعِل,4,16,38
لمل,الْمُلْكُ,أُفْعُلْ,20,3,38
نشاء,نَشَاءُ,فَفَعَل,38,1,38
ولد,الْوَالِدَانِ,فَاعِل,9,14,38
خفو,تُخْفُوهُ,تُفْعُل,12,7,37
علي,الْأَعْلَى,أَفْعَى,18,8,37
عنا,سَمِعْنَا,مِفْعَل,32,3,37
فكر,يَتَفَكَّرُونَ,يَتَفَعَّل,30,3,37
مثق,مِيثَاقَكُمْ,فِيعَئِل,8,8,37
نبئ,يُنَبِّئُكُمْ,يُفَعِّل,6,11,37
ولو,الْأَوَّلُونَ,أَفَّعُل,18,5,37
يبع,يَتَّبِعُونَ,افْتَعَل,24,4,37
بسط,يَبْسُطُ,يَفْعُل,18,9,36
بيع,يُبَايِعُونَكَ,يُفَاعِل,10,9,36
جئت,جِئْتُكُمْ,فِعْل,12,5,36
جزو,تُجْزَوْنَ,تُفْعَل,27,2,36
ريب,رَيْبَ,فَعْل,30,3,36
شرق,الْمَشْرِقِ,مَفْعِل,12,7,36
لمة,كَلِمَةٌ,فِعَل,12,5,36
بدو,تُبْدُوا,تُفْعُل,12,6,35
بغو,يَبْغُونَ,يَفْعُونَ,12,6,35
رشد,رَشَدَاً,فَعَل,10,11,35
سرع,يُسَارِعُونَ,يُفَاعِل,18,5,35
سنة,سَنَةٍ,فَعَل,15,5,35
علن,يُعْلِنُونَ,يُفْعِل,20,5,35
فرض,فَرِيضَةً,فَعِيلَة,10,8,35
كيد,كَيْدَاً,فَعْل,12,11,35
لعن,لَعَنَهُمُ,فَعَل,10,12,35
أئت,ائْتُونِي,فُعْل,29,2,34
ثقل,ثَقُلَتْ,فَعل,8,11,34
حول,حَوْلَهُ,فَعْلَهُ,10,9,34
خرا,الْخَيْرَاتِ,فَيْعَل,21,6,34
أخر,يَسْتَأْخِرُونَ,يَسْتَفْعِل,17,7,33
أرد,أُرِيدُ,فُعِيل,14,6,33
بتغ,يَبْتَغُونَ,يَفْعَلُونَ,24,5,33
بغي,بَغْيَاً,فَعْل,12,11,33
تصب,تُصِبْهُمْ,فُعِل,15,6,33
تطع,تُطِيعُوا,فُعِيل,15,4,33
زعم,تَزْعُمُونَ,تَفْعُلُونَ,12,5,33
شرر,الشَّرُّ,فَعُّ,8,9,33
صنع,يَصْنَعُونَ,يَفْعَلُونَ,15,7,33
صيح,الصَّيْحَةُ,فَعْلَة,18,4,33
فري,افْتَرَى,افْتَعَل,14,7,33
مدد,مَدَدْنَاهَا,فَعَلْنَا,6,12,33
موت,مَاتُوا,فَالُوا,6,10,33
وقن,يُوقِنُونَ,يُفعِل,33,1,33
يوعد,يُوعَدُونَ,فُفَعل,33,1,33
إلح,الْحَيِّ,فِعْل,14,3,32
رفع,رَفَعَ,فَعَل,4,13,32
ساء,سَوَاءٌ,فَوَعَل,9,7,32
صاب,أَصَابَ,أَفَعُل,10,6,32
لبب,الْأَلْبَابِ,أَفْعَال,32,1,32
لبس,تَلْبَسُونَهَا,تَفْعَلُونَ,12,8,32
وتى,الْمَوْتَى,مَفْعَل,32,1,32
أدع,ادْعُوا,فُعْل,24,3,31
أمن,أَمِنْتُمْ,فَعل,8,9,31
ترن,تَرَوْنَهَا,فَعَوْل,18,3,31
تقم,تَقُومُ,فَعُول,16,4,31
جزاء,جَزَاءً,فَفَعَل,15,3,31
خصم,يَخْتَصِمُونَ,افْتَعَل,12,9,31
رضا,تَرْضَاهُ,تَفْعَل,8,6,31
فحش,الْفَاحِشَةَ,فَاعِلَة,12,5,31
كود,يَكَادُ,يَفَالُ,12,4,31
نهو,يَنْهَوْنَ,يَفْعَلْنَ,9,7,31
إتق,اتَّقَوْا,فِعَّل,30,1,30
إلظ,الظَّنَّ,فِعَل,21,2,30
برك,مُبَارَكَاً,مُفَاعَل,8,8,30
دعا,دَعْوَاهُمْ,فَعْوَل,8,6,30
روا,رَأَوْا,فَأَعْل,12,3,30
سءل,يَتَسَاءَلُونَ,يَتَفَاعَل,26,2,30
سمو,يَسُومُونَكُمْ,يَفُولُونَ,18,2,30
شكك,شَكٍّ,فَعٍّ,28,2,30
قلن,قُلْنَا,فُعْل,28,2,30
قوم,قَائِمَاً,فَائِل,8,7,30
كلا,كُلُوا,فُعُول,30,1,30
متاع,مَتَاعَاً,فَفَعَل,14,5,30
مرن,أَمْرُنَا,أَفْعُل,16,4,30
وقع,وَقَعَ,فَعَل,10,7,30
ثله,مِثْلِهِ,مِفْعِل,21,4,29
جحد,يَجْحَدُونَ,يَفْعَلُونَ,21,3,29
حدد,حُدُودَ,فُعُول,12,5,29
حصن,الْمُحْصَنَاتِ,مُفْعَل,12,7,29
حلم,حَلِيمٌ,فَعِيل,9,8,29
حين,حِينٍ,فِعَل,15,4,29
خشع,خَاشِعَةً,فَاعِلَة,6,9,29
دري,يُدْرِيكَ,يُفْعِي,9,4,29
سعي,يَسْعَى,يَفْعَى,12,8,29
عتد,أَعْتَدْنَا,أَفْعَلْ,12,5,29
عدد,تَعُدُّونَ,تَفُعُّونَ,8,7,29
علو,تَعَالَوْا,تَفَاعَل,14,4,29
نجي,يُنَجِّيكُمْ,يُفَعِّل,6,9,29
هوء,أَهْوَاءَهُمْ,أَفْعَال,24,3,29
وزر,وَازِرَةٌ,فَاعِلَة,10,9,29
وفو,أَوْفُوا,أَفْعُل,10,4,29
أتق,اتَّقُوا,فُعَّل,28,1,28
أولى,الْأُولَى,فُفَعل,28,1,28
بني,بَيْنِي,فَيْعِل,22,2,28
تلك,تِلْكَ,فِعْل,28,1,28
خفي,يَخْفَى,يَفْعَى,8,9,28
رضي,يَرْضَى,يَفْعَى,8,8,28
ريم,مَرْيَمَ,مَفْعَل,28,1,28
صبح,مُصْبِحِينَ,مُفْعِلِين,10,9,28
عجز,مُعَاجِزِينَ,مُفَاعِل,6,8,28
غشي,يَغْشَى,يَفْعَى,10,7,28
كله,كُلَّهَا,فُعَّل,8,7,28
مري,أَمْرِي,أَفْعِل,16,2,28
نطق,يَنْطِقُونَ,يَفْعِلُونَ,15,4,28
يوحى,يُوحَى,فُفَعل,28,1,28
أذكر,اذْكُرُوا,فُعْلُل,27,1,27
جنح,جُنَاحَ,فُعَال,16,3,27
خشي,يَخْشَى,يَفْعَى,12,5,27
خفف,يُخَفَّفُ,يُفَعَّل,10,8,27
رضو,تَرْضَوْنَهَا,تَفْعَلْنَ,6,8,27
سلت,سَأَلْتَهُمْ,فَأَعْل,21,2,27
شرو,اشْتَرَوْا,افْتَعَل,12,3,27
شفعة,الشَّفَاعَةُ,فَفَاعَل,9,5,27
طغي,طُغْيَانِهِمْ,فُعْلَان,10,5,27
قرء,قُرْآنَاً,فُعْلَان,18,4,27
قضي,يَقْضِي,يَفْعِي,8,7,27
لعب,يَلْعَبُونَ,يَفْعَلُونَ,15,5,27
مسو,تَمَسُّوهَا,تَفَعُّل,12,3,27
مهن,مُهِينٌ,فُعِيل,8,7,27
ودد,يَوَدُّ,يَفَعُّ,10,9,27
يتم,الْيَتَامَى,فَعَالَى,10,6,27
يهد,الْيَهُودُ,فَعُول,18,3,27
أيي,أَيُّهُمْ,فَعُّ,12,4,26
ؤخذ,يُؤَاخِذُكُمُ,يُفَاعِل,6,6,26
بغت,بَغْتَةً,فَعْلَة,26,1,26
ثني,اثْنَيْنِ,إِفْعَلْ,20,5,26
جيب,يَسْتَجِيبُوا,يَسْتَفعِل,15,5,26
خبث,الْخَبِيثَ,فَعِيل,10,7,26
شفع,يَشْفَعُونَ,يَفْعَلُونَ,5,10,26
صغر,الصَّاغِرِينَ,فَاعِل,6,8,26
عزة,الْعِزَّةَ,فِعَّل,12,4,26
غرق,أَغْرَقْنَا,أَفْعَلْ,8,7,26
لعة,اللَّعْنَةُ,فَعْنَل,8,5,26
وسع,وَاسِعٌ,فَاعِل,7,9,26
يعد,يَعِدُكُمُ,فَعل,6,6,26
أتا,يَأْتُوا,يَفْعُول,15,2,25
ثلثة,ثَلَاثَةَ,فَفَاعَل,6,7,25
جله,أَجَلَهُنَّ,أَفَعَل,8,7,25
جنب,يَجْتَنِبُونَ,افْتَعَل,6,11,25
حذر,يَحْذَرُونَ,يَفْعَلُونَ,6,8,25
خرى,أُخْرَى,أُفْعَل,15,2,25
خزي,يُخْزِيهِ,يُفْعِي,9,8,25
طور,الطُّورِ,فُعِل,8,7,25
عفو,تَعْفُوا,تَفْعُل,9,5,25
نزع,يَتَنَازَعُونَ,يَتَفَاعَل,6,8,25
ءتي,آتِيكُمْ,فَاعِل,11,6,24
برر,الْبِرَّ,فِعَّ,8,6,24
جهر,الْجَهْرَ,فَعْل,6,7,24
ختلف,تَخْتَلِفُونَ,تَفْعَلِل,24,1,24
روى,رَأَى,فَاعٍ,24,1,24
عده,يُعِيدُهُ,يُفِيعُل,21,2,24
عمي,الْأَعْمَى,أَفْعَى,14,5,24
قدس,الْقُدُسِ,فُعُل,12,5,24
قمو,يُقِيمُونَ,يُفِيعُل,12,4,24
كشف,كَشَفْنَا,فَعَلْنَا,8,9,24
كفل,أَكْفِلْنِيهَا,أَفْعِلْنِي,5,8,24
لدي,لَدَيْهِمْ,فَعَل,14,2,24
نسا,نَسُوا,فَعُول,14,4,24
ورث,الْوَارِثِينَ,فَاعِل,9,6,24
ولى,تَوَلَّى,تَفَعَّل,9,4,24
أرو,أَرَاكُمْ,فَعَاكُمْ,14,3,23
ؤتو,تُؤْتُونَهُنَّ,تُفْعُل,6,5,23
بخل,يَبْخَلُونَ,يَفْعَلُونَ,9,6,23
تقل,تَقُولَ,فَعُول,12,3,23
ثمن,ثَمَنَاً,فَعَل,20,2,23
خطئ,خَاطِئِينَ,فَاعِل,4,8,23
ربص,يَتَرَبَّصْنَ,يَتَفَعَّلْ,6,8,23
رجم,تَرْجُمُونِ,تَفْعُل,6,7,23
سمى,مُسَمَّىً,مُفَعَّل,21,2,23
شهدة,شَهَادَةً,فَفَاعَل,9,4,23
غضب,غَضَبٌ,فَعَل,4,10,23
فقر,الْفُقَرَاءُ,فُعَلَاء,6,8,23
قسط,الْمُقْسِطِينَ,مُفْعِلِين,9,5,23
قلت,قَالَتِ,فَأَعل,10,4,23
لمت,كَلِمَتُ,فِعَل,10,5,23
لوط,لُوطٍ,فُعِل,13,3,23
منو,يَتَمَنَّوْنَهُ,يَتَفَعَّلْ,6,6,23
