root,count,first_word,first_word_plain,first_segment,sample_location,wazn,confidence,other_examples
كذب,262,يَكْذِبُونَ,يكذبون,كْذِبُ,2:10:12,فعل,0.920,وَكَذَّبُوا (2:39) | كَذَّبْتُمْ (2:87)
خلق,261,خَلَقَكُمْ,خلقكم,خَلَقَ,2:21:6,فعل,1.000,خَلَقَ (2:29) | خَلَاقٍ (2:102)
سمو,260,بِسْمِ,بسم,اسْمِ,1:1:1,فعل,0.880,سَمَاوَاتٍ (2:29) | الْأَسْمَاءَ (2:31)
ءمر,247,أَمَرَ,أمر,أَمَرَ,2:27:10,فعل,1.000,أَتَأْمُرُونَ (2:44) | يَأْمُرُكُمْ (2:67)
ءخر,245,وَبِالْآخِرَةِ,وبالآخرة,ءَاخِرَ,2:4:10,فاعل,1.000,الْآخِرِ (2:8) | الْآخِرِ (2:62)
نوس,241,النَّاسِ,الناس,نَاسِ,2:8:2,فعل,1.000,النَّاسُ (2:13) | النَّاسُ (2:21)
جيء,237,جَاءَكُمْ,جاءكم,جَاءَ,2:87:18,فعل,1.000,جَاءَهُمْ (2:89) | جَاءَكُمْ (2:92)
غفر,232,نَغْفِرْ,نغفر,غْفِرْ,2:58:16,فعل,0.920,غَفُورٌ (2:173) | بِالْمَغْفِرَةِ (2:175)
نفس,231,أَنْفُسَهُمْ,أنفسهم,أَنْفُسَ,2:9:8,افعل,1.000,أَنْفُسَكُمْ (2:44) | نَفْسٌ (2:48)
هدي,215,هُدَىً,هدى,هُدَىً,2:2:6,فعل,1.000,هُدَىً (2:5) | بِالْهُدَى (2:16)
نور,202,نَارَاً,نارا,نَارَ,2:17:5,فعل,1.000,بِنُورِهِمْ (2:17) | النَّارَ (2:24)
ءول,196,أَوَّلَ,أول,أَوَّلَ,2:41:9,فعل,1.000,آلِ (2:49) | آلَ (2:50)
حكم,196,الْحَكِيمُ,الحكيم,حَكِيمُ,2:32:12,فعيل,1.000,يَحْكُمُ (2:113) | وَالْحِكْمَةَ (2:129)
حسن,194,الْمُحْسِنِينَ,المحسنين,مُحْسِنِ,2:58:20,مفعل,1.000,إِحْسَانَاً (2:83) | حُسْنَاً (2:83)
خير,194,خَيْرٌ,خير,خَيْرٌ,2:54:17,فعل,1.000,خَيْرٌ (2:61) | خَيْرٌ (2:103)
ءخذ,181,يُؤْخَذُ,يؤخذ,ؤْخَذُ,2:48:14,فعل,0.920,اتَّخَذْتُمُ (2:51) | بِاتِّخَاذِكُمُ (2:54)
جنن,176,جَنَّاتٍ,جنات,جَنَّ,2:25:8,فعل,0.973,الْجَنَّةَ (2:35) | الْجَنَّةِ (2:82)
سبل,176,السَّبِيلِ,السبيل,سَبِيلِ,2:108:18,فعيل,1.000,سَبِيلِ (2:154) | السَّبِيلِ (2:177)
خرج,174,فَأَخْرَجَ,فأخرج,أَخْرَجَ,2:22:12,افعل,1.000,فَأَخْرَجَهُمَا (2:36) | يُخْرِجْ (2:61)
سمع,172,سَمْعِهِمْ,سمعهم,سَمْعِ,2:7:6,فعل,1.000,بِسَمْعِهِمْ (2:20) | يَسْمَعُونَ (2:75)
ضلل,171,الضَّالِّينَ,الضالين,ضَالِّ,1:7:9,فاعل,1.000,الضَّلَالَةَ (2:16) | يُضِلُّ (2:26)
ءهل,168,أَهْلِ,أهل,أَهْلِ,2:105:6,فعل,1.000,أَهْلِ (2:109) | أَهْلَهُ (2:126)
كثر,166,كَثِيرَاً,كثيرا,كَثِيرَ,2:26:31,فعيل,1.000,أَكْثَرُهُمْ (2:100) | كَثِيرٌ (2:109)
مثل,165,مَثَلُهُمْ,مثلهم,مَثَلُ,2:17:1,فعل,1.000,كَمَثَلِ (2:17) | مِثْلِهِ (2:23)
قتل,161,فَاقْتُلُوا,فاقتلوا,اقْتُلُ,2:54:14,افعل,1.000,وَيَقْتُلُونَ (2:61) | قَتَلْتُمْ (2:72)
شهد,159,شُهَدَاءَكُمْ,شهداءكم,شُهَدَاءَ,2:23:14,فعلاء,1.000,تَشْهَدُونَ (2:84) | شُهَدَاءَ (2:133)
بعض,158,بَعُوضَةً,بعوضة,بَعُوضَ,2:26:9,فعول,1.000,بَعْضُكُمْ (2:36) | لِبَعْضٍ (2:36)
ءله,155,إِلَهَكَ,إلهك,إِلَهَ,2:133:17,فعل,1.000,وَإِلَهَ (2:133) | إِلَهَاً (2:133)
صدق,155,صَادِقِينَ,صادقين,صَادِقِ,2:23:20,فاعل,1.000,صَادِقِينَ (2:31) | مُصَدِّقَاً (2:41)
كبر,155,وَاسْتَكْبَرَ,واستكبر,اسْتَكْبَرَ,2:34:10,استفعل,0.983,لَكَبِيرَةٌ (2:45) | اسْتَكْبَرْتُمْ (2:87)
سوء,154,سَوَاءٌ,سواء,سَوَاءٌ,2:6:4,فعال,1.000,سُوءَ (2:49) | سَوَاءَ (2:108)
دون,146,دُونِ,دون,دُونِ,2:23:16,فعل,1.000,دُونِ (2:94) | دُونِ (2:107)
غير,146,غَيْرِ,غير,غَيْرِ,1:7:5,فعل,1.000,غَيْرَ (2:59) | بِغَيْرِ (2:61)
بصر,143,أَبْصَارِهِمْ,أبصارهم,أَبْصَارِ,2:7:8,افعال,1.000,يُبْصِرُونَ (2:17) | أَبْصَارَهُمْ (2:20)
شرك,142,الْمُشْرِكِينَ,المشركين,مُشْرِكِ,2:105:9,مفعل,1.000,الْمُشْرِكِينَ (2:135) | الْمُشْرِكَاتِ (2:221)
ولي,138,تَوَلَّيْتُمْ,توليتم,تَوَلَّيْ,2:64:2,تفعل,1.000,تَوَلَّيْتُمْ (2:83) | وَلِيٍّ (2:107)
رود,136,أَرَادَ,أراد,أَرَادَ,2:26:25,افعل,1.000,تُرِيدُونَ (2:108) | يُرِيدُ (2:185)
نتم,133,وَأَنْتُمْ,وأنتم,أَنْتُمْ,2:22:22,افعل,0.925,وَأَنْتُمْ (2:42) | وَأَنْتُمْ (2:44)
تبع,132,وَاتَّبَعُوا,واتبعوا,اتَّبَعُ,2:102:1,افعل,1.000,تَتَّبِعَ (2:120) | اتَّبَعْتَ (2:120)
قدر,132,قَدِيرٌ,قدير,قَدِيرٌ,2:20:25,فعيل,1.000,قَدِيرٌ (2:106) | قَدِيرٌ (2:109)
نذر,132,أَأَنْذَرْتَهُمْ,أأنذرتهم,أَنْذَرْ,2:6:6,افعل,1.000,تُنْذِرْهُمْ (2:6) | وَنَذِيرَاً (2:119)
جمع,129,جَمِيعَاً,جميعا,جَمِيعَ,2:29:8,فعيل,1.000,جَمِيعَاً (2:38) | جَمِيعَاً (2:148)
قلب,129,قُلُوبِهِمْ,قلوبهم,قُلُوبِ,2:7:4,فعول,1.000,قُلُوبِهِمْ (2:10) | قُلُوبُكُمْ (2:74)
عظم,128,عَظِيمٌ,عظيم,عَظِيمٌ,2:7:12,فعيل,1.000,عَظِيمٌ (2:49) | الْعَظِيمِ (2:105)
حيي,124,يَسْتَحْيِي,يستحيي,سْتَحْيِي,2:26:4,فعل,1.000,فَأَحْيَاكُمْ (2:28) | يُحْيِيكُمْ (2:28)
بشر,121,وَبَشِّرِ,وبشر,بَشِّرِ,2:25:1,فعل,1.000,وَبُشْرَى (2:97) | بَشِيرَاً (2:119)
رزق,121,رَزَقْنَاهُمْ,رزقناهم,رَزَقْ,2:3:7,فعل,1.000,رِزْقَاً (2:22) | رُزِقُوا (2:25)
نصر,121,يُنْصَرُونَ,ينصرون,نْصَرُ,2:48:19,فعل,0.920,وَالنَّصَارَى (2:62) | يُنْصَرُونَ (2:86)
دخل,120,ادْخُلُوا,ادخلوا,دْخُلُ,2:58:3,فعل,0.920,وَادْخُلُوا (2:58) | يَدْخُلَ (2:111)
دنو,120,الدُّنْيَا,الدنيا,دُنْيَا,2:85:38,فعيل,1.000,الدُّنْيَا (2:86) | الدُّنْيَا (2:114)
سءل,120,سَأَلْتُمْ,سألتم,سَأَلْ,2:61:36,فعل,1.000,تَسْأَلُوا (2:108) | سُئِلَ (2:108)
سلم,120,مُسَلَّمَةٌ,مسلمة,مُسَلَّمَ,2:71:13,مفعل,1.000,أَسْلَمَ (2:112) | مُسْلِمَيْنِ (2:128)
سمء,120,السَّمَاءِ,السماء,سَمَاءِ,2:19:4,فعال,0.925,وَالسَّمَاءَ (2:22) | السَّمَاءِ (2:22)
عزز,117,الْعَزِيزُ,العزيز,عَزِيزُ,2:129:15,فعيل,1.000,الْعِزَّةُ (2:206) | عَزِيزٌ (2:209)
نهر,114,الْأَنْهَارُ,الأنهار,أَنْهَارُ,2:25:12,افعال,1.000,الْأَنْهَارُ (2:74) | وَالنَّهَارِ (2:164)
ملء,113,لِلْمَلَائِكَةِ,للملائكة,مَلَائِكَ,2:30:4,فعال,1.000,الْمَلَائِكَةِ (2:31) | لِلْمَلَائِكَةِ (2:34)
نظر,112,تَنْظُرُونَ,تنظرون,نْظُرُ,2:50:10,فعل,0.920,تَنْظُرُونَ (2:55) | النَّاظِرِينَ (2:69)
ءجر,109,أَجْرُهُمْ,أجرهم,أَجْرُ,2:62:16,فعل,1.000,أَجْرُهُ (2:112) | أَجْرُهُمْ (2:262)
نفق,108,يُنْفِقُونَ,ينفقون,نْفِقُ,2:3:8,فعل,0.920,وَأَنْفِقُوا (2:195) | يُنْفِقُونَ (2:215)
موت,106,الْمَوْتِ,الموت,مَوْتِ,2:19:16,فعل,1.000,أَمْوَاتَاً (2:28) | يُمِيتُكُمْ (2:28)
توب,105,فَتَابَ,فتاب,تَابَ,2:37:6,فعل,1.000,التَّوَّابُ (2:37) | فَتُوبُوا (2:54)
رءي,105,وَرَاءَهُ,وراءه,رَاءَ,2:91:15,فعل,0.990,رِئَاءَ (2:264) | رَأْيَ (3:13)
يدي,105,يَدَيْهَا,يديها,يَدَيْ,2:66:5,فعل,1.000,بِأَيْدِيهِمْ (2:79) | أَيْدِيهِمْ (2:79)
رجع,103,يَرْجِعُونَ,يرجعون,رْجِعُ,2:18:6,فعل,0.920,تُرْجَعُونَ (2:28) | رَاجِعُونَ (2:46)
قيل,103,قِيلَ,قيل,قِيلَ,2:11:2,فعل,1.000,قِيلَ (2:13) | قِيلَ (2:59)
ليل,102,فَوَلِّ,فول,وَلِّ,2:144:10,فعل,0.931,فَوَلُّوا (2:144) | فَوَلِّ (2:149)
صبر,100,بِالصَّبْرِ,بالصبر,صَبْرِ,2:45:2,فعل,1.000,نَصْبِرَ (2:61) | بِالصَّبْرِ (2:153)
خوف,99,خَوْفٌ,خوف,خَوْفٌ,2:38:13,فعل,1.000,خَوْفٌ (2:62) | خَوْفٌ (2:112)
ءتق,98,فَاتَّقُوا,فاتقوا,اتَّقُ,2:24:6,افعل,0.952,فَاتَّقُونِ (2:41) | وَاتَّقُوا (2:48)
صحب,97,أَصْحَابُ,أصحاب,أَصْحَابُ,2:39:6,افعال,1.000,أَصْحَابُ (2:81) | أَصْحَابُ (2:82)
ءنا,96,وَأَنَا,وأنا,أَنَا,2:160:9,فعل,1.000,أَنَا (2:258) | بِأَنَّا (3:52)
بنو,96,أَبْنَاءَكُمْ,أبناءكم,أَبْنَاءَ,2:49:10,فعلاء,1.000,ابْنَ (2:87) | أَبْنَاءَهُمْ (2:146)
دين,96,الدِّينِ,الدين,دِينِ,1:4:3,فعل,1.000,الدِّينَ (2:132) | الدِّينُ (2:193)
ءنس,95,أُنَاسٍ,أناس,أُنَاسٍ,2:60:17,فعال,1.000,آنَسْتُمْ (4:6) | الْإِنْسَانُ (4:28)
حسب,94,الْحِسَابِ,الحساب,حِسَابِ,2:202:8,فعال,1.000,فَحَسْبُهُ (2:206) | حِسَابٍ (2:212)
قرب,94,تَقْرَبَا,تقربا,قْرَبَا,2:35:13,فعل,0.931,الْقُرْبَى (2:83) | الْقُرْبَى (2:177)
وعد,94,تُوَاعِدُوهُنَّ,تواعدوهن,تُوَاعِدُو,2:235:20,تفاعلو,0.805,وَعْدَهُ (3:152) | وَعْدَ (4:122)
تلو,93,تَتْلُو,تتلو,تْلُو,2:102:3,فعل,1.000,تُوَلُّوا (2:115) | تِلَاوَتِهِ (2:121)
سبح,92,نُسَبِّحُ,نسبح,سَبِّحُ,2:30:19,فعل,1.000,سُبْحَانَكَ (2:32) | سُبْحَانَهُ (2:116)
طوع,91,تَطَوَّعَ,تطوع,طَوَّعَ,2:158:19,فعل,1.000,تَطَوَّعَ (2:184) | اسْتَطَاعُوا (2:217)
فضل,91,فَضْلُ,فضل,فَضْلُ,2:64:7,فعل,1.000,فَضْلِهِ (2:90) | الْفَضْلِ (2:105)
حبب,90,يُحِبُّونَهُمْ,يحبونهم,حِبُّونَ,2:165:9,فعل,0.931,حُبَّاً (2:165) | حُبِّهِ (2:177)
كيف,90,كَيْفَ,كيف,كَيْفَ,2:28:1,فعل,1.000,كَافَّةً (2:208) | كَيْفَ (2:259)
قرء,89,الْقُرْآنُ,القرآن,قُرْءَانُ,2:185:6,فعلان,1.000,قُرُوءٍ (2:228) | الْقُرْآنَ (4:82)
مول,89,الْأَمْوَالِ,الأموال,أَمْوَالِ,2:155:8,افعال,1.000,الْمَالَ (2:177) | أَمْوَالَكُمْ (2:188)
خلد,87,خَالِدُونَ,خالدون,خَالِدُ,2:25:34,فاعل,1.000,خَالِدُونَ (2:39) | خَالِدُونَ (2:81)
دعو,87,فَادْعُ,فادع,ادْعُ,2:61:9,فعل,0.880,ادْعُ (2:68) | ادْعُ (2:69)
نحن,86,نَحْنُ,نحن,نَحْنُ,2:11:10,فعل,1.000,نَحْنُ (2:14) | وَنَحْنُ (2:30)
ولد,86,وَبِالْوَالِدَيْنِ,وبالوالدين,وَالِدَ,2:83:10,فاعل,1.000,وَلَدَاً (2:116) | لِلْوَالِدَيْنِ (2:180)
ذوو,84,وَذِي,وذي,ذِي,2:83:12,,1.000,ذُو (2:105) | ذَوِي (2:177)
ءخو,83,أَخِيهِ,أخيه,أَخِي,2:178:19,فعل,1.000,فَإِخْوَانُكُمْ (2:220) | إِخْوَانَاً (3:103)
ءوب,83,آبَائِكَ,آبائك,ءَابَائِ,2:133:19,فعلاء,1.000,آبَاءَنَا (2:170) | آبَاؤُهُمْ (2:170)
حرم,83,مُحَرَّمٌ,محرم,مُحَرَّمٌ,2:85:20,مفعل,1.000,الْحَرَامِ (2:144) | الْحَرَامِ (2:149)
شدد,82,أَشَدُّ,أشد,أَشَدُّ,2:74:10,افعل,1.000,أَشَدِّ (2:85) | أَشَدُّ (2:165)
ءنت,81,أَنْتَ,أنت,أَنْتَ,2:32:10,فعل,1.000,أَنْتَ (2:35) | أَنْتَ (2:127)
ءيم,81,أُمِّيُّونَ,أميون,أُمِّيُّ,2:78:2,فعل,0.990,أَمْوَاتٌ (2:154) | أَيَّامٍ (2:184)
زوج,81,أَزْوَاجٌ,أزواج,أَزْوَاجٌ,2:25:30,افعال,1.000,وَزَوْجُكَ (2:35) | وَزَوْجِهِ (2:102)
صلو,81,الصَّلَاةَ,الصلاة,صَلَا,2:3:5,فعل,1.000,الصَّلَاةَ (2:43) | وَالصَّلَاةِ (2:45)
نوب,81,النَّبِيِّينَ,النبيين,نَبِيِّ,2:61:52,فعل,0.990,أَنْبِيَاءَ (2:91) | النَّبِيُّونَ (2:136)
ءحد,79,أَحَدُهُمْ,أحدهم,أَحَدُ,2:96:10,فعل,0.900,أَحَدٍ (2:102) | أَحَدٍ (2:136)
عرض,78,عَرَضَهُمْ,عرضهم,عَرَضَ,2:31:6,فعل,1.000,مُعْرِضُونَ (2:83) | عُرْضَةً (2:224)
عقب,78,عَقِبَيْهِ,عقبيه,عَقِبَيْ,2:143:27,فعل,1.000,الْعِقَابِ (2:196) | الْعِقَابِ (2:211)
هما,78,مِنْهُمَا,منهما,هُمَا,2:102:36,فعل,1.000,بِهِمَا (2:158) | فِيهِمَا (2:219)
نبء,76,أَنْبِئُونِي,أنبئوني,أَنْبِئُو,2:31:10,افعلو,0.805,أَنْبِئْهُمْ (2:33) | أَنْبَأَهُمْ (2:33)
شكر,75,تَشْكُرُونَ,تشكرون,شْكُرُ,2:52:8,فعل,0.920,تَشْكُرُونَ (2:56) | وَاشْكُرُوا (2:152)
ءكل,74,يَأْكُلُونَ,يأكلون,أْكُلُ,2:174:15,فعل,0.920,تَأْكُلُوا (2:188) | لِتَأْكُلُوا (2:188)
قلل,74,قَلِيلَاً,قليلا,قَلِيلَ,2:41:16,فعيل,1.000,قَلِيلَاً (2:79) | قَلِيلَاً (2:83)
وجه,74,وَجْهَهُ,وجهه,وَجْهَ,2:112:4,فعل,1.000,وَجْهُ (2:115) | وَجْهِكَ (2:144)
خلف,73,خَلِيفَةً,خليفة,خَلِيفَ,2:30:9,فعيل,1.000,وَاخْتِلَافِ (2:164) | اخْتَلَفُوا (2:176)
رجل,73,وَلِلرِّجَالِ,وللرجال,رِّجَالِ,2:228:35,فعال,1.000,فَرِجَالَاً (2:239) | رِجَالِكُمْ (2:282)
وحد,73,وَاحِدٍ,واحد,وَاحِدٍ,2:61:8,فاعل,1.000,وَاحِدَاً (2:133) | وَاحِدٌ (2:163)
ءلم,72,أَلِيمٌ,أليم,أَلِيمٌ,2:10:9,فعيل,1.000,أَلِيمٌ (2:104) | أَلِيمٌ (2:174)
سجد,70,اسْجُدُوا,اسجدوا,سْجُدُ,2:34:4,فعل,0.920,فَسَجَدُوا (2:34) | سُجَّدَاً (2:58)
شطن,70,الشَّيْطَانُ,الشيطان,شَيْطَانُ,2:36:2,فيعال,0.973,الشَّيْطَانِ (2:168) | الشَّيْطَانِ (2:208)
فعل,70,تَفْعَلُوا,تفعلوا,فْعَلُ,2:24:3,فعل,0.920,فَافْعَلُوا (2:68) | يَفْعَلُونَ (2:71)
عرف,69,عَرَفُوا,عرفوا,عَرَفُ,2:89:20,فعل,1.000,يَعْرِفُونَهُ (2:146) | يَعْرِفُونَ (2:146)
نعم,69,أَنْعَمْتَ,أنعمت,أَنْعَمْ,1:7:3,افعل,1.000,أَنْعَمْتُ (2:40) | أَنْعَمْتُ (2:47)
بءس,68,وَلَبِئْسَ,ولبئس,لَبِئْسَ,2:102:67,فعل,0.931,وَبِئْسَ (2:126) | الْبَأْسَاءِ (2:177)
متع,68,وَمَتَاعٌ,ومتاع,مَتَاعٌ,2:36:17,فعال,1.000,فَأُمَتِّعُهُ (2:126) | تَمَتَّعَ (2:196)
كسب,67,يَكْسِبُونَ,يكسبون,كْسِبُ,2:79:24,فعل,0.920,كَسَبَ (2:81) | كَسَبَتْ (2:134)
بعث,66,بَعَثْنَاكُمْ,بعثناكم,بَعَثْ,2:56:2,فعل,1.000,وَابْعَثْ (2:129) | فَبَعَثَ (2:213)
خسر,65,الْخَاسِرُونَ,الخاسرون,خَاسِرُ,2:27:20,فاعل,1.000,الْخَاسِرِينَ (2:64) | الْخَاسِرُونَ (2:121)
ماء,65,مَاءً,ماء,مَاءً,2:22:11,فعل,0.900,الْمَاءُ (2:74) | مَاءٍ (2:164)
صوب,64,كَصَيِّبٍ,كصيب,كَصَيِّبٍ,2:19:2,فعل,0.956,أَصَابَتْهُمْ (2:156) | مُصِيبَةٌ (2:156)
نجو,64,نَجَّيْنَاكُمْ,نجيناكم,نَجَّيْ,2:49:2,فعل,1.000,فَأَنْجَيْنَاكُمْ (2:50) | يُنَجِّيكُمْ (6:63)
جرم,63,الْمُجْرِمِينَ,المجرمين,مُجْرِمِ,6:55:6,مفعل,1.000,مُجْرِمِيهَا (6:123) | أَجْرَمُوا (6:124)
حمد,63,الْحَمْدُ,الحمد,حَمْدُ,1:2:1,فعل,1.000,بِحَمْدِكَ (2:30) | حَمِيدٌ (2:267)
حمل,62,تَحْمِلُهُ,تحمله,حْمِلُ,2:248:21,فعل,0.920,تَحْمِلْ (2:286) | حَمَلْتَهُ (2:286)
ظنن,62,يَظُنُّونَ,يظنون,ظُنُّ,2:46:2,فعل,0.973,يَظُنُّونَ (2:78) | يَظُنُّونَ (2:249)
كلم,62,كَلِمَاتٍ,كلمات,كَلِمَ,2:37:5,فعل,1.000,كَلَامَ (2:75) | يُكَلِّمُنَا (2:118)
سحر,61,السِّحْرَ,السحر,سِحْرَ,2:102:16,فعل,1.000,بِالْأَسْحَارِ (3:17) | سِحْرٌ (5:110)
هنن,61,هُنَّ,هن,هُنَّ,2:187:8,فعل,0.846,لَهُنَّ (2:187) | فِيهِنَّ (2:197)
يمن,61,إِيمَانُكُمْ,إيمانكم,إِيمَانُ,2:93:24,افعال,1.000,بِالْإِيمَانِ (2:108) | إِيمَانِكُمْ (2:109)
بلغ,60,يَبْلُغَ,يبلغ,بْلُغَ,2:196:15,فعل,1.000,يَبْلُغَ (2:235) | الْبَلَاغُ (3:20)
جري,60,تَجْرِي,تجري,جْرِي,2:25:9,فعل,1.000,تَجْرِي (2:164) | تَجْرِي (2:266)
ظهر,58,تَظَاهَرُونَ,تظاهرون,ظَاهَرُ,2:85:11,فاعل,1.000,ظُهُورِهِمْ (2:101) | ظُهُورِهَا (2:189)
عدو,58,عَدُوٌّ,عدو,عَدُوٌّ,2:36:12,فعل,1.000,وَالْعُدْوَانِ (2:85) | عَدُوٌّ (2:98)
نسء,58,نِسَاءَكُمْ,نساءكم,نِسَاءَ,2:49:12,فعال,1.000,نِسَائِكُمْ (2:187) | النِّسَاءَ (2:222)
تخذ,57,أَتَتَّخِذُنَا,أتتخذنا,تَتَّخِذُ,2:67:12,تفعل,0.925,أَتَّخَذْتُمْ (2:80) | يَتَّخِذُ (2:165)
رحمن,57,الرَّحْمَنِ,الرحمن,رَحْمَنِ,1:1:3,فعلل,0.832,الرَّحْمَنِ (1:3) | الرَّحْمَنُ (2:163)
روح,57,بِرُوحِ,بروح,رُوحِ,2:87:15,فعل,1.000,الرِّيَاحِ (2:164) | بِرُوحِ (2:253)
ضرب,56,يَضْرِبَ,يضرب,ضْرِبَ,2:26:6,فعل,1.000,اضْرِبْ (2:60) | وَضُرِبَتْ (2:61)
قري,56,الْقَرْيَةَ,القرية,قَرْيَ,2:58:5,فعل,1.000,قَرْيَةٍ (2:259) | الْقَرْيَةِ (4:75)
لقي,56,فَتَلَقَّى,فتلقى,تَلَقَّى,2:37:1,فعل,1.000,مُلَاقُو (2:46) | مُلَاقُوهُ (2:223)
وكل,56,فَتَوَكَّلْ,فتوكل,وَكَّلْ,3:159:24,فعل,1.000,الْمُتَوَكِّلِينَ (3:159) | الْوَكِيلُ (3:173)
جزي,55,تَجْزِي,تجزي,جْزِي,2:48:4,فعل,1.000,تَجْزِي (2:123) | وَسَيَجْزِي (3:144)
دور,55,دِيَارِكُمْ,دياركم,دِيَارِ,2:84:11,فعال,1.000,دِيَارِهِمْ (2:85) | الدَّارُ (2:94)
غني,55,غَنِيٌّ,غني,غَنِيٌّ,2:263:10,فعل,1.000,غَنِيٌّ (2:267) | أَغْنِيَاءَ (2:273)
رضي,54,تَرْضَى,ترضى,رْضَى,2:120:2,فعل,1.000,تَرْضَاهَا (2:144) | وَرِضْوَانٌ (3:15)
ضرر,54,يَضُرُّهُمْ,يضرهم,ضُرُّ,2:102:54,فعل,0.973,وَالضَّرَّاءِ (2:177) | وَالضَّرَّاءُ (2:214)
بيت,53,الْبَيْتَ,البيت,بَيْتَ,2:125:3,فعل,1.000,الْبَيْتِ (2:127) | الْبَيْتَ (2:158)
غيب,53,بِالْغَيْبِ,بالغيب,غَيْبِ,2:3:3,فعل,1.000,غَيْبَ (2:33) | الْغَيْبِ (3:44)
خبر,52,خَبِيرٌ,خبير,خَبِيرٌ,2:234:25,فعيل,1.000,خَبِيرٌ (2:271) | خَبِيرٌ (3:153)
ضعف,52,فَيُضَاعِفَهُ,فيضاعفه,يُضَاعِفَ,2:245:8,فاعل,0.936,أَضْعَافَاً (2:245) | يُضَاعِفُ (2:261)
زكو,51,الزَّكَاةَ,الزكاة,زَكَا,2:43:4,فعل,1.000,الزَّكَاةَ (2:83) | الزَّكَاةَ (2:110)
