sura,verse,word_no,word,word_plain,segments_raw,segments_plain,tags,norm_surface,norm_segs
37,102,18,افْعَلْ,افعل,أب | ت | افعل,أب | ت | افعل,NOUN_CONCRETE | POSS_PRON | CV,افعل,ءبتافعل
37,130,3,إِلْيَاسيْنَ,إلياسين,آل | ياسين,آل | ياسين,NOUN_CONCRETE | NOUN_PROP_FOREIGN,ءلياسين,الياسين
40,5,5,وَالْأَحْزَابُ,والأحزاب,و | ال | والأحزاب | (null) | None,و | ال | والأحزاب,CONJ | DET | NOUN_ABSTRACT | CASE_DEF_GEN | None,والءحزاب,والوالءحزاب
40,38,5,اتَّبِعُونِ,اتبعون,قوم | (null) | None | None | None | None | تبع | و | ن | None,قوم | تبع | و | ن,NOUN_CONCRETE | CASE_DEF_GEN | None | None | None | None | IV | SUBJ_PRON | EMPHATIC_NUN | None,اتبعون,قومتبعون
40,42,1,تَدْعُونَنِي,تدعونني,ت | دع | ون | ي | None | None | None,ت | دع | ون | ي,IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON | None | None | None,تدعوني,تدعوي
40,43,4,تَدْعُونَنِي,تدعونني,ت | دع | ون | ي | None | None | None,ت | دع | ون | ي,IMPERF_PREF | IV | SUBJ_PRON | OBJ_PRON | None | None | None,تدعوني,تدعوي
42,37,10,يَغْفِرُونَ,يغفرون,ي | غفر | None | None,ي | غفر,IMPERF_PREF | IV | None | None,يغفرون,يغفر
43,8,1,فَأَهْلَكْنَا,فأهلكنا,ف | أهلك | None,ف | أهلك,CONJ | PV | None,فءهلكنا,فءهلك
43,49,2,يَاأَيُّهَا,ياأيها,يا | أي | ه | None | None,يا | أي | ه,VOC_PART | REL_PRON | OTHER | None | None,ياءيها,ياءيه
47,22,10,أَرْحَامَكُمْ,أرحامكم,أرحام,أرحام,NOUN_CONCRETE,ءرحامكم,ءرحام
48,15,7,لِتَأْخُذُوهَا,لتأخذوها,ل | ت | أخذ | ها | None,ل | ت | أخذ | ها,PREP | IMPERF_PREF | IV | OBJ_PRON | None,لتءخذوها,لتءخذها
48,19,3,يَأْخُذُونَهَا,يأخذونها,ي | أخذ | و | ن | None,ي | أخذ | و | ن,IV3MS | IV | SUBJ_PRON | NOON_V5 | None,يءخذونها,يءخذون
51,29,1,فَأَقْبَلَتِ,فأقبلت,ف | أقب | ت,ف | أقب | ت,CONJ | PV | SUFF_FEM_TA,فءقبلت,فءقبت
53,19,2,اللَّاتَ,اللات,ل | لات,ل | لات,DET | NOUN_PROP_FOREIGN,الات,لات
56,84,2,حِينَئِذٍ,حينئذ,حينـئذ,حينـئذ,ADV,حينءذ,حينـءذ
57,7,7,مُسْتَخْلَفِينَ,مستخلفين,ستخلف | ين,ستخلف | ين,NOUN_PASSIVE_PART | NSUFF_MASC_PL_ACC,مستخلفين,ستخلفين
57,12,10,بُشْرَاكُمُ,بشراكم,بشرى | كم,بشرى | كم,GERUND | POSS_PRON,بشراكم,بشريكم
57,15,10,مَأْوَاكُمُ,مأواكم,مأو | كم,مأو | كم,NOUN_TIME_PLACE | POSS_PRON,مءواكم,مءوكم
59,2,19,مَانِعَتُهُمْ,مانعتهم,مان | ة | هم,مان | ة | هم,NOUN_ACTIVE_PART | NSUFF_FEM_SG | POSS_PRON,مانعتهم,مانتهم
59,8,4,أُخْرِجُوا,أخرجوا,اخرج | وا,اخرج | وا,PV_PASS | SUBJ_PRON,ءخرجوا,اخرجوا
59,12,2,أُخْرِجُوا,أخرجوا,اخرج | وا,اخرج | وا,PV_PASS | SUBJ_PRON,ءخرجوا,اخرجوا
63,4,8,لِقَوْلِهِمْ,لقولهم,ل | قوم | هم,ل | قوم | هم,PREP | GERUND | POSS_PRON,لقولهم,لقومهم
68,41,4,فَلْيَأْتُوا,فليأتوا,ف | ل | أتي | وا | None,ف | ل | أتي | وا,CONJ | OTHER | IV | SUBJ_PRON | None,فليءتوا,فلءتوا
75,26,4,التَّرَاقِيَ,التراقي,ال | راقي,ال | راقي,DET | GERUND,التراقي,الراقي
76,7,2,بِالنَّذْرِ,بالنذر,ب | نذر | None,ب | نذر,PREP | GERUND | None,بالنذر,بنذر
83,3,2,كَالُوهُمْ,كالوهم,كا | و | هم,كا | و | هم,PV | SUBJ_PRON | OBJ_PRON,كالوهم,كاوهم
101,9,2,هَاوِيَةٌ,هاوية,ال | هاوي | ة | (null),ال | هاوي | ة,DET | NOUN_ABSTRACT | NSUFF_FEM_SG | CASE_DEF_GEN,هاويت,الهاويت
