sura,verse,word_no,seg_no,word,tag,old_seg,new_seg,category
3,105,11,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
3,114,13,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
3,116,13,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
3,170,14,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
3,176,14,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
3,183,7,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
3,195,41,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
4,3,3,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
4,3,18,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
4,3,27,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
4,18,21,1,أَعْتَدْنَا,PV,اعتد,أعتد,diff_reconstructed
4,62,3,3,أَصَابَتْهُمْ,OBJ_PRON,كم,هم,diff_reconstructed
4,75,22,2,وَاجْعَلْ,IV1S,أ,(null),diff_reconstructed
4,75,22,3,وَاجْعَلْ,CV,أجعل,اجعل,diff_reconstructed
4,75,27,2,وَاجْعَلْ,IV1S,أ,(null),diff_reconstructed
4,75,27,3,وَاجْعَلْ,CV,أجعل,اجعل,diff_reconstructed
4,157,5,1,عِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
4,171,15,1,عِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
5,8,14,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
5,52,21,2,عِنْدِهِ,POSS_PRON,ح,ه,diff_reconstructed
5,62,1,1,وَتَرَى,CONJ,W,و,diff_reconstructed
5,71,2,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
5,110,4,1,يَاعِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
5,111,7,1,بِي,PREP,B,ب,diff_reconstructed
5,111,11,3,وَاشْهَدْ,CV,شهد,اشهد,diff_reconstructed
5,111,12,3,بِأَنَّنَا,POSS_PRON,ن,نا,diff_reconstructed
5,112,4,1,يَاعِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
5,114,2,1,عِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
5,114,5,2,اللَّهُمَّ,POSS_PRON,M,م,diff_reconstructed
5,116,4,1,يَاعِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
6,2,11,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
6,31,5,3,بِلِقَاءِ,NOUN,لقاء,(null),diff_reconstructed
6,119,3,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
6,151,8,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
6,154,15,3,بِلِقَاءِ,NOUN,لقاء,(null),diff_reconstructed
7,12,4,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
7,61,5,1,بِي,PREP,B,ب,diff_reconstructed
7,67,4,1,بِي,PREP,B,ب,diff_reconstructed
7,143,16,1,انْظُرْ,IMPERF_PREF,أ,ا,diff_reconstructed
7,150,33,1,بِيَ,PREP,B,ب,diff_reconstructed
8,28,8,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
8,32,3,2,اللَّهُمَّ,POSS_PRON,M,م,diff_reconstructed
8,34,3,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
9,10,8,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
9,20,14,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
9,22,6,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
9,52,16,2,عِنْدِهِ,POSS_PRON,ح,ه,diff_reconstructed
9,69,30,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
9,88,9,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
9,88,12,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
9,92,20,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
9,97,6,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
9,107,3,2,مَسْجِدَاً,CASE_INDEF_(ACC_GEN),(null),ا,diff_reconstructed
10,10,4,2,اللَّهُمَّ,POSS_PRON,M,م,diff_reconstructed
10,16,14,1,عُمُرَاً,DET,ال,(null),diff_reconstructed
10,45,16,3,بِلِقَاءِ,NOUN,لقاء,(null),diff_reconstructed
10,90,9,1,وَعَدْوَاً,GERUND,عدو,وعدو,diff_reconstructed
10,92,4,1,لِتَكُونَ,PREP,L,ل,diff_reconstructed
11,2,1,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
11,28,13,2,عِنْدِهِ,POSS_PRON,ح,ه,diff_reconstructed
11,41,4,2,بِسْمِ,NOUN_ABSTRACT,Iسم,سم,diff_reconstructed
11,94,11,3,وَأَخَذَتِ,SUFF_FEM_TA,ط,ت,diff_reconstructed
11,101,9,1,آلِهَتُهُمُ,DET,ال,(null),diff_reconstructed
12,40,21,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
12,79,10,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
12,100,21,1,بِي,PREP,B,ب,diff_reconstructed
13,2,24,3,بِلِقَاءِ,NOUN,لقاء,(null),diff_reconstructed
13,5,16,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
13,5,20,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
13,8,14,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
13,43,13,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
14,12,3,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
14,49,1,1,وَتَرَى,CONJ,W,و,diff_reconstructed
15,32,5,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
16,14,13,1,وَتَرَى,CONJ,W,و,diff_reconstructed
16,105,9,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
16,108,9,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
17,2,8,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
17,10,6,1,أَعْتَدْنَا,PV,اعتد,أعتد,diff_reconstructed
17,23,3,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
17,53,9,2,يَنْزَغُ,IV,نزع,نزغ,diff_reconstructed
17,80,9,2,وَاجْعَلْ,IV1S,أ,(null),diff_reconstructed
17,80,9,3,وَاجْعَلْ,CV,أجعل,اجعل,diff_reconstructed
18,13,7,1,فِتْيَةٌ,NOUN_CONCRETE,فتى,فتية,diff_reconstructed
18,17,1,1,وَتَرَى,CONJ,W,و,diff_reconstructed
18,21,32,2,مَسْجِدَاً,CASE_INDEF_(ACC_GEN),(null),ا,diff_reconstructed
18,29,12,1,أَعْتَدْنَا,PV,اعتد,أعتد,diff_reconstructed
18,47,4,1,وَتَرَى,CONJ,W,و,diff_reconstructed
18,102,11,1,أَعْتَدْنَا,PV,اعتد,أعتد,diff_reconstructed
18,104,11,1,صُنْعَاً,GERUND,صنع,صنعا,diff_reconstructed
19,10,8,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
19,24,4,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
19,34,2,1,عِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
19,47,9,1,بِي,PREP,B,ب,diff_reconstructed
19,48,10,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
19,74,9,1,وَرِئْيَاً,NOUN_ABSTRACT,رئي,ورئي,diff_reconstructed
20,29,1,2,وَاجْعَلْ,IV1S,أ,(null),diff_reconstructed
20,29,1,3,وَاجْعَلْ,CV,أجعل,اجعل,diff_reconstructed
20,89,3,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
20,97,16,2,وَانْظُرْ,CV,أنظر,انظر,diff_reconstructed
20,118,3,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
21,19,7,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
22,2,13,1,وَتَرَى,CONJ,W,و,diff_reconstructed
22,5,56,1,وَتَرَى,CONJ,W,و,diff_reconstructed
22,26,9,1,بِي,PREP,B,ب,diff_reconstructed
23,33,8,3,بِلِقَاءِ,NOUN,لقاء,(null),diff_reconstructed
23,44,4,1,تَتْرَا,NOUN_ABSTRACT,تترى,تترا,diff_reconstructed
24,4,17,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
24,39,17,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
24,51,16,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
24,55,30,1,بِي,PREP,B,ب,diff_reconstructed
26,3,4,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
26,84,1,2,وَاجْعَلْ,IV1S,أ,(null),diff_reconstructed
26,84,1,3,وَاجْعَلْ,CV,أجعل,اجعل,diff_reconstructed
26,194,3,1,لِتَكُونَ,PREP,L,ل,diff_reconstructed
27,25,1,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
27,29,5,2,أُلْقِيَ,SUFF_FEM_TA,ت,(null),diff_reconstructed
27,30,5,2,بِسْمِ,NOUN_ABSTRACT,Iسم,سم,diff_reconstructed
27,31,1,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
27,40,3,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
27,40,18,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
27,88,1,1,وَتَرَى,CONJ,W,و,diff_reconstructed
28,10,15,1,لِتَكُونَ,PREP,L,ل,diff_reconstructed
28,37,9,2,عِنْدِهِ,POSS_PRON,ح,ه,diff_reconstructed
29,8,8,1,بِي,PREP,B,ب,diff_reconstructed
29,23,10,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
30,8,20,3,بِلِقَاءِ,NOUN,لقاء,(null),diff_reconstructed
30,38,14,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
31,5,6,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
31,15,6,1,بِي,PREP,B,ب,diff_reconstructed
31,34,3,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
32,10,12,3,بِلِقَاءِ,NOUN,لقاء,(null),diff_reconstructed
33,46,1,2,وَدَاعِيَاً,NOUN_ACTIVE_PART,اعي,داعي,diff_reconstructed
34,23,4,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
35,12,20,1,وَتَرَى,CONJ,W,و,diff_reconstructed
37,91,3,1,آلِهَتِهِمْ,DET,ال,(null),diff_reconstructed
39,18,10,1,وَأُولَئِكَ,CONJ,W,و,diff_reconstructed
39,46,2,2,اللَّهُمَّ,POSS_PRON,M,م,diff_reconstructed
39,75,1,1,وَتَرَى,CONJ,W,و,diff_reconstructed
41,14,9,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
41,30,11,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
41,50,22,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
42,44,10,1,وَتَرَى,CONJ,W,و,diff_reconstructed
43,53,2,2,أُلْقِيَ,SUFF_FEM_TA,ت,(null),diff_reconstructed
43,63,3,1,عِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
45,28,1,1,وَتَرَى,CONJ,W,و,diff_reconstructed
46,9,11,1,بِي,PREP,B,ب,diff_reconstructed
46,21,16,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
48,13,7,1,أَعْتَدْنَا,PV,اعتد,أعتد,diff_reconstructed
51,15,3,1,فِي,PREP,على,في,diff_reconstructed
51,29,3,1,فِي,PREP,على,في,diff_reconstructed
51,40,4,1,فِي,PREP,على,في,diff_reconstructed
53,35,1,3,أَعِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
53,36,5,1,فِي,PREP,على,في,diff_reconstructed
53,38,1,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
54,43,8,1,فِي,PREP,على,في,diff_reconstructed
55,8,1,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
55,29,3,1,فِي,PREP,على,في,diff_reconstructed
56,42,1,1,فِي,PREP,على,في,diff_reconstructed
57,10,3,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
57,29,5,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
58,8,27,1,فِي,PREP,على,في,diff_reconstructed
58,11,8,1,فِي,PREP,على,في,diff_reconstructed
59,14,5,1,فِي,PREP,على,في,diff_reconstructed
59,17,4,1,فِي,PREP,على,في,diff_reconstructed
59,24,12,1,فِي,PREP,على,في,diff_reconstructed
60,1,29,1,فِي,PREP,على,في,diff_reconstructed
60,4,6,1,فِي,PREP,على,في,diff_reconstructed
60,8,8,1,فِي,PREP,على,في,diff_reconstructed
60,9,7,1,فِي,PREP,على,في,diff_reconstructed
60,12,29,1,فِي,PREP,على,في,diff_reconstructed
61,1,4,1,فِي,PREP,على,في,diff_reconstructed
61,1,7,1,فِي,PREP,على,في,diff_reconstructed
61,4,6,1,فِي,PREP,على,في,diff_reconstructed
61,6,3,1,عِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
61,11,5,1,فِي,PREP,على,في,diff_reconstructed
61,12,12,1,فِي,PREP,على,في,diff_reconstructed
61,14,9,1,عِيسَى,NOUN_PROP_FOREIGN,عيسا,عيسى,diff_reconstructed
62,1,4,1,فِي,PREP,على,في,diff_reconstructed
62,1,7,1,فِي,PREP,على,في,diff_reconstructed
62,2,4,1,فِي,PREP,على,في,diff_reconstructed
62,10,5,1,فِي,PREP,على,في,diff_reconstructed
64,1,4,1,فِي,PREP,على,في,diff_reconstructed
64,1,7,1,فِي,PREP,على,في,diff_reconstructed
64,4,3,1,فِي,PREP,على,في,diff_reconstructed
64,15,6,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
66,11,15,1,فِي,PREP,على,في,diff_reconstructed
67,3,8,1,فِي,PREP,على,في,diff_reconstructed
67,8,6,2,أُلْقِيَ,SUFF_FEM_TA,ت,(null),diff_reconstructed
67,9,16,1,فِي,PREP,على,في,diff_reconstructed
67,10,9,1,فِي,PREP,على,في,diff_reconstructed
67,15,8,1,فِي,PREP,على,في,diff_reconstructed
67,16,3,1,فِي,PREP,على,في,diff_reconstructed
67,17,4,1,فِي,PREP,على,في,diff_reconstructed
67,20,14,1,فِي,PREP,على,في,diff_reconstructed
67,21,10,1,فِي,PREP,على,في,diff_reconstructed
67,24,5,1,فِي,PREP,على,في,diff_reconstructed
67,29,11,1,فِي,PREP,على,في,diff_reconstructed
69,11,6,1,فِي,PREP,على,في,diff_reconstructed
69,13,3,1,فِي,PREP,على,في,diff_reconstructed
69,21,2,1,فِي,PREP,على,في,diff_reconstructed
69,24,6,1,فِي,PREP,على,في,diff_reconstructed
69,32,2,1,فِي,PREP,على,في,diff_reconstructed
70,4,5,1,فِي,PREP,على,في,diff_reconstructed
70,14,2,1,فِي,PREP,على,في,diff_reconstructed
70,24,2,1,فِي,PREP,على,في,diff_reconstructed
71,7,8,1,فِي,PREP,على,في,diff_reconstructed
72,10,7,1,فِي,PREP,على,في,diff_reconstructed
72,12,7,1,فِي,PREP,على,في,diff_reconstructed
73,7,3,1,فِي,PREP,على,في,diff_reconstructed
73,20,38,1,فِي,PREP,على,في,diff_reconstructed
76,4,2,1,أَعْتَدْنَا,PV,اعتد,أعتد,diff_reconstructed
80,7,3,2,أَلَّا,OTHER,Lا,لا,diff_reconstructed
87,13,6,1,يَحْيَى,IMPERF_PREF,ي,يحيى,diff_reconstructed
87,13,6,2,يَحْيَى,IV,حيا,(null),diff_reconstructed
92,19,3,2,عِنْدَهُ,POSS_PRON,ح,ه,diff_reconstructed
