surface,category,note
وَإِنَّهُ,EMPHATIC_PREFIX,"و + إنّ + هـ"
وَإِنَّهَا,EMPHATIC_PREFIX,"و + إنّ + ها"
وَأَنَّ,EMPHATIC_PREFIX,"و + أنّ"
وَأَنَّهُ,EMPHATIC_PREFIX,"و + أنّ + هـ"
فَأَنَّ,EMPHATIC_PREFIX,"ف + أنّ"
فَأَنَّهُ,EMPHATIC_PREFIX,"ف + أنّ + هـ"
إِلَّا,EXCEPTION,"إلاّ — استثناء"
إِلَّآ,EXCEPTION,"إلاّ — Quranic"
أَلَّا,SUBORDINATE,"أن + لا"
أَلَّآ,SUBORDINATE,"أن + لا — Quranic"
مِمَّن,PREP_COMPOUND,"من + من"
عَمَّن,PREP_COMPOUND,"عن + من"
مِمَّا,PREP_COMPOUND,"من + ما"
عَمَّا,PREP_COMPOUND,"عن + ما"
بِمَا,PREP_COMPOUND,"ب + ما"
فِيمَا,PREP_COMPOUND,"في + ما"
لِمَن,PREP_COMPOUND,"ل + من"
لِمَا,PREP_COMPOUND,"ل + ما"
كَمَا,PREP_COMPOUND,"ك + ما"
حَتَّى,SUBORDINATE,"حتى"
حَيْثُ,LOCATIVE,"حيث"
لَدُنْ,LOCATIVE,"لدن"
لَدَيْ,LOCATIVE,"لدى"
عِنْدَ,LOCATIVE,"عند"
نَعَمْ,AFFIRM,"نعم"
بَلَى,AFFIRM,"بلى"
أَجَلْ,AFFIRM,"أجل"
كَلَّا,DENIAL,"كلّا"
إِذًا,CONNECTIVE,"إذاً"
إِذَا,CONDITIONAL,"إذا — شرطية"
إِذْ,TIME,"إذ"
إِذَ,TIME,"إذ"
لَوْ,CONDITIONAL,"لو"
لَوْلَا,CONDITIONAL,"لولا"
لَوْمَا,CONDITIONAL,"لوما"
لَمَّا,CONDITIONAL,"لمّا"
كُلَّمَا,CONDITIONAL,"كلّما"
أَيْنَمَا,CONDITIONAL,"أينما"
حَيْثُمَا,CONDITIONAL,"حيثما"
مَهْمَا,CONDITIONAL,"مهما"
إِنَّمَآ,RESTRICT,"إنّما — Quranic"
وَإِنَّمَا,RESTRICT,"و + إنّما"
فَإِنَّمَا,RESTRICT,"ف + إنّما"
وَلَا,NEG_PREFIX,"و + لا"
فَلَا,NEG_PREFIX,"ف + لا"
وَلَآ,NEG_PREFIX,"و + لا — Quranic"
فَلَآ,NEG_PREFIX,"ف + لا — Quranic"
وَإِن,COND_PREFIX,"و + إن"
فَإِن,COND_PREFIX,"ف + إن"
وَإِذَا,COND_PREFIX,"و + إذا"
فَإِذَا,COND_PREFIX,"ف + إذا"
وَلَوْ,COND_PREFIX,"و + لو"
فَلَوْ,COND_PREFIX,"ف + لو"
وَمَا,WHAT_PREFIX,"و + ما"
فَمَا,WHAT_PREFIX,"ف + ما"
وَلَكِنَّ,EMPHATIC_PREFIX,"و + لكنّ"
وَلَكِن,DISJ_PREFIX,"و + لكن"
بَلْ,DISJ,"بل"
أَوْ,DISJ,"أو"
ثُمَّ,SEQ,"ثمّ"
لَا,NEG,"لا"
لَآ,NEG,"لا — Quranic"
مَا,WHAT,"ما"
مَنْ,WHO,"من — استفهام/موصول"
مَا,WHAT,"ما — استفهام/موصول"
كَيْفَ,HOW,"كيف"
أَيْنَ,WHERE,"أين"
مَتَى,WHEN,"متى"
لِمَ,WHY,"لمَ"
لِمَاذَا,WHY,"لماذا"
أَيُّ,WHICH,"أيّ"
أَيَّةَ,WHICH,"أيّة"
أَلَيْسَ,EMPHATIC_Q,"أ + ليس"
أَفَلَا,Q_NEG,"أ + ف + لا"
أَوَلَا,Q_NEG,"أ + و + لا"
فِى,HARF_JARR,"في — Quranic ى variant"
فِي,HARF_JARR,"في — preposition"
عَلَى,HARF_JARR,"على"
عَلَىٰ,HARF_JARR,"على — Quranic"
إِلَى,HARF_JARR,"إلى"
إِلَىٰ,HARF_JARR,"إلى — Quranic"
إِلَىٰٓ,HARF_JARR,"إلى — Quranic with madd"
مِنْ,HARF_JARR,"من"
مِن,HARF_JARR,"من — without sukun"
عَنْ,HARF_JARR,"عن"
عَن,HARF_JARR,"عن — without sukun"
حَتَّىٰ,SUBORDINATE,"حتى — Quranic"
مُنْذُ,HARF_JARR,"منذ"
مُذْ,HARF_JARR,"مذ"
خِلَالَ,HARF_JARR,"خلال"
رُبَّ,HARF_JARR,"رب"
دُونِ,LOCATIVE,"دون — ظرف/شبه حرف جر"
دُونَ,LOCATIVE,"دون"
بَعْدَ,LOCATIVE,"بعد — ظرف زمان"
بَعْدُ,LOCATIVE,"بعد"
قَبْلَ,LOCATIVE,"قبل — ظرف زمان"
قَبْلُ,LOCATIVE,"قبل"
بَيْنَ,LOCATIVE,"بين — ظرف مكان"
تَحْتَ,LOCATIVE,"تحت — ظرف مكان"
تَحْتِ,LOCATIVE,"تحت مجرور"
تَحْتِهَا,LOCATIVE_PRON,"تحت + ها"
تَحْتِهِ,LOCATIVE_PRON,"تحت + هـ"
تَحْتِهِمْ,LOCATIVE_PRON,"تحت + هم"
فَوْقَ,LOCATIVE,"فوق — ظرف مكان"
فَوْقِ,LOCATIVE,"فوق مجرور"
أَمَامَ,LOCATIVE,"أمام"
خَلْفَ,LOCATIVE,"خلف"
وَرَاءَ,LOCATIVE,"وراء"
وَرَآءَ,LOCATIVE,"وراء — Quranic"
عِنْدَ,LOCATIVE,"عند — ظرف"
عِنْدِ,LOCATIVE,"عند مجرور"
عِنْدَهُۥ,LOCATIVE_PRON,"عند + هـ"
عِنْدَهُ,LOCATIVE_PRON,"عند + هـ"
عِنْدَهُمْ,LOCATIVE_PRON,"عند + هم"
مَعَ,LOCATIVE,"مع"
مَعَهُ,LOCATIVE_PRON,"مع + هـ"
مَعَهُمْ,LOCATIVE_PRON,"مع + هم"
حَيْثُمَا,CONDITIONAL,"حيثما"
أَيُّمَا,CONDITIONAL,"أيّما"
فَمِنْهُم,PREP_PRON,"ف + من + هم"
فَمِنْهُمْ,PREP_PRON,"ف + من + هم"
وَمِنْهُم,PREP_PRON,"و + من + هم"
وَمِنْهُمْ,PREP_PRON,"و + من + هم"
مِنْهُمْ,PREP_PRON,"من + هم"
مِنْهُم,PREP_PRON,"من + هم"
مِنْهَا,PREP_PRON,"من + ها"
مِنْهُۥ,PREP_PRON,"من + هـ Quranic"
مِنْهُ,PREP_PRON,"من + هـ"
مِنِّى,PREP_PRON,"من + ي"
مِنِّي,PREP_PRON,"من + ي"
عَنْهُۥ,PREP_PRON,"عن + هـ Quranic"
عَنْهُ,PREP_PRON,"عن + هـ"
عَنْهُمْ,PREP_PRON,"عن + هم"
عَنْهَا,PREP_PRON,"عن + ها"
عَنِّى,PREP_PRON,"عن + ي"
بِهِۦ,PREP_PRON,"ب + هـ Quranic"
بِهِ,PREP_PRON,"ب + هـ"
بِهَا,PREP_PRON,"ب + ها"
بِهِمْ,PREP_PRON,"ب + هم"
بِكُمْ,PREP_PRON,"ب + كم"
بِنَا,PREP_PRON,"ب + نا"
لَهُۥ,PREP_PRON,"ل + هـ Quranic"
لَهُ,PREP_PRON,"ل + هـ"
لَهَا,PREP_PRON,"ل + ها"
لَهُمْ,PREP_PRON,"ل + هم"
لَهُم,PREP_PRON,"ل + هم"
لَكُمْ,PREP_PRON,"ل + كم"
لَكُم,PREP_PRON,"ل + كم"
لَنَا,PREP_PRON,"ل + نا"
فِيهِۦ,PREP_PRON,"في + هـ Quranic"
فِيهِ,PREP_PRON,"في + هـ"
فِيهَا,PREP_PRON,"في + ها"
فِيهِمْ,PREP_PRON,"في + هم"
فِيكُمْ,PREP_PRON,"في + كم"
فِينَا,PREP_PRON,"في + نا"
إِلَيْهِ,PREP_PRON,"إلى + هـ"
إِلَيْهَا,PREP_PRON,"إلى + ها"
إِلَيْهِمْ,PREP_PRON,"إلى + هم"
إِلَيْكَ,PREP_PRON,"إلى + كَ"
إِلَيْكُمْ,PREP_PRON,"إلى + كم"
إِلَيْنَا,PREP_PRON,"إلى + نا"
عَلَيْهِ,PREP_PRON,"على + هـ"
عَلَيْهَا,PREP_PRON,"على + ها"
عَلَيْهِم,PREP_PRON,"على + هم"
عَلَيْهِمْ,PREP_PRON,"على + هم"
عَلَيْكُمْ,PREP_PRON,"على + كم"
عَلَيْكَ,PREP_PRON,"على + كَ"
عَلَيْنَا,PREP_PRON,"على + نا"
هُوَ,DETACHED_PRON,"هو"
هِيَ,DETACHED_PRON,"هي"
هُمَا,DETACHED_PRON,"هما"
هُمْ,DETACHED_PRON,"هم"
هُم,DETACHED_PRON,"هم"
هُنَّ,DETACHED_PRON,"هن"
أَنَا,DETACHED_PRON,"أنا"
نَحْنُ,DETACHED_PRON,"نحن"
أَنْتَ,DETACHED_PRON,"أنت"
أَنتَ,DETACHED_PRON,"أنت"
أَنْتِ,DETACHED_PRON,"أنتِ"
أَنتِ,DETACHED_PRON,"أنتِ"
أَنْتُمَا,DETACHED_PRON,"أنتما"
أَنتُمَا,DETACHED_PRON,"أنتما"
أَنْتُمْ,DETACHED_PRON,"أنتم"
أَنتُمْ,DETACHED_PRON,"أنتم"
أَنْتُنَّ,DETACHED_PRON,"أنتن"
لَعَلَّكُمْ,NASIKH_PRON,"لعلّ + كم"
لَعَلَّكُم,NASIKH_PRON,"لعلّ + كم"
لَعَلَّهُمْ,NASIKH_PRON,"لعلّ + هم"
لَعَلَّهُۥ,NASIKH_PRON,"لعلّ + هـ"
لَعَلَّهُ,NASIKH_PRON,"لعلّ + هـ"
إِنَّكُمْ,NASIKH_PRON,"إنّ + كم"
إِنَّكَ,NASIKH_PRON,"إنّ + كَ"
إِنَّكِ,NASIKH_PRON,"إنّ + كِ"
إِنَّا,NASIKH_PRON,"إنّ + نا"
إِنَّنَا,NASIKH_PRON,"إنّا"
أَنَّكُمْ,NASIKH_PRON,"أنّ + كم"
أَنَّكَ,NASIKH_PRON,"أنّ + كَ"
كَأَنَّكَ,NASIKH_PRON,"كأنّ + كَ"
كَأَنَّهُۥ,NASIKH_PRON,"كأنّ + هـ"
لَكِنَّكُمْ,NASIKH_PRON,"لكنّ + كم"
لَيْتَنَا,NASIKH_PRON,"ليت + نا"
لَيْتَهُۥ,NASIKH_PRON,"ليت + هـ"
فَفِى,FUSED_PREP,"ف + في"
فَفِي,FUSED_PREP,"ف + في"
وَفِى,FUSED_PREP,"و + في"
وَفِي,FUSED_PREP,"و + في"
فَإِلَى,FUSED_PREP,"ف + إلى"
وَإِلَى,FUSED_PREP,"و + إلى"
وَإِلَىٰ,FUSED_PREP,"و + إلى"
فَعَلَى,FUSED_PREP,"ف + على"
وَعَلَى,FUSED_PREP,"و + على"
وَعَلَىٰ,FUSED_PREP,"و + على"
فَمِنْ,FUSED_PREP,"ف + من"
فَمِن,FUSED_PREP,"ف + من"
وَمِنْ,FUSED_PREP,"و + من"
وَمِن,FUSED_PREP,"و + من"
فَعَنْ,FUSED_PREP,"ف + عن"
وَعَنْ,FUSED_PREP,"و + عن"


وَهُوَ,DETACHED_PRON,وَ + هُوَ
فَهُوَ,DETACHED_PRON,فَ + هُوَ
وَهِيَ,DETACHED_PRON,وَ + هِيَ
فَهِيَ,DETACHED_PRON,فَ + هِيَ
وَهُمْ,DETACHED_PRON,وَ + هُمْ
فَهُمْ,DETACHED_PRON,فَ + هُمْ
وَهُم,DETACHED_PRON,وَ + هُم
فَهُم,DETACHED_PRON,فَ + هُم
وَأَنْتُمْ,DETACHED_PRON,وَ + أَنْتُمْ
وَأَنتُمْ,DETACHED_PRON,وَ + أَنتُمْ
وَنَحْنُ,DETACHED_PRON,وَ + نَحْنُ
فَنَحْنُ,DETACHED_PRON,فَ + نَحْنُ
