root,word,count,wazn,wazn_canonical,morph_type,root_audited,wazn_in_db
ءثم,الأَثِيمِ,1,الفَعِيلِ,الفَعِيل,noun,false,true
ءثم,الإِثْمَ,2,الفِعْلَ,الفِعْل,noun,false,true
ءثم,الإِثْمِ,6,الفِعْلِ,الفِعْل,noun,false,true
ءثم,بِإِثْمِي,1,بِفِعْلِي,بِفِعْل,noun,false,true
ءثم,بِالإِثْمِ,5,بِالفِعْلِ,بِالفِعْل,noun,false,true
ءثم,تَأْثِيمًا,1,تَفْعِيلًا,تَفْعِيل,verb,false,true
ءثم,تَأْثِيمٌ,1,تَفْعِيلٌ,تَفْعِيل,verb,false,true
ءثم,لإِثْمٍ,1,لفِعْلٍ,لفِعْل,noun,false,true
ءثم,وَإِثْمًا,3,وَفِعْلًا,وَفِعْل,noun,false,true
ءثم,وَإِثْمُهُمَا,1,وَفِعْلُهُمَا,وَفِعْل,noun,false,true
ءثم,وَإِثْمِكَ,1,وَفِعْلِكَ,وَفِعْل,noun,false,true
ءثم,وَالإِثْمَ,1,وَالفِعْلَ,وَالفِعْل,noun,false,true
ءجج,أُجَاجًا,1,فُعَالًا,فُعَال,noun,false,true
ءجج,أُجَاجٌ,2,فُعَالٌ,فُعَال,noun,false,true
ءجر,أَجْرًا,22,فَعْلًا,فَعْل,noun,false,true
ءجر,أَجْرٌ,11,فَعْلٌ,فَعْل,noun,false,true
ءجر,أَجْرٍ,10,فَعْلٍ,فَعْل,noun,false,true
ءجر,أَجْرَ,8,فَعْلَ,فَعْل,noun,false,true
ءجر,أَجْرَهَا,1,فَعْلَهَا,فَعْل,noun,false,true
ءجر,أَجْرَهُ,1,فَعْلَهُ,فَعْل,noun,false,true
ءجر,أَجْرَهُم,6,فَعْلَهُم,فَعْل,noun,false,true
ءجر,أَجْرُ,3,فَعْلُ,فَعْل,noun,false,true
ءجر,أَجْرُهُ,2,فَعْلُهُ,فَعْل,noun,false,true
ءجر,أَجْرُهُم,6,فَعْلُهُم,فَعْل,noun,false,true
ءجر,أَجْرِيَ,9,فَعْلِيَ,فَعْل,noun,false,true
ءجر,أُجُورَكُم,2,فُعُولَكُم,فُعُول,noun,false,true
ءجر,أُجُورَهُم,4,فُعُولَهُم,فُعُول,noun,false,true
ءجر,أُجُورَهُنَّ,6,فُعُولَهُنَّ,فُعُول,noun,false,true
ءجر,اسْتَئْجَرْتَ,1,اسْتَفْعَلْتَ,اسْتَفْعَلْت,verb,false,false
ءجر,اسْتَئْجِرْهُ,1,اسْتَفْعِلْهُ,اسْتَفْعِل,verb,false,false
ءجر,تَأْجُرَنِي,1,تَفْعُلَنِي,تَفْعُلَن,verb,false,false
ءجر,فَأَجِرْهُ,1,فَفَعِلْهُ,فَفَعِل,noun,false,true
ءجر,فَأَجْرُهُ,1,فَفَعْلُهُ,فَفَعْل,noun,false,true
ءجر,لأَجْرًا,3,لفَعْلًا,لفَعْل,noun,false,true
ءجر,وَأَجْرًا,2,وَفَعْلًا,وَفَعْل,noun,false,true
ءجر,وَأَجْرٌ,5,وَفَعْلٌ,وَفَعْل,noun,false,true
ءجر,وَأَجْرٍ,1,وَفَعْلٍ,وَفَعْل,noun,false,true
ءجر,وَلأَجْرُ,2,وَلفَعْلُ,وَلفَعْل,noun,false,false
ءجل,أَجَلاً,3,فَعَلاً,فَعَل,noun,false,true
ءجل,أَجَلٌ,4,فَعَلٌ,فَعَل,noun,false,true
ءجل,أَجَلٍ,16,فَعَلٍ,فَعَل,noun,false,true
ءجل,أَجَلَ,2,فَعَلَ,فَعَل,verb,false,true
ءجل,أَجَلَنَا,1,فَعَلَنَا,فَعَل,verb,false,true
ءجل,أَجَلَهَا,2,فَعَلَهَا,فَعَل,noun,false,true
ءجل,أَجَلَهُ,1,فَعَلَهُ,فَعَل,noun,false,true
ءجل,أَجَلَهُنَّ,4,فَعَلَهُنَّ,فَعَل,noun,false,true
ءجل,أَجَلُهَا,1,فَعَلُهَا,فَعَل,noun,false,true
ءجل,أَجَلُهُم,6,فَعَلُهُم,فَعَل,noun,false,true
ءجل,أَجَلُهُنَّ,1,فَعَلُهُنَّ,فَعَل,noun,false,true
ءجل,أَجَلِهِ,1,فَعَلِهِ,فَعَل,noun,false,true
ءجل,أَجَّلْتَ,1,فَعَّلْتَ,فَعَّلْت,verb,false,false
ءجل,أَجْلِ,1,فَعْلِ,فَعْل,noun,false,true
ءجل,أُجِّلَت,1,فُعِّلَت,فُعِّلَت,verb,false,false
ءجل,الأَجَلَ,1,الفَعَلَ,الفَعَل,verb,false,true
ءجل,الأَجَلَيْنِ,1,الفَعَلَيْنِ,الفَعَل,noun,false,true
ءجل,لأَجَلٍ,4,لفَعَلٍ,لفَعَل,noun,false,true
ءجل,مُؤَجَّلاً,1,مُفَعَّلاً,مُفَعَّل,noun,false,true
ءجل,وَأَجَلٌ,2,وَفَعَلٌ,وَفَعَل,noun,false,true
ءجل,وَأَجَلٍ,2,وَفَعَلٍ,وَفَعَل,noun,false,true
ءخذ,ءَأَتَّخِذُ,1,فَأَءْتَعِلُ,فَأَءْتَعِل,noun,false,false
ءخذ,ءَاخِذٌ,1,فَاعِلٌ,فَاعِل,noun,false,true
ءخذ,ءَاخِذِينَ,1,فَاعِلِينَ,فَاعِل,noun,false,true
ءخذ,أَتَأْخُذُونَهُ,1,فَتَأْعُلُونَهُ,فَتَأْعُل,noun,false,false
ءخذ,أَتَتَّخِذُ,1,فَتَءْتَعِلُ,فَتَءْتَعِل,noun,false,false
ءخذ,أَتَتَّخِذُنَا,1,فَتَءْتَعِلُنَا,فَتَءْتَعِل,noun,false,false
ءخذ,أَتَّخَذْتُم,1,فَءْتَعَلْتُم,فَءْتَعَلْتُم,noun,false,false
ءخذ,أَتَّخَذْنَاهُم,1,فَءْتَعَلْنَاهُم,فَءْتَعَلْن,noun,false,false
ءخذ,أَتَّخِذ,1,فَءْتَعِل,فَءْتَعِل,noun,false,false
ءخذ,أَتَّخِذُ,1,فَءْتَعِلُ,فَءْتَعِل,noun,false,false
ءخذ,أَخَذَ,9,فَعَلَ,فَعَل,verb,false,true
ءخذ,أَخَذَتِ,1,فَعَلَتِ,فَعَلَت,verb,false,false
ءخذ,أَخَذَتْهُ,2,فَعَلَتْهُ,فَعَلَت,verb,false,false
ءخذ,أَخَذَتْهُمُ,1,فَعَلَتْهُمُ,فَعَلَت,verb,false,false
ءخذ,أَخَذْتُ,1,فَعَلْتُ,فَعَلْت,verb,false,false
ءخذ,أَخَذْتُم,1,فَعَلْتُم,فَعَلْتُم,verb,false,false
ءخذ,أَخَذْتُهَا,1,فَعَلْتُهَا,فَعَلْت,verb,false,false
ءخذ,أَخَذْتُهُم,2,فَعَلْتُهُم,فَعَلْت,verb,false,false
ءخذ,أَخَذْنَا,12,فَعَلْنَا,فَعَل,verb,false,true
ءخذ,أَخَذْنَاهُم,2,فَعَلْنَاهُم,فَعَلْن,verb,false,false
ءخذ,أَخْذًا,1,فَعْلًا,فَعْل,noun,false,true
ءخذ,أَخْذَ,1,فَعْلَ,فَعْل,noun,false,true
ءخذ,أَخْذَةً,1,فَعْلَةً,فَعْلَة,noun,false,true
ءخذ,أَخْذَهُ,1,فَعْلَهُ,فَعْل,noun,false,true
ءخذ,أَخْذُ,1,فَعْلُ,فَعْل,noun,false,true
ءخذ,أَفَاتَّخَذْتُم,1,فَفَاءْتَعَلْتُم,فَفَاءْتَعَلْتُم,noun,false,false
ءخذ,أَفَتَتَّخِذُونَهُ,1,فَفَتَءْتَعِلُونَهُ,فَفَتَءْتَعِل,noun,false,false
ءخذ,أُخِذَ,1,فُعِلَ,فُعِل,verb,false,true
ءخذ,أُخِذُوا,1,فُعِلُوا,فُعِلُو,verb,false,false
ءخذ,اتَّخَذَ,15,افْتَعَلَ,افْتَعَل,verb,false,false
ءخذ,اتَّخَذَت,1,افْتَعَلَت,افْتَعَلَت,verb,false,false
ءخذ,اتَّخَذَهَا,1,افْتَعَلَهَا,افْتَعَل,verb,false,false
ءخذ,اتَّخَذُوا,21,افْتَعَلُوا,افْتَعَلُو,verb,false,false
ءخذ,اتَّخَذُوهَا,1,افْتَعَلُوهَا,افْتَعَلُو,verb,false,false
ءخذ,اتَّخَذُوهُ,1,افْتَعَلُوهُ,افْتَعَلُو,verb,false,false
ءخذ,اتَّخَذُوهُم,1,افْتَعَلُوهُم,افْتَعَلُو,verb,false,false
ءخذ,اتَّخَذْتَ,1,افْتَعَلْتَ,افْتَعَلْت,verb,false,false
ءخذ,اتَّخَذْتُ,1,افْتَعَلْتُ,افْتَعَلْت,verb,false,false
ءخذ,اتَّخَذْتُم,2,افْتَعَلْتُم,افْتَعَلْتُم,verb,false,false
ءخذ,اتَّخَذْتُمُ,2,افْتَعَلْتُمُ,افْتَعَلْتُم,verb,false,false
ءخذ,اتَّخِذُونِي,1,افْتَعِلُونِي,افْتَعِل,verb,false,false
ءخذ,اتَّخِذِي,1,افْتَعِلِي,افْتَعِل,verb,false,false
ءخذ,بِأَخِذِيهِ,1,بِفَعِلِيهِ,بِفَعِلِي,noun,false,false
ءخذ,بِاتِّخَاذِكُمُ,1,بِافْتِعَالِكُمُ,بِافْتِعَال,verb,false,true
ءخذ,تَأْخُذ,1,تَفْعُل,تَفْعُل,verb,false,true
ءخذ,تَأْخُذُهُ,1,تَفْعُلُهُ,تَفْعُل,verb,false,true
ءخذ,تَأْخُذُهُم,1,تَفْعُلُهُم,تَفْعُل,verb,false,true
ءخذ,تَأْخُذُوا,2,تَفْعُلُوا,تَفْعُلُو,verb,false,false
ءخذ,تَأْخُذُونَهَا,1,تَفْعُلُونَهَا,تَفْعُل,verb,false,true
ءخذ,تَأْخُذُونَهُ,1,تَفْعُلُونَهُ,تَفْعُل,verb,false,true
ءخذ,تَأْخُذْكُم,1,تَفْعُلْكُم,تَفْعُل,verb,false,true
ءخذ,تَتَّخِذَ,1,تَفْتَعِلَ,تَفْتَعِل,verb,false,false
ءخذ,تَتَّخِذُوا,13,تَفْتَعِلُوا,تَفْتَعِلُو,verb,false,false
ءخذ,تَتَّخِذُونَ,3,تَفْتَعِلُونَ,تَفْتَعِل,verb,false,false
ءخذ,تُؤَاخِذْنَا,1,تُفَاعِلْنَا,تُفَاعِل,verb,false,true
ءخذ,تُؤَاخِذْنِي,1,تُفَاعِلْنِي,تُفَاعِلْن,verb,false,false
ءخذ,فَأَخَذَتْكُمُ,1,فَفَعَلَتْكُمُ,فَفَعَلَت,verb,false,false
ءخذ,فَأَخَذَتْهُم,1,فَفَعَلَتْهُم,فَفَعَلَت,verb,false,false
ءخذ,فَأَخَذَتْهُمُ,8,فَفَعَلَتْهُمُ,فَفَعَلَت,verb,false,false
ءخذ,فَأَخَذَهُ,1,فَفَعَلَهُ,فَفَعَل,noun,false,true
ءخذ,فَأَخَذَهُم,2,فَفَعَلَهُم,فَفَعَل,noun,false,true
ءخذ,فَأَخَذَهُمُ,7,فَفَعَلَهُمُ,فَفَعَل,noun,false,true
ءخذ,فَأَخَذْتُهُم,1,فَفَعَلْتُهُم,فَفَعَلْت,verb,false,false
ءخذ,فَأَخَذْنَاهُ,3,فَفَعَلْنَاهُ,فَفَعَلْن,verb,false,false
ءخذ,فَأَخَذْنَاهُم,4,فَفَعَلْنَاهُم,فَفَعَلْن,verb,false,false
ءخذ,فَاتَّخَذَ,1,فَافْتَعَلَ,فَافْتَعَل,verb,false,false
ءخذ,فَاتَّخَذَت,1,فَافْتَعَلَت,فَافْتَعَلَت,verb,false,false
ءخذ,فَاتَّخَذْتُمُوهُم,1,فَافْتَعَلْتُمُوهُم,فَافْتَعَلْتُمُو,verb,false,false
ءخذ,فَاتَّخِذُوهُ,1,فَافْتَعِلُوهُ,فَافْتَعِلُو,verb,false,false
ءخذ,فَاتَّخِذْهُ,1,فَافْتَعِلْهُ,فَافْتَعِل,verb,false,false
ءخذ,فَيَأْخُذَكُم,3,فَيَفْعُلَكُم,فَيَفْعُل,verb,false,false
ءخذ,فَيُؤْخَذُ,1,فَيُفْعَلُ,فَيُفْعَل,verb,false,false
ءخذ,لأَتَّخِذَنَّ,1,لفَءْتَعِلَنَّ,لفَءْتَعِلَن,noun,false,false
ءخذ,لأَخَذْنَا,1,لفَعَلْنَا,لفَعَل,verb,false,true
ءخذ,لاَّتَّخَذُوكَ,1,لاَّفْتَعَلُوكَ,لاَّفْتَعَلُو,verb,false,false
ءخذ,لاَّتَّخَذْنَاهُ,1,لاَّفْتَعَلْنَاهُ,لاَّفْتَعَلْن,verb,false,false
ءخذ,لَتَّخَذْتَ,1,لَفْتَعَلْتَ,لَفْتَعَلْت,noun,false,false
ءخر,ءَاخَرَ,10,فَاعَلَ,فَاعَل,verb,false,true
ءخر,ءَاخَرَانِ,1,فَاعَلَانِ,فَاعَل,noun,false,true
ءخر,ءَاخَرُونَ,1,فَاعَلُونَ,فَاعَل,noun,false,true
ءخر,ءَاخَرِينَ,8,فَاعَلِينَ,فَاعَل,noun,false,true
ءخر,ءَاخِرَهُ,1,فَاعِلَهُ,فَاعِل,noun,false,true
ءخر,أَخَّرْتَنَا,1,فَعَّلْتَنَا,فَعَّلْت,verb,false,false
ءخر,أَخَّرْتَنِ,1,فَعَّلْتَنِ,فَعَّلْتَن,verb,false,false
ءخر,أَخَّرْتَنِي,1,فَعَّلْتَنِي,فَعَّلْتَن,verb,false,false
ءخر,أَخَّرْنَا,1,فَعَّلْنَا,فَعَّل,verb,false,true
ءخر,أَخِّرْنَا,1,فَعِّلْنَا,فَعِّل,verb,false,true
ءخر,أُخَرَ,2,فُعَلَ,فُعَل,verb,false,true
ءخر,أُخْرَاكُم,1,فُعْلَاكُم,فُعْل,noun,false,true
ءخر,أُخْرَاهُم,1,فُعْلَاهُم,فُعْل,noun,false,true
ءخر,أُخْرَى,15,فُعْلَى,فُعْلَى,noun,false,true
ءخر,الأَخَرُ,2,الفَعَلُ,الفَعَل,noun,false,true
ءخر,الأَخَرِ,1,الفَعَلِ,الفَعَل,noun,false,true
ءخر,الأَخَرِينَ,5,الفَعَلِينَ,الفَعَل,noun,false,true
ءخر,الأَخِرَ,3,الفَعِلَ,الفَعِل,verb,false,true
ءخر,الأَخِرَةَ,11,الفَعِلَةَ,الفَعِلَة,noun,false,true
ءخر,الأَخِرَةُ,5,الفَعِلَةُ,الفَعِلَة,noun,false,true
ءخر,الأَخِرَةِ,55,الفَعِلَةِ,الفَعِلَة,noun,false,true
ءخر,الأَخِرِ,23,الفَعِلِ,الفَعِل,noun,false,true
ءخر,الأَخِرِينَ,8,الفَعِلِينَ,الفَعِل,noun,false,true
ءخر,الأُخْرَى,5,الفُعْلَى,الفُعْلَى,noun,false,true
ءخر,الْمُسْتَئْخِرِينَ,1,الْمُسْتَفْعِلِينَ,الْمُسْتَفْعِل,noun,false,true
ءخر,بِأَخَرِينَ,1,بِفَعَلِينَ,بِفَعَل,noun,false,true
ءخر,بِالأَخِرَةِ,21,بِالفَعِلَةِ,بِالفَعِلَة,noun,false,true
ءخر,تَأَخَّرَ,2,تَفَعَّلَ,تَفَعَّل,verb,false,true
ءخر,تَسْتَئْخِرُونَ,1,تَسْتَفْعِلُونَ,تَسْتَفْعِل,verb,false,false
ءخر,فَأَخَرَانِ,1,فَفَعَلَانِ,فَفَعَل,noun,false,true
ءخر,لأُخْرَاهُم,1,لفُعْلَاهُم,لفُعْل,noun,false,true
ءخر,لَلأَخِرَةَ,1,لَلفَعِلَةَ,لَلفَعِلَة,noun,false,true
ءخر,لِلأَخِرِينَ,1,لِلفَعِلِينَ,لِلفَعِل,noun,false,true
ءخر,نُؤَخِّرُهُ,1,نُفَعِّلُهُ,نُفَعِّل,verb,false,false
ءخر,وَءَاخَرَ,1,وَفَاعَلَ,وَفَاعَل,verb,false,true
ءخر,وَءَاخَرُ,1,وَفَاعَلُ,وَفَاعَل,noun,false,true
ءخر,وَءَاخَرُونَ,4,وَفَاعَلُونَ,وَفَاعَل,noun,false,true
ءخر,وَءَاخَرِينَ,3,وَفَاعَلِينَ,وَفَاعَل,noun,false,true
ءخر,وَءَاخِرُ,1,وَفَاعِلُ,وَفَاعِل,noun,false,true
ءخر,وَءَاخِرِنَا,1,وَفَاعِلِنَا,وَفَاعِل,verb,false,true
ءخر,وَأَخَّرَ,1,وَفَعَّلَ,وَفَعَّل,verb,false,true
ءخر,وَأَخَّرَت,1,وَفَعَّلَت,وَفَعَّلَت,verb,false,false
ءخر,وَأُخَرَ,2,وَفُعَلَ,وَفُعَل,verb,false,true
ءخر,وَأُخَرُ,1,وَفُعَلُ,وَفُعَل,noun,false,true
ءخر,وَأُخْرَى,3,وَفُعْلَى,وَفُعْلَى,noun,false,true
ءخر,وَالأَخِرَةَ,1,وَالفَعِلَةَ,وَالفَعِلَة,noun,false,true
ءخر,وَالأَخِرَةُ,3,وَالفَعِلَةُ,وَالفَعِلَة,noun,false,true
ءخر,وَالأَخِرَةِ,15,وَالفَعِلَةِ,وَالفَعِلَة,noun,false,true
ءخر,وَالأَخِرُ,1,وَالفَعِلُ,وَالفَعِل,noun,false,true
ءخر,وَالأَخِرِينَ,1,وَالفَعِلِينَ,وَالفَعِل,noun,false,true
ءخر,وَبِالأَخِرَةِ,1,وَبِالفَعِلَةِ,وَبِالفَعِلَة,noun,false,false
ءخر,وَلَلأَخِرَةُ,2,وَلَلفَعِلَةُ,وَلَلفَعِلَة,noun,false,true
ءخر,وَيُؤَخِّرَكُم,1,وَيُفَعِّلَكُم,وَيُفَعِّل,verb,false,false
ءخر,وَيُؤَخِّرْكُم,1,وَيُفَعِّلْكُم,وَيُفَعِّل,verb,false,false
ءخر,يَتَأَخَّرَ,1,يَتَفَعَّلَ,يَتَفَعَّل,verb,false,false
ءخر,يَسْتَأْخِرُونَ,1,يَسْتَفْعِلُونَ,يَسْتَفْعِل,verb,false,false
ءخر,يَسْتَئْخِرُونَ,4,يَسْتَفْعِلُونَ,يَسْتَفْعِل,verb,false,false
ءخر,يُؤَخَّرُ,1,يُفَعَّلُ,يُفَعَّل,verb,false,false
ءخر,يُؤَخِّرَ,1,يُفَعِّلَ,يُفَعِّل,verb,false,false
ءخر,يُؤَخِّرُهُم,3,يُفَعِّلُهُم,يُفَعِّل,verb,false,false
ءدد,إِدًّا,1,فِعْلًا,فِعْل,noun,false,true
ءدم,ءَادَمَ,13,فَاعَلَ,فَاعَل,verb,false,true
ءدم,ءَادَمُ,2,فَاعَلُ,فَاعَل,noun,false,true
ءدم,لأَدَمَ,5,لفَعَلَ,لفَعَل,verb,false,true
ءدم,وَيَاءَادَمُ,1,وَيَافَاعَلُ,وَيَافَاعَل,noun,false,false
ءدم,يَاءَادَمُ,4,يَافَاعَلُ,يَافَاعَل,noun,false,false
ءذن,ءَاذَانٌ,3,فَاعَالٌ,فَاعَال,noun,false,true
ءذن,ءَاذَانَ,1,فَاعَالَ,فَاعَال,noun,false,true
ءذن,ءَاذَانِنَا,1,فَاعَالِنَا,فَاعَال,noun,false,true
ءذن,ءَاذَانِهِم,7,فَاعَالِهِم,فَاعَال,noun,false,true
ءذن,ءَاذَنتُكُم,1,فَاعَلتُكُم,فَاعَلت,verb,false,false
ءذن,ءَاذَنَ,3,فَاعَلَ,فَاعَل,verb,false,true
ءذن,ءَاذَنَّاكَ,1,فَاعَلَّاكَ,فَاعَل,noun,false,true
ءذن,أَذِنتَ,1,فَعِلتَ,فَعِلت,verb,false,false
ءذن,أَذِنَ,5,فَعِلَ,فَعِل,verb,false,true
ءذن,أَذَّنَ,1,فَعَّلَ,فَعَّل,verb,false,true
ءذن,أُذُنٌ,2,فُعُلٌ,فُعُل,noun,false,true
ءذن,أُذُنَيْهِ,1,فُعُلَيْهِ,فُعُلَي,noun,false,false
ءذن,أُذُنُ,1,فُعُلُ,فُعُل,noun,false,true
ءذن,أُذِنَ,1,فُعِلَ,فُعِل,verb,false,true
ءذن,إِذْنِهِ,1,فِعْلِهِ,فِعْل,noun,false,true
ءذن,ائْذَن,1,افْعَل,افْعَل,verb,false,true
ءذن,اسْتَئْذَنَ,1,اسْتَفْعَلَ,اسْتَفْعَل,verb,false,false
ءذن,اسْتَئْذَنَكَ,1,اسْتَفْعَلَكَ,اسْتَفْعَل,verb,false,false
ءذن,اسْتَئْذَنُوكَ,1,اسْتَفْعَلُوكَ,اسْتَفْعَلُو,verb,false,false
ءذن,بِإِذْنِ,23,بِفِعْلِ,بِفِعْل,noun,false,true
ءذن,بِإِذْنِهِ,9,بِفِعْلِهِ,بِفِعْل,noun,false,true
ءذن,بِإِذْنِي,4,بِفِعْلِي,بِفِعْل,noun,false,true
ءذن,بِالأُذُنِ,1,بِالفُعُلِ,بِالفُعُل,noun,false,true
ءذن,تَأَذَّنَ,2,تَفَعَّلَ,تَفَعَّل,verb,false,true
ءذن,فَأَذَّنَ,1,فَفَعَّلَ,فَفَعَّل,verb,false,true
ءذن,فَأْذَن,1,فَفْعَل,فَفْعَل,noun,false,true
ءذن,فَأْذَنُوا,1,فَفْعَلُوا,فَفْعَلُو,verb,false,false
ءذن,فَاسْتَئْذَنُوكَ,1,فَاسْتَفْعَلُوكَ,فَاسْتَفْعَلُو,verb,false,false
ءذن,فَبِإِذْنِ,2,فَبِفِعْلِ,فَبِفِعْل,noun,false,false
ءذن,فَلْيَسْتَئْذِنُوا,1,فَلْيَسْتَفْعِلُوا,فَلْيَسْتَفْعِلُو,noun,false,false
ءذن,لِيَسْتَئْذِنكُمُ,1,لِيَسْتَفْعِلكُمُ,لِيَسْتَفْعِل,verb,false,false
ءذن,لِيُؤْذَنَ,1,لِيُفْعَلَ,لِيُفْعَل,verb,false,false
ءذن,مُؤَذِّنٌ,2,مُفَعِّلٌ,مُفَعِّل,noun,false,true
ءذن,وَأَذَانٌ,1,وَفَعَالٌ,وَفَعَال,noun,false,true
ءذن,وَأَذِنَت,2,وَفَعِلَت,وَفَعِلَت,verb,false,false
ءذن,وَأَذِّن,1,وَفَعِّل,وَفَعِّل,noun,false,true
ءذن,وَالأُذُنَ,1,وَالفُعُلَ,وَالفُعُل,verb,false,true
ءذن,وَيَسْتَئْذِنُ,1,وَيَسْتَفْعِلُ,وَيَسْتَفْعِل,verb,false,false
ءذن,يَأْذَن,1,يَفْعَل,يَفْعَل,verb,false,false
ءذن,يَأْذَنَ,2,يَفْعَلَ,يَفْعَل,verb,false,false
ءذن,يَسْتَئْذِنُكَ,2,يَسْتَفْعِلُكَ,يَسْتَفْعِل,verb,false,false
ءذن,يَسْتَئْذِنُونَكَ,2,يَسْتَفْعِلُونَكَ,يَسْتَفْعِل,verb,false,false
ءذن,يَسْتَئْذِنُوهُ,1,يَسْتَفْعِلُوهُ,يَسْتَفْعِلُو,verb,false,false
ءذن,يُؤْذَنَ,2,يُفْعَلَ,يُفْعَل,verb,false,false
ءذن,يُؤْذَنُ,2,يُفْعَلُ,يُفْعَل,verb,false,false
ءرب,الإِرْبَةِ,1,الفِعْلَةِ,الفِعْلَة,noun,false,true
ءرب,مَئَارِبُ,1,مَفَاعِلُ,مَفَاعِل,noun,false,true
ءرض,أَرْضًا,1,فَعْلًا,فَعْل,noun,false,true
ءرض,أَرْضٍ,1,فَعْلٍ,فَعْل,noun,false,true
ءرض,أَرْضَهُم,1,فَعْلَهُم,فَعْل,noun,false,true
ءرض,أَرْضُ,1,فَعْلُ,فَعْل,noun,false,true
ءرض,أَرْضِ,2,فَعْلِ,فَعْل,noun,false,true
ءرض,أَرْضِكُم,3,فَعْلِكُم,فَعْل,noun,false,true
ءرض,أَرْضِنَا,3,فَعْلِنَا,فَعْل,verb,false,true
ءرض,أَرْضِي,1,فَعْلِي,فَعْل,noun,false,true
ءرض,الأَرْضَ,45,الفَعْلَ,الفَعْل,noun,false,true
ءرض,الأَرْضُ,23,الفَعْلُ,الفَعْل,noun,false,true
ءرض,الأَرْضِ,219,الفَعْلِ,الفَعْل,noun,false,true
ءرض,وَأَرْضًا,1,وَفَعْلًا,وَفَعْل,noun,false,true
ءرض,وَأَرْضُ,1,وَفَعْلُ,وَفَعْل,noun,false,true
ءرض,وَالأَرْضَ,41,وَالفَعْلَ,وَالفَعْل,noun,false,true
ءرض,وَالأَرْضُ,8,وَالفَعْلُ,وَالفَعْل,noun,false,true
ءرض,وَالأَرْضِ,108,وَالفَعْلِ,وَالفَعْل,noun,false,true
ءرض,وَلِلأَرْضِ,1,وَلِلفَعْلِ,وَلِلفَعْل,noun,false,true
ءرض,يَاأَرْضُ,1,يَافَعْلُ,يَافَعْل,noun,false,false
ءرك,الأَرَائِكِ,5,الفَعَائِلِ,الفَعَائِل,noun,false,true
ءرم,إِرَمَ,1,فِعَلَ,فِعَل,verb,false,true
ءزر,ءَازَرَ,1,فَاعَلَ,فَاعَل,verb,false,true
ءزر,أَزْرِي,1,فَعْلِي,فَعْل,noun,false,true
ءزر,فَأَزَرَهُ,1,فَفَعَلَهُ,فَفَعَل,noun,false,true
ءزز,أَزًّا,1,فَعْلًا,فَعْل,noun,false,true
