root,word,count
ءخذ,ءَاخِذِينَ,1
ءخذ,أَتَأْخُذُونَهُ,1
ءخذ,أَتَتَّخِذُ,1
ءخذ,أَتَتَّخِذُنَا,1
ءخذ,أَتَّخَذْتُم,1
ءخذ,أَتَّخَذْنَاهُم,1
ءخذ,أَتَّخِذ,1
ءخذ,أَتَّخِذُ,1
ءخذ,أَخَذَ,9
ءخذ,أَخَذَتِ,1
ءخذ,أَخَذَتْهُ,2
ءخذ,أَخَذَتْهُمُ,1
ءخذ,أَخَذْتُ,1
ءخذ,أَخَذْتُم,1
ءخذ,أَخَذْتُهَا,1
ءخذ,أَخَذْتُهُم,2
ءخذ,أَخَذْنَا,12
ءخذ,أَخَذْنَاهُم,2
ءخذ,أَخْذًا,1
ءخذ,أَخْذَ,1
ءخذ,أَخْذَةً,1
ءخذ,أَخْذَهُ,1
ءخذ,أَخْذُ,1
ءخذ,أَفَاتَّخَذْتُم,1
ءخذ,أَفَتَتَّخِذُونَهُ,1
ءخذ,أُخِذَ,1
ءخذ,أُخِذُوا,1
ءخذ,اتَّخَذَ,15
ءخذ,اتَّخَذَت,1
ءخذ,اتَّخَذَهَا,1
ءخذ,اتَّخَذُوا,21
ءخذ,اتَّخَذُوهَا,1
ءخذ,اتَّخَذُوهُ,1
ءخذ,اتَّخَذُوهُم,1
ءخذ,اتَّخَذْتَ,1
ءخذ,اتَّخَذْتُ,1
ءخذ,اتَّخَذْتُم,2
ءخذ,اتَّخَذْتُمُ,2
ءخذ,اتَّخِذُونِي,1
ءخذ,اتَّخِذِي,1
ءخذ,بِأَخِذِيهِ,1
ءخذ,بِاتِّخَاذِكُمُ,1
ءخذ,تَأْخُذ,1
ءخذ,تَأْخُذُهُ,1
ءخذ,تَأْخُذُهُم,1
ءخذ,تَأْخُذُوا,2
ءخذ,تَأْخُذُونَهَا,1
ءخذ,تَأْخُذُونَهُ,1
ءخذ,تَأْخُذْكُم,1
ءخذ,تَتَّخِذَ,1
ءخذ,تَتَّخِذُوا,13
ءخذ,تَتَّخِذُونَ,3
ءخذ,تُؤَاخِذْنَا,1
ءخذ,تُؤَاخِذْنِي,1
ءخذ,خُذ,1
ءخذ,خُذُوا,5
ءخذ,خُذُوهُ,2
ءخذ,خُذِ,2
ءخذ,خُذْهَا,1
ءخذ,فَأَخَذَتْكُمُ,1
ءخذ,فَأَخَذَتْهُم,1
ءخذ,فَأَخَذَتْهُمُ,8
ءخذ,فَأَخَذَهُ,1
ءخذ,فَأَخَذَهُم,2
ءخذ,فَأَخَذَهُمُ,7
ءخذ,فَأَخَذْتُهُم,1
ءخذ,فَأَخَذْنَاهُ,3
ءخذ,فَأَخَذْنَاهُم,4
ءخذ,فَاتَّخَذَ,1
ءخذ,فَاتَّخَذَت,1
ءخذ,فَاتَّخَذْتُمُوهُم,1
ءخذ,فَاتَّخِذُوهُ,1
ءخذ,فَاتَّخِذْهُ,1
ءخذ,فَخُذ,3
ءخذ,فَخُذُوهُ,2
ءخذ,فَخُذُوهُم,2
ءخذ,فَخُذْهَا,1
ءخذ,فَيَأْخُذَكُم,3
ءخذ,فَيُؤْخَذُ,1
ءخذ,لأَتَّخِذَنَّ,1
ءخذ,لأَخَذْنَا,1
ءخذ,لاَّتَّخَذُوكَ,1
ءخذ,لاَّتَّخَذْنَاهُ,1
ءخذ,لَتَّخَذْتَ,1
ءخر,ءَاخَرَ,10
ءخر,ءَاخَرَانِ,1
ءخر,ءَاخَرُونَ,1
ءخر,ءَاخَرِينَ,8
ءخر,ءَاخِرَهُ,1
ءخر,أَخَّرْتَنَا,1
ءخر,أَخَّرْتَنِ,1
ءخر,أَخَّرْتَنِي,1
ءخر,أَخَّرْنَا,1
ءخر,أَخِّرْنَا,1
ءخر,أُخَرَ,2
ءخر,أُخْرَاكُم,1
ءخر,أُخْرَاهُم,1
ءخر,أُخْرَى,15
ءخر,الأَخَرُ,2
ءخر,الأَخَرِ,1
ءخر,الأَخَرِينَ,5
ءخر,الأَخِرَ,3
ءخر,الأَخِرَةَ,11
ءخر,الأَخِرَةُ,5
ءخر,الأَخِرَةِ,55
ءخر,الأَخِرِ,23
ءخر,الأَخِرِينَ,8
ءخر,الأُخْرَى,5
ءخر,الْمُسْتَئْخِرِينَ,1
ءخر,بِأَخَرِينَ,1
ءخر,بِالأَخِرَةِ,21
ءخر,تَأَخَّرَ,2
ءخر,تَسْتَئْخِرُونَ,1
ءخر,فَأَخَرَانِ,1
ءخر,لأُخْرَاهُم,1
ءخر,لَلأَخِرَةَ,1
ءخر,لِلأَخِرِينَ,1
ءخر,نُؤَخِّرُهُ,1
ءخر,وَءَاخَرَ,1
ءخر,وَءَاخَرُ,1
ءخر,وَءَاخَرُونَ,4
ءخر,وَءَاخَرِينَ,3
ءخر,وَءَاخِرُ,1
ءخر,وَءَاخِرِنَا,1
ءخر,وَأَخَّرَ,1
ءخر,وَأَخَّرَت,1
ءخر,وَأُخَرَ,2
ءخر,وَأُخَرُ,1
ءخر,وَأُخْرَى,3
ءخر,وَالأَخِرَةَ,1
ءخر,وَالأَخِرَةُ,3
ءخر,وَالأَخِرَةِ,15
ءخر,وَالأَخِرُ,1
ءخر,وَالأَخِرِينَ,1
ءخر,وَبِالأَخِرَةِ,1
ءخر,وَلَلأَخِرَةُ,2
ءخر,وَيُؤَخِّرَكُم,1
ءخر,وَيُؤَخِّرْكُم,1
ءخر,يَتَأَخَّرَ,1
ءخر,يَسْتَأْخِرُونَ,1
ءخر,يَسْتَئْخِرُونَ,4
ءخر,يُؤَخَّرُ,1
ءخر,يُؤَخِّرَ,1
ءخر,يُؤَخِّرُهُم,3
ءخو,أَخٌ,2
ءخو,أَخَا,1
ءخو,أَخَانَا,2
ءخو,أَخَاهُ,4
ءخو,أَخَاهُم,8
ءخو,أَخَوَاتِكُم,1
ءخو,أَخَوَاتِهِنَّ,2
ءخو,أَخَوَيْكُم,1
ءخو,أَخُوكَ,1
ءخو,أَخُوهُم,4
ءخو,أَخِي,4
ءخو,أَخِيهِ,10
ءخو,أُخْتٌ,2
ءخو,أُخْتَهَا,1
ءخو,أُخْتُكَ,1
ءخو,أُخْتِهَا,1
ءخو,إِخْوَانًا,2
ءخو,إِخْوَانَ,1
ءخو,إِخْوَانَهُم,1
ءخو,إِخْوَانِكُم,1
ءخو,إِخْوَانِهِنَّ,4
ءخو,إِخْوَةً,1
ءخو,إِخْوَةٌ,2
ءخو,إِخْوَةُ,1
ءخو,إِخْوَتِكَ,1
ءخو,إِخْوَتِي,1
ءخو,الأَخِ,1
ءخو,الأُخْتَيْنِ,1
ءخو,الأُخْتِ,1
ءخو,بِأَخٍ,1
ءخو,بِأَخِيكَ,1
ءخو,فَإِخْوَانُكُم,3
ءخو,لأَخِيهِ,1
ءخو,لأُخْتِهِ,1
ءخو,لإِخْوَانِهِم,3
ءخو,لإِخْوَانِهِمُ,1
ءخو,وَأَخَاهُ,3
ءخو,وَأَخَوَاتُكُم,2
ءخو,وَأَخُوكَ,1
ءخو,وَأَخُوهُ,1
ءخو,وَأَخِي,2
ءخو,وَأَخِيهِ,4
ءخو,وَإِخْوَانَكُم,1
ءخو,وَإِخْوَانُ,1
ءخو,وَإِخْوَانُكُم,1
ءخو,وَإِخْوَانُهُم,1
ءخو,وَإِخْوَانِهِم,1
ءخو,وَإِخْوَتِهِ,1
ءخو,وَلأَخِي,1
ءخو,وَلإِخْوَانِنَا,1
ءخو,يَاأُخْتَ,1
ءدد,إِدًّا,1
ءدم,ءَادَمَ,13
ءدم,ءَادَمُ,2
ءدم,لأَدَمَ,5
ءدم,وَيَاءَادَمُ,1
ءدم,يَاءَادَمُ,4
ءدي,أَدُّوا,1
ءدي,تُؤَدُّوا,1
ءدي,فَلْيُؤَدِّ,1
ءدي,وَأَدَاءٌ,1
ءدي,يُؤَدِّهِ,2
ءذ,أَءِذَا,11
ءذ,أَئِذَا,1
ءذ,إِذ,156
ءذ,إِذًا,26
ءذ,إِذَا,195
ءذ,إِذِ,9
ءذ,فَإِذ,2
ءذ,فَإِذًا,1
ءذ,فَإِذَا,86
ءذ,وَإِذ,69
ءذ,وَإِذًا,4
ءذ,وَإِذَا,130
ءذ,وَإِذِ,3
ءذن,ءَاذَانٌ,3
ءذن,ءَاذَانَ,1
ءذن,ءَاذَانِنَا,1
ءذن,ءَاذَانِهِم,7
ءذن,ءَاذَنتُكُم,1
ءذن,ءَاذَنَ,3
ءذن,ءَاذَنَّاكَ,1
ءذن,أَذِنتَ,1
ءذن,أَذِنَ,5
ءذن,أَذَّنَ,1
ءذن,أُذُنٌ,2
ءذن,أُذُنَيْهِ,1
ءذن,أُذُنُ,1
ءذن,أُذِنَ,1
ءذن,إِذْنِهِ,1
ءذن,ائْذَن,1
ءذن,اسْتَئْذَنَ,1
ءذن,اسْتَئْذَنَكَ,1
ءذن,اسْتَئْذَنُوكَ,1
ءذن,بِإِذْنِ,23
ءذن,بِإِذْنِهِ,9
ءذن,بِإِذْنِي,4
ءذن,بِالأُذُنِ,1
ءذن,تَأَذَّنَ,2
ءذن,فَأَذَّنَ,1
ءذن,فَأْذَن,1
ءذن,فَأْذَنُوا,1
ءذن,فَاسْتَئْذَنُوكَ,1
ءذن,فَبِإِذْنِ,2
ءذن,فَلْيَسْتَئْذِنُوا,1
ءذن,لِيَسْتَئْذِنكُمُ,1
ءذن,لِيُؤْذَنَ,1
ءذن,مُؤَذِّنٌ,2
ءذن,وَأَذَانٌ,1
ءذن,وَأَذِنَت,2
ءذن,وَأَذِّن,1
ءذن,وَالأُذُنَ,1
ءذن,وَيَسْتَئْذِنُ,1
ءذن,يَأْذَن,1
ءذن,يَأْذَنَ,2
ءذن,يَسْتَئْذِنُكَ,2
ءذن,يَسْتَئْذِنُونَكَ,2
ءذن,يَسْتَئْذِنُوهُ,1
ءذن,يُؤْذَنَ,2
ءذن,يُؤْذَنُ,2
ءذي,ءَاذَوْا,1
ءذي,ءَاذَيْتُمُونَا,1
ءذي,أَذًى,7
ءذي,أَذَاهُم,1
ءذي,أُوذِينَا,1
ءذي,أُوذِيَ,1
ءذي,تُؤْذُوا,1
ءذي,تُؤْذُونَنِي,1
ءذي,فَأَذُوهُمَا,1
ءذي,وَأُوذُوا,2
ءذي,وَالأَذَى,1
ءذي,يُؤْذَيْنَ,1
ءذي,يُؤْذُونَ,4
ءذي,يُؤْذِي,1
ءرب,الإِرْبَةِ,1
ءرب,مَئَارِبُ,1
ءرض,أَرْضًا,1
ءرض,أَرْضٍ,1
ءرض,أَرْضَهُم,1
ءرض,أَرْضُ,1
ءرض,أَرْضِ,2
ءرض,أَرْضِكُم,3
ءرض,أَرْضِنَا,3
ءرض,أَرْضِي,1
ءرض,الأَرْضَ,45
ءرض,الأَرْضُ,23
ءرض,الأَرْضِ,219
ءرض,وَأَرْضًا,1
ءرض,وَأَرْضُ,1
ءرض,وَالأَرْضَ,41
ءرض,وَالأَرْضُ,8
ءرض,وَالأَرْضِ,108
ءرض,وَلِلأَرْضِ,1
ءرض,يَاأَرْضُ,1
ءرك,الأَرَائِكِ,5
ءرم,إِرَمَ,1
ءزر,ءَازَرَ,1
ءزر,أَزْرِي,1
ءزر,فَأَزَرَهُ,1
ءزز,أَزًّا,1
ءزز,تَؤُزُّهُم,1
ءزف,أَزِفَتِ,1
ءزف,الأَزِفَةُ,1
ءزف,الأَزِفَةِ,1
ءسر,أَسْرَهُم,1
ءسر,أُسَارَى,1
ءسر,الأَسْرَى,1
ءسر,وَأَسِيرًا,1
ءسر,وَتَأْسِرُونَ,1
ءسس,أَسَّسَ,2
ءسس,أُسِّسَ,1
ءسف,ءَاسَفُونَا,1
ءسف,أَسَفًا,1
ءسف,أَسِفًا,2
ءسف,يَاأَسَفَى,1
ءسن,ءَاسِنٍ,1
ءسي,ءَاسَى,1
ءسي,تَأْسَ,2
ءسي,تَأْسَوْا,1
ءشر,أَشِرٌ,1
ءشر,الأَشِرُ,1
ءصر,إِصْرًا,1
ءصر,إِصْرَهُم,1
ءصر,إِصْرِي,1
ءصل,أَصْلُهَا,1
ءصل,أَصْلِ,1
ءصل,أُصُولِهَا,1
ءصل,وَأَصِيلاً,4
ءصل,وَالأَصَالِ,3
ءفف,أُفٍّ,3
ءفق,بِالأُفُقِ,2
ءفك,أَئِفْكًا,1
ءفك,أَفَّاكٍ,2
ءفك,أُفِكَ,1
ءفك,إِفْكًا,1
ءفك,إِفْكٌ,4
ءفك,إِفْكُهُم,1
ءفك,إِفْكِهِم,1
ءفك,بِالإِفْكِ,1
ءفك,تُؤْفَكُونَ,4
ءفك,لِتَأْفِكَنَا,1
ءفك,وَالْمُؤْتَفِكَاتُ,1
ءفك,وَالْمُؤْتَفِكَاتِ,1
ءفك,وَالْمُؤْتَفِكَةَ,1
ءفك,يَأْفِكُونَ,2
ءفك,يُؤْفَكُ,2
ءفك,يُؤْفَكُونَ,6
ءفل,أَفَلَ,2
ءفل,أَفَلَت,1
ءفل,الأَفِلِينَ,1
ءكل,أَكَلَ,1
ءكل,أَكَلَهُ,1
ءكل,أَكَّالُونَ,1
ءكل,أَكْلاً,1
ءكل,أُكُلٍ,1
ءكل,أُكُلَهَا,3
ءكل,أُكُلُهَا,1
ءكل,أُكُلُهُ,1
ءكل,الأُكُلِ,1
ءكل,تَأْكُل,2
ءكل,تَأْكُلُ,4
ءكل,تَأْكُلُهُ,1
ءكل,تَأْكُلُوا,8
ءكل,تَأْكُلُونَ,11
ءكل,تَأْكُلُوهَا,1
ءكل,فَأَكَلاَ,1
ءكل,فَأَكَلَهُ,1
ءكل,فَتَأْكُلُ,1
ءكل,فَكُلاَ,1
ءكل,فَكُلاًّ,1
ءكل,فَكُلُوا,7
ءكل,فَكُلُوهُ,1
ءكل,فَكُلِي,1
ءكل,فَلْيَأْكُل,1
ءكل,كُلُوا,15
ءكل,كُلِي,1
ءكل,لأَكَلُوا,1
ءكل,لأَكِلُونَ,2
ءكل,لَيَأْكُلُونَ,2
ءكل,لِتَأْكُلُوا,2
ءكل,لِلأَكِلِينَ,1
ءكل,لِيَأْكُلُوا,1
ءكل,مَأْكُولٍ,1
ءكل,نَأْكُلَ,1
ءكل,وَأَكْلِهِم,1
ءكل,وَأَكْلِهِمُ,2
ءكل,وَتَأْكُلُونَ,1
ءكل,وَكُلاَ,1
ءكل,وَكُلُوا,5
ءكل,وَيَأْكُلُونَ,1
ءكل,يَأْكُلاَنِ,1
ءكل,يَأْكُلَ,1
ءكل,يَأْكُلَهُ,1
ءكل,يَأْكُلُ,4
ءكل,يَأْكُلُهُ,1
ءكل,يَأْكُلُهُنَّ,2
ءلت,أَلَتْنَاهُم,1
ءلت,يَلِتْكُم,1
ءلف,ءَالاَفٍ,2
ءلف,أَلَّفَ,1
ءلف,أَلَّفْتَ,1
ءلف,أَلْفًا,1
ءلف,أَلْفٌ,1
ءلف,أَلْفٍ,1
ءلف,أَلْفَ,4
ءلف,أَلْفَيْنِ,1
ءلف,أَلْفِ,1
ءلف,أُلُوفٌ,1
ءلف,إِلاَفِهِم,1
ءلف,بِأَلْفٍ,1
ءلف,فَأَلَّفَ,1
ءلف,كَأَلْفِ,1
ءلف,لإِيلاَفِ,1
ءلف,وَأَلَّفَ,1
ءلف,وَالْمُؤَلَّفَةِ,1
ءلف,يُؤَلِّفُ,1
ءلل,إِلاًّ,2
ءلل,الَّتِي,57
ءلل,الَّذَيْنِ,1
ءلل,الَّذِي,268
ءلل,الَّذِينَ,810
ءلل,الَّلائِي,2
ءلل,الَّلاتِي,8
ءلل,بِالَّتِي,7
ءلل,بِالَّذِي,11
ءلل,بِالَّذِينَ,6
ءلل,فَالَّذِينَ,10
ءلل,كَالَّتِي,1
ءلل,كَالَّذِي,5
ءلل,كَالَّذِينَ,9
ءلل,لَلَّذِي,1
ءلل,لَلَّذِينَ,1
ءلل,لِلَّتِي,1
ءلل,لِلَّذِي,3
ءلل,لِلَّذِينَ,79
ءلل,وَالَّتِي,2
ءلل,وَالَّذَانِ,1
ءلل,وَالَّذِي,15
ءلل,وَالَّذِين,1
ءلل,وَالَّذِينَ,163
ءلل,وَالَّلائِي,2
ءلل,وَالَّلاتِي,2
ءلل,وَبِالَّذِي,1
ءلل,وَلِلَّذِينَ,1
ءلم,أَلِيمًا,14
ءلم,أَلِيمٌ,38
ءلم,أَلِيمٍ,14
ءلم,الأَلِيمَ,4
ءلم,الأَلِيمُ,1
ءلم,الأَلِيمِ,1
ءلم,تَأْلَمُونَ,2
ءلم,يَأْلَمُونَ,1
ءله,ءَأَالِهَتُنَا,1
ءله,ءَإِلَهٌ,5
ءله,ءَاللَّهُ,2
ءله,ءَالِهَةً,13
ءله,ءَالِهَةٌ,4
ءله,ءَالِهَتَكُم,3
ءله,ءَالِهَتَنَا,1
ءله,ءَالِهَتُهُمُ,1
ءله,ءَالِهَتِكُم,1
ءله,ءَالِهَتِنَا,4
ءله,ءَالِهَتِهِم,1
ءله,ءَالِهَتِي,1
ءله,أَبِاللَّهِ,1
ءله,إِلَهًا,16
ءله,إِلَهٌ,18
ءله,إِلَهٍ,15
ءله,إِلَهَ,37
ءله,إِلَهَكَ,1
ءله,إِلَهَكُم,2
ءله,إِلَهَهُ,2
ءله,إِلَهَيْنِ,2
ءله,إِلَهُكُم,4
ءله,إِلَهُكُمُ,1
ءله,إِلَهِ,3
ءله,إِلَهِكَ,1
ءله,الأَلِهَةَ,1
ءله,اللَّهَ,592
ءله,اللَّهُ,733
ءله,اللَّهُمَّ,5
ءله,اللَّهِ,828
ءله,بِأَلِهَتِنَا,2
ءله,بِاللَّهِ,139
ءله,تَاللَّهِ,8
ءله,فَإِلَهُكُم,1
ءله,فَاللَّهُ,6
ءله,فَلِلَّهِ,6
ءله,لِلَّهِ,116
ءله,وَءَالِهَتَكَ,1
ءله,وَإِلَهَ,1
ءله,وَإِلَهُ,1
ءله,وَإِلَهُكُم,2
ءله,وَإِلَهُنَا,1
ءله,وَاللَّهُ,239
ءله,وَاللَّهِ,1
ءله,وَتَاللَّهِ,1
ءلو,يَأْلُونَكُم,1
ءلو,يُؤْلُونَ,1
ءلى,إِلَى,405
ءلى,إِلَيَّ,25
ءلى,إِلَيْكَ,74
ءلى,إِلَيْكُم,26
ءلى,إِلَيْكُمَا,1
ءلى,إِلَيْكُمُ,6
ءلى,إِلَيْكِ,3
ءلى,إِلَيْنَا,19
ءلى,إِلَيْهَا,4
ءلى,إِلَيْهِ,76
ءلى,إِلَيْهِم,37
ءلى,إِلَيْهِمُ,3
ءلى,إِلَيْهِنَّ,2
ءلى,فَإِلَيْنَا,2
ءلى,فَإِلَيْهِ,1
ءلى,لإِلَى,2
ءلى,وَإِلَى,27
ءلى,وَإِلَيَّ,1
ءلى,وَإِلَيْكَ,3
ءلى,وَإِلَيْنَا,3
ءلى,وَإِلَيْهِ,22
ءلي,ءَالاَءَ,2
ءلي,ءَالاَءِ,32
ءلي,ءَالَ,11
ءلي,ءَالُ,2
ءلي,ءَالِ,9
ءلي,أَهَؤُلاَءِ,4
ءلي,أُولاَتِ,1
ءلي,أُولَئِكَ,133
ءلي,أُولَئِكُم,1
ءلي,أُولُوا,13
ءلي,بِأَلِ,1
ءلي,فَأُولَئِكَ,46
ءلي,هَؤُلاَءِ,41
ءلي,وَءَالَ,2
ءلي,وَءَالُ,1
ءلي,وَأُولاَتُ,1
ءلي,وَأُولَئِكَ,25
ءلي,وَأُولَئِكُم,1
ءلي,وَأُولُوا,4
ءلي,وَهَؤُلاَءِ,1
ءم,أَم,109
ءم,أَمِ,12
ءم,أَمَّا,8
ءم,أَمَّن,12
ءم,إِمَّا,9
ءم,فَأَمَّا,22
ءم,فَإِمَّا,7
ءم,وَأَمَّا,28
ءم,وَإِمَّا,13
ءمت,أَمْتًا,1
ءمد,أَمَدًا,3
ءمد,الأَمَدُ,1
ءمر,ءَامُرُهُ,1
ءمر,أَتَأْمُرُونَ,1
ءمر,أَمَرَ,7
ءمر,أَمَرَكُمُ,1
ءمر,أَمَرَنَا,1
ءمر,أَمَرَهُ,1
ءمر,أَمَرَهُم,1
ءمر,أَمَرْتَنِي,1
ءمر,أَمَرْتَهُم,1
ءمر,أَمَرْتُكَ,1
ءمر,أَمَرْنَا,1
ءمر,أَمْرًا,17
ءمر,أَمْرٌ,1
ءمر,أَمْرٍ,7
ءمر,أَمْرَ,4
ءمر,أَمْرَكُم,1
ءمر,أَمْرَنَا,1
ءمر,أَمْرَهَا,1
ءمر,أَمْرَهُم,6
ءمر,أَمْرُ,13
ءمر,أَمْرُكُم,1
ءمر,أَمْرُنَا,8
ءمر,أَمْرُهُ,2
ءمر,أَمْرُهُم,1
ءمر,أَمْرِ,9
ءمر,أَمْرِكُم,1
ءمر,أَمْرِنَا,5
ءمر,أَمْرِهَا,2
ءمر,أَمْرِهِ,7
ءمر,أَمْرِهِم,4
ءمر,أَمْرِي,8
ءمر,أَيَأْمُرُكُم,1
ءمر,أُمِرُوا,3
ءمر,أُمِرْتَ,2
