surface,plain,word_class,masaq_tag,lemma,root,wazn,aspect,case,role,source,agreement_with_masaq,confidence,first_seen_at,ambiguous
آدَمُ,آدم,JAMID,NOUN_PROP_FOREIGN,,ءدم,فاعل,,NOMINATIVE,AGNT,MASAQ:583,None,Certificate,2:37:2,
آذَانٌ,آذان,ISM_MUARAB,NOUN_CONCRETE,,ءوذ,فعل,,NOMINATIVE,SUBJ_DELA,MASAQ:22282,None,Certificate,7:179:19,
آذَانَ,آذان,ISM_MUARAB,NOUN_CONCRETE,,ءوذ,فعل,,ACCUSATIVE,OBJ,MASAQ:12309,None,Certificate,4:119:5,
آذَانِنَا,آذاننا,ISM_MUARAB,NOUN_CONCRETE,,ءوذ,فعل,,GENITIVE,PREP_OBJ,MASAQ:61723,Partial,Hypothesis,41:5:9,
آذَانِهِمْ,آذانهم,ISM_MUARAB,NOUN_CONCRETE,,ءوذ,فعل,,GENITIVE,PREP_OBJ,MASAQ:227,Partial,Hypothesis,2:19:12,
آذَنَ,آذن,FIIL,PV,,ءذن,فاعل,PV,ACCUSATIVE,IV,MASAQ:21170,None,Certificate,7:123:7,
آذَنَّاكَ,آذناك,FIIL,PV,,ءوذ,فعل,PV,INVARIABLE,,MASAQ:62369,Partial,Hypothesis,41:47:24,
آذَنْتُكُمْ,آذنتكم,FIIL,PV,,ءذن,فاعل,PV,INVARIABLE,,MASAQ:42782,Partial,Hypothesis,21:109:4,
آذَوْا,آذوا,FIIL,PV,,ءوذ,فعل,PV,INVARIABLE,,MASAQ:55235,Partial,Hypothesis,33:69:7,
آذَيْتُمُونَا,آذيتمونا,FIIL,PV,,ءوذ,فعل,PV,INVARIABLE,,MASAQ:33095,Partial,Hypothesis,14:12:13,
آزَرَ,آزر,JAMID,NOUN_PROP_FOREIGN,,ءزر,فاعل,,GENITIVE,APPOS,MASAQ:17521,None,Certificate,6:74:5,
آسَفُونَا,آسفونا,FIIL,PV,,,,PV,INVARIABLE,,MASAQ:63885,Partial,Hypothesis,43:55:2,
آسَى,آسى,FIIL,IV,,,,IV,INVARIABLE,IV,MASAQ:20870,None,Certificate,7:93:12,
آسِنٍ,آسن,ISM_MUARAB,NOUN_ACTIVE_PART,,ءسن,فاعل,,GENITIVE,GEN_CONS,MASAQ:65864,None,Certificate,47:15:11,
آلذَّكَرَيْنِ,آلذكرين,ISM_MUARAB,NOUN_CONCRETE,,,,,ACCUSATIVE,OBJ,MASAQ:18798,Partial,Hypothesis,6:143:10,
آللَّهُ,آلله,JAMID,NOUN_PROP,,ءلل,فاعل,,NOMINATIVE,SUBJ,MASAQ:27455,None,Certificate,10:59:14,
آلَ,آل,ISM_MUARAB,NOUN_CONCRETE,,ءول,فعل,,ACCUSATIVE,OBJ,MASAQ:748,None,Certificate,2:50:7,
آلَاءَ,آلاء,ISM_MUARAB,NOUN_ABSTRACT,,,,,ACCUSATIVE,OBJ,MASAQ:20443,None,Certificate,7:69:24,
آلَاءِ,آلاء,ISM_MUARAB,NOUN_ABSTRACT,,,,,GENITIVE,GEN_CONS,MASAQ:68497,None,Certificate,53:55:2,
آلَافٍ,آلاف,ISM_MUARAB,NOUN_NUM,,,,,GENITIVE,GEN_CONS,MASAQ:8297,None,Certificate,3:124:10,
آلُ,آل,ISM_MUARAB,NOUN_CONCRETE,,ءول,فعل,,NOMINATIVE,AGNT,MASAQ:4995,None,Certificate,2:248:17,
آلِ,آل,ISM_MUARAB,NOUN_CONCRETE,,ءول,فعل,,GENITIVE,PREP_OBJ,MASAQ:727,None,Certificate,2:49:4,
آلِهَةً,آلهة,ISM_MUARAB,NOUN_CONCRETE,,ءله,فاعل,,ACCUSATIVE,SUBJ_COP_PART,MASAQ:16549,Partial,Hypothesis,6:19:24,
آلِهَةٌ,آلهة,ISM_MUARAB,NOUN_CONCRETE,,ءله,فاعل,,NOMINATIVE,EXCP,MASAQ:21421,Partial,Hypothesis,7:138:19,
آلِهَتَكُمْ,آلهتكم,ISM_MUARAB,NOUN_CONCRETE,,ءله,فاعل,,ACCUSATIVE,OBJ,MASAQ:42024,Partial,Hypothesis,21:36:12,
آلِهَتُهُمُ,آلهتهم,ISM_MUARAB,NOUN_CONCRETE,,ءله,فاعل,,NOMINATIVE,AGNT,MASAQ:29897,Partial,Hypothesis,11:101:9,
آلِهَتِكُمْ,آلهتكم,ISM_MUARAB,NOUN_CONCRETE,,ءله,فاعل,,GENITIVE,PREP_OBJ,MASAQ:58603,Partial,Hypothesis,38:6:8,
آلِهَتِنَا,آلهتنا,ISM_MUARAB,NOUN_CONCRETE,,ءله,فاعل,,GENITIVE,GEN_CONS,MASAQ:29155,Partial,Hypothesis,11:53:9,
آلِهَتِهِمْ,آلهتهم,ISM_MUARAB,NOUN_CONCRETE,,ءله,فاعل,,GENITIVE,PREP_OBJ,MASAQ:58137,Partial,Hypothesis,37:91:3,
آلِهَتِي,آلهتي,ISM_MUARAB,NOUN_CONCRETE,,ءله,فاعل,,GENITIVE,PREP_OBJ,MASAQ:39785,Partial,Hypothesis,19:46:5,
آلْآنَ,آلآن,HARF,ADV,,ءلء,فاعل,,ACCUSATIVE,ADV_TIME,MASAQ:27346,None,Certificate,10:51:7,
آمَنَ,آمن,FIIL,PV,,ءمن,فاعل,PV,JUSSIVE,,MASAQ:145,None,Certificate,2:13:6,
آمَنَتْ,آمنت,FIIL,PV,,ءمن,فاعل,PV,INVARIABLE,,MASAQ:19197,Partial,Hypothesis,6:158:26,
آمَنُكُمْ,آمنكم,FIIL,PV,,ءمن,فاعل,PV,NOMINATIVE,IV,MASAQ:31191,Partial,Hypothesis,12:64:3,
آمَنُوا,آمنوا,FIIL,PV,,ءمن,فاعل,PV,INVARIABLE,,MASAQ:103,Partial,Hypothesis,2:9:4,
آمَنَّا,آمنا,FIIL,PV,,ءمن,فاعل,PV,INVARIABLE,,MASAQ:93,Partial,Hypothesis,2:8:5,
آمَنْتُ,آمنت,FIIL,PV,,ءمن,فاعل,PV,INVARIABLE,,MASAQ:27949,Partial,Hypothesis,10:90:15,
آمَنْتُمْ,آمنتم,FIIL,PV,,ءمن,فاعل,PV,INVARIABLE,,MASAQ:2450,Partial,Hypothesis,2:137:5,
آمُرُهُ,آمره,FIIL,IV,,ءمر,فاعل,IV,NOMINATIVE,IV,MASAQ:30684,Partial,Hypothesis,12:32:15,
آمِنَاً,آمنا,ISM_MUARAB,NOUN_ACTIVE_PART,,ءمن,فاعل,,ACCUSATIVE,ADJ,MASAQ:2244,Partial,Hypothesis,2:126:8,
آمِنَةً,آمنة,ISM_MUARAB,NOUN_ACTIVE_PART,,ءمن,فاعل,,ACCUSATIVE,V_COP_PRED,MASAQ:35943,Partial,Hypothesis,16:112:6,
آمِنُوا,آمنوا,FIIL,CV,,ءمن,فاعل,CV,INVARIABLE,CV,MASAQ:143,Partial,Hypothesis,2:13:4,
آمِنُونَ,آمنون,ISM_MUARAB,NOUN_ACTIVE_PART,,ءمن,فاعل,,NOMINATIVE,PRED,MASAQ:49786,Partial,Hypothesis,27:89:11,
آمِنِينَ,آمنين,ISM_MUARAB,NOUN_ACTIVE_PART,,ءمن,فاعل,,ACCUSATIVE,CIRCUM,MASAQ:31776,Partial,Hypothesis,12:99:14,
آمِنْ,آمن,FIIL,CV,,ءمن,فاعل,CV,INVARIABLE,CV,MASAQ:65322,None,Certificate,46:17:18,
آمِّينَ,آمين,ISM_MUARAB,NOUN_ACTIVE_PART,,ءيم,فعل,,GENITIVE,ADJ,MASAQ:13474,Partial,Hypothesis,5:2:16,
آنٍ,آن,ISM_MUARAB,NOUN_ACTIVE_PART,,ءين,فعل,,GENITIVE,ADJ,MASAQ:69073,None,Certificate,55:44:5,
آنَاءَ,آناء,ISM_MUARAB,NOUN_ABSTRACT,,,,,ACCUSATIVE,ADV_TIME,MASAQ:8106,None,Certificate,3:113:11,
آنَاءِ,آناء,ISM_MUARAB,NOUN_ABSTRACT,,,,,GENITIVE,PREP_OBJ,MASAQ:41564,None,Certificate,20:130:14,
آنَسَ,آنس,FIIL,PV,,ءنس,فاعل,PV,INVARIABLE,,MASAQ:50301,None,Certificate,28:29:7,
آنَسْتُ,آنست,FIIL,PV,,ءنس,فاعل,PV,INVARIABLE,,MASAQ:40349,Partial,Hypothesis,20:10:8,
آنَسْتُمْ,آنستم,FIIL,PV,,ءنس,فاعل,PV,INVARIABLE,,MASAQ:9781,Partial,Hypothesis,4:6:8,
آنِفَاً,آنفا,ISM_MUARAB,NOUN_ABSTRACT,,ءنف,فاعل,,ACCUSATIVE,CIRCUM,MASAQ:65913,Partial,Hypothesis,47:16:16,
آنِيَةٍ,آنية,ISM_MUARAB,NOUN_ACTIVE_PART,,ءين,فعل,,GENITIVE,ADJ,MASAQ:76689,Partial,Hypothesis,88:5:4,
آوَوْا,آووا,FIIL,PV,,,,PV,INVARIABLE,,MASAQ:23823,Partial,Hypothesis,8:72:12,
آوَى,آوى,FIIL,PV,,,,PV,INVARIABLE,,MASAQ:31318,None,Certificate,12:69:5,
آوِي,آوي,FIIL,IV,,,,IV,NOMINATIVE,IV,MASAQ:29567,None,Certificate,11:80:8,
آيَاتٌ,آيات,ISM_MUARAB,NOUN_ABSTRACT,,,,,NOMINATIVE,SUBJ,MASAQ:6237,Partial,Hypothesis,3:7:7,
آيَاتٍ,آيات,ISM_MUARAB,NOUN_ABSTRACT,,,,,ACCUSATIVE,OBJ,MASAQ:1686,Partial,Hypothesis,2:99:4,
آيَاتُ,آيات,ISM_MUARAB,NOUN_ABSTRACT,,,,,NOMINATIVE,PRED,MASAQ:5112,Partial,Hypothesis,2:252:2,
آيَاتُنَا,آياتنا,ISM_MUARAB,NOUN_ABSTRACT,,,,,NOMINATIVE,PASS_SUBJ,MASAQ:23102,Partial,Hypothesis,8:31:4,
آيَاتُهُ,آياته,ISM_MUARAB,NOUN_ABSTRACT,,,,,NOMINATIVE,PASS_SUBJ,MASAQ:22697,Partial,Hypothesis,8:2:12,
آيَاتِ,آيات,ISM_MUARAB,NOUN_ABSTRACT,,,,,ACCUSATIVE,OBJ,MASAQ:4514,Partial,Hypothesis,2:231:23,
آيَاتِكَ,آياتك,ISM_MUARAB,NOUN_ABSTRACT,,,,,ACCUSATIVE,OBJ,MASAQ:2305,Partial,Hypothesis,2:129:8,
آيَاتِنَا,آياتنا,ISM_MUARAB,NOUN_ABSTRACT,,,,,ACCUSATIVE,OBJ,MASAQ:2761,Partial,Hypothesis,2:151:8,
آيَاتِهَا,آياتها,ISM_MUARAB,NOUN_ABSTRACT,,,,,GENITIVE,PREP_OBJ,MASAQ:41980,Partial,Hypothesis,21:32:7,
آيَاتِهِ,آياته,ISM_MUARAB,NOUN_ABSTRACT,,,,,ACCUSATIVE,OBJ,MASAQ:1165,Partial,Hypothesis,2:73:9,
آيَاتِي,آياتي,ISM_MUARAB,NOUN_ABSTRACT,,,,,ACCUSATIVE,OBJ,MASAQ:18542,Partial,Hypothesis,6:130:10,
آيَاتِيَ,آياتي,ISM_MUARAB,NOUN_ABSTRACT,,,,,GENITIVE,PREP_OBJ,MASAQ:21564,Partial,Hypothesis,7:146:3,
آيَةً,آية,ISM_MUARAB,NOUN_ABSTRACT,,,,,ACCUSATIVE,OBJ,MASAQ:5381,Partial,Hypothesis,2:259:47,
آيَةٌ,آية,ISM_MUARAB,NOUN_ABSTRACT,,,,,NOMINATIVE,OBJ,MASAQ:2095,Partial,Hypothesis,2:118:10,
آيَةٍ,آية,ISM_MUARAB,NOUN_ABSTRACT,,,,,ACCUSATIVE,PREP_OBJ,MASAQ:1852,Partial,Hypothesis,2:106:4,
آيَةَ,آية,ISM_MUARAB,NOUN_ABSTRACT,,,,,ACCUSATIVE,SUBJ_COP_PART,MASAQ:4983,Partial,Hypothesis,2:248:5,
آيَتَيْنِ,آيتين,ISM_MUARAB,NOUN_ABSTRACT,,,,,ACCUSATIVE,OBJ,MASAQ:36332,Partial,Hypothesis,17:12:4,
آيَتُكَ,آيتك,ISM_MUARAB,NOUN_ABSTRACT,,,,,NOMINATIVE,SUBJ,MASAQ:6886,Partial,Hypothesis,3:41:7,
أَآلِهَتُنَا,أآلهتنا,ISM_MUARAB,NOUN_CONCRETE,,ءله,فاعل,,NOMINATIVE,SUBJ,MASAQ:63904,Partial,Hypothesis,43:58:2,
أَأَتَّخِذُ,أأتخذ,FIIL,IV,,تخذ,فعل,IV,NOMINATIVE,IV,MASAQ:57138,Partial,Hypothesis,36:23:1,
أَأَرْبَابٌ,أأرباب,ISM_MUARAB,NOUN_CONCRETE,,ربب,إفعال,,NOMINATIVE,SUBJ,MASAQ:30809,Full,Certificate,12:39:3,
أَأَسْجُدُ,أأسجد,FIIL,IV,,سجد,فعل,IV,NOMINATIVE,IV,MASAQ:37029,Partial,Hypothesis,17:61:10,
أَأَسْلَمْتُمْ,أأسلمتم,FIIL,PV,,سلم,فعل,PV,INVARIABLE,,MASAQ:6495,Full,Certificate,3:20:14,
أَأَشْفَقْتُمْ,أأشفقتم,FIIL,PV,,شفق,فعل,PV,INVARIABLE,,MASAQ:70470,Full,Certificate,58:13:1,
أَأَشْكُرُ,أأشكر,FIIL,IV,,شكر,فعل,IV,NOMINATIVE,IV,MASAQ:49173,Partial,Hypothesis,27:40:25,
أَأَعْجَمِيٌّ,أأعجمي,UNKNOWN,NOUN_RELATIVE,,عجم,فعل,,NOMINATIVE,PRED,MASAQ:62295,Partial,Hypothesis,41:44:9,
أَأَقْرَرْتُمْ,أأقررتم,FIIL,PV,,قرر,فعل,PV,INVARIABLE,,MASAQ:7581,Full,Certificate,3:81:21,
أَأَلِدُ,أألد,FIIL,IV,,لدد,فعل,IV,NOMINATIVE,IV,MASAQ:29452,Partial,Hypothesis,11:72:3,
أَأَمِنْتُمْ,أأمنتم,FIIL,PV,,ءمن,فعل,PV,INVARIABLE,,MASAQ:72977,Full,Certificate,67:16:1,
أَأَنْتَ,أأنت,UNKNOWN,PRON_2MS,,—,ضمير منفصل,,NOMINATIVE,SUBJ,MASAQ:16158,Full,Certificate,5:116:7,
أَأَنْتُمْ,أأنتم,ISM_MABNI,PRON,,—,ضمير منفصل,,NOMINATIVE,SUBJ,MASAQ:2502,Full,Certificate,2:140:14,
أَأَنْذَرْتَهُمْ,أأنذرتهم,FIIL,PV,,نذر,فعل,PV,INVARIABLE,,MASAQ:71,Full,Certificate,2:6:6,
أَأُلْقِيَ,أألقي,FIIL,PV_PASS,,لقق,فعل,PV,INVARIABLE,,MASAQ:68679,Partial,Hypothesis,54:25:1,
أَأُنْزِلَ,أأنزل,FIIL,PV,,نزل,فعل,PV,INVARIABLE,,MASAQ:58618,Full,Certificate,38:8:1,
أَؤُنَبِّئُكُمْ,أؤنبئكم,FIIL,IV,,,,IV,NOMINATIVE,IV,MASAQ:6398,Partial,Hypothesis,3:15:2,
أَإِذَا,أإذا,HARF,ADV,,إذي,فعل,,ACCUSATIVE,ADV_TIME,MASAQ:32091,None,Certificate,13:5:5,
أَإِلَهٌ,أإله,ISM_MUARAB,NOUN_CONCRETE,,ءله,فعل,,NOMINATIVE,SUBJ,MASAQ:49427,None,Certificate,27:60:21,
أَإِنَّا,أإنا,HARF,INF_ANNUL_PART,,ءءن,فعل,,INVARIABLE,ANNUL_PART,MASAQ:32094,Partial,Hypothesis,13:5:8,
أَإِنَّكَ,أإنك,HARF,ANNUL_PART,,ءءن,فعل,,INVARIABLE,ANNUL_PART,MASAQ:31653,Partial,Hypothesis,12:90:2,
أَئِذَا,أئذا,HARF,ADV,,ئذي,فعل,,ACCUSATIVE,ADV_TIME,MASAQ:69373,None,Certificate,56:47:3,
أَئِفْكَاً,أئفكا,ISM_MUARAB,GERUND,,ءفك,فعل,,ACCUSATIVE,PURP,MASAQ:58116,Partial,Hypothesis,37:86:1,
أَئِمَّةً,أئمة,ISM_MUARAB,NOUN_CONCRETE,,ئمم,فعل,,ACCUSATIVE,OBJ,MASAQ:42375,Full,Certificate,21:73:2,
أَئِمَّةَ,أئمة,ISM_MUARAB,NOUN_CONCRETE,,ئمم,فعل,,ACCUSATIVE,OBJ,MASAQ:24116,Full,Certificate,9:12:11,
أَئِنَّ,أئن,HARF,ANNUL_PART,,ءءن,فعل,,INVARIABLE,ANNUL_PART,MASAQ:47642,None,Certificate,26:41:6,
أَئِنَّا,أئنا,HARF,ANNUL_PART,,ءءن,فعل,,INVARIABLE,ANNUL_PART,MASAQ:49545,Partial,Hypothesis,27:67:8,
أَئِنَّكُمْ,أئنكم,HARF,ANNUL_PART,,ءءن,فعل,,INVARIABLE,ANNUL_PART,MASAQ:16544,Partial,Hypothesis,6:19:19,
أَئِنْ,أئن,HARF,CONDITION_PART,,ءءن,فعل,,INVARIABLE,PART_CONDITION,MASAQ:57106,None,Certificate,36:19:4,
أَبَا,أبا,UNKNOWN,NOUN_FIVE,,ابو,فعل,,ACCUSATIVE,V_COP_PRED,MASAQ:54735,Full,Certificate,33:40:4,
أَبَابِيلَ,أبابيل,ISM_MUARAB,NOUN_CONCRETE,,,,,ACCUSATIVE,ADJ,MASAQ:77611,Full,Certificate,105:3:4,
أَبَاكُمْ,أباكم,UNKNOWN,NOUN_FIVE,,ابو,فعل,,ACCUSATIVE,SUBJ_COP_PART,MASAQ:31487,Full,Certificate,12:80:11,
