word,engine_root,audited_root,audited_bab_sarfi,is_audited_and_correct,status,issue_type,fix_hint
فَقِعَ,فقع,فقع,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَسُلَ,فسل,فسل,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
فَرِقَ,فرق,فرق,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَشَجَ,فشج,فشج,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَسَخَ,فسخ,فسخ,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَصَخَ,فصخ,فصخ,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَصَّ,,قصص,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
قَذَلَ,قذل,قذل,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَبَرَ,كبر,كبر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
نَحَتَ,نحت,نحت,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
نَدَهَ,نده,نده,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَشِحَ,كشح,كشح,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَطُنَ,فطن,فطن,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
غَضِيَ,غضي,غضي,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَثُرَ,كثر,كثر,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
كَدَسَ,كدس,كدس,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
غَسَرَ,غسر,غسر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَدَمَ,فدم,فدم,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
غَافَ,غاف,غيف,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
نَدَحَ,ندح,ندح,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَذِيَ,قذي,قذي,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَصُرَ,قصر,قصر,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
خَذَمَ,خذم,خذم,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَهَّ,,كهه,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
فَاحَ,فاح,فوح,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَرَتَ,فرت,فرت,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَضَعَ,قضع,قضع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَبَثَ,قبث,قبث,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَدِرَ,قدر,قدر,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَعَّ,,قعع,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
قَمَهَ,قمه,قمه,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَرِتَ,فرت,فرت,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَلَى,كلى,كلي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَخَزَ,فخز,فخز,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَحَى,فحى,فحي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَطِئَ,فطئ,فطء,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَثَّ,,كثث,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
كَلَتَ,كلت,كلت,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَهِيَ,كهي,كهي,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَاتَ,فات,فوت,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَعَا,كعا,كعو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَطِحَ,فطح,فطح,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَمِدَ,قمد,قمد,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَلِحَ,قلح,قلح,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَفَزَ,قفز,قفز,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
خَدَجَ,خدج,خدج,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَثُمَ,قثم,قثم,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
قَبَصَ,قبص,قبص,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَهُنَ,كهن,كهن,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
فَحُشَ,فحش,فحش,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
غَمَجَ,غمج,غمج,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَشَمَ,قشم,قشم,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَتِقَ,فتق,فتق,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
غَرَّ,,غرر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
خَجِيَ,خجي,خجي,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
خَرَجَ,خرج,خرج,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَرَى,كرى,كري,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَاءَ,كاء,كوء,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَحَلَ,كحل,كحل,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَعُرَ,قعر,قعر,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
كَزِمَ,كزم,كزم,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَرِشَ,قرش,قرش,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَزَمَ,قزم,قزم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَلَبَ,كلب,كلب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَثَمَ,قثم,قثم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَعِيَ,قعي,قعو,فَعِلَ يَفْعَلُ ( كسر فتح ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَافَ,كاف,كوف,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَانَ,فان,فين,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
غَقَّ,,غقق,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
غَمَصَ,غمص,غمص,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
غَلَبَ,غلب,غلب,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
نَدَشَ,ندش,ندش,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَقَّ,,فقق,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
قَعَثَ,قعث,قعث,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَشِقَ,فشق,فشق,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَزَّ,,فزز,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
قَحِطَ,قحط,قحط,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَبَنَ,كبن,كبن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
غَفَقَ,غفق,غفق,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَسِحَ,كسح,كسح,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَقَسَ,فقس,فقس,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَدَجَ,كدج,كدج,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
غَمَنَ,غمن,غمن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَابَ,كاب,كوب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
غَفَى,غفى,غفي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
خَذِيَ,خذي,خذي,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
غَارَ,غار,غور,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
قَبَطَ,قبط,قبط,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
نَحَى,نحى,نحي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
قَنَدَ,قند,قند,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَضِئَ,قضئ,قضء,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَحُفَ,نحف,نحف,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
قَرِحَ,قرح,قرح,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَرَأَ,قرأ,قرء,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
خَجَى,خجى,خجي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَرَقَ,فرق,فرق,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَاحَ,قاح,قوح,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَفَخَ,كفخ,كفخ,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَصَعَ,قصع,قصع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَشِفَ,قشف,قشف,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَرَى,قرى,قري,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَهَّ,,فهه,فَعِلَ يَفْعَلُ ( كسر فتح ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
قَعِفَ,قعف,قعف,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
غَابَ,غاب,غيب,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
فَنَّ,,فنن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
فَتَنَ,فتن,فتن,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَقَرَ,فقر,فقر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَمَعَ,قمع,قمع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَلَى,فلى,فلي,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
خَدِبَ,خدب,خدب,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
غَفِرَ,غفر,غفر,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَنِيَ,قني,قنو,فَعِلَ يَفْعَلُ ( كسر فتح ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
غَرِضَ,غرض,غرض,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَاءَ,قاء,قيء,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَحَصَ,كحص,كحص,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَحَلَ,فحل,فحل,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَبَثَ,كبث,كبث,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَطَلَ,قطل,قطل,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَرِدَ,قرد,قرد,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَلَعَ,كلع,كلع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَسُدَ,كسد,كسد,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
نَخَلَ,نخل,نخل,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَرِخَ,فرخ,فرخ,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَصِفَ,قصف,قصف,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَطِسَ,فطس,فطس,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَبَحَ,كبح,كبح,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَفَتَ,كفت,كفت,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَسَا,فسا,فسو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
غَضِبَ,غضب,غضب,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَرَغَ,فرغ,فرغ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
غَنِجَ,غنج,غنج,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
غَلَقَ,غلق,غلق,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَوِعَ,كوع,كوع,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَمَحَ,قمح,قمح,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَدِعَ,فدع,فدع,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَنَبَ,كنب,كنب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَرَضَ,فرض,فرض,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
غَلِفَ,غلف,غلف,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَمَطَ,قمط,قمط,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَأَجَ,كأج,كءج,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَاحَ,كاح,كوح,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
خَذَقَ,خذق,خذق,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
غَيِدَ,غيد,غيد,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
غَرِمَ,غرم,غرم,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَدِمَ,ندم,ندم,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَهَقَ,فهق,فهق,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
نَحِتَ,نحت,نحت,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَعُلَ,كعل,كعل,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
كَذَبَ,كذب,كذب,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَصَرَ,قصر,قصر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَشِلَ,فشل,فشل,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَبَدَ,كبد,كبد,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَسَقَ,فسق,فسق,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
نَجَذَ,نجذ,نجذ,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَرَعَ,قرع,قرع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَرَهَ,فره,فره,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
قَزِلَ,قزل,قزل,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَحِسَ,نحس,نحس,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَدِرَ,فدر,فدر,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَرَمَ,كرم,كرم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
نَدَا,ندا,ندو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
كَنَا,كنا,كنو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
قَصَمَ,قصم,قصم,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَنَّ,,قنن,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
قَرِفَ,قرف,قرف,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَجِزَ,نجز,نجز,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَمَزَ,قمز,قمز,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَشَغَ,فشغ,فشغ,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
نَحُزَ,نحز,نحز,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
خَجِلَ,خجل,خجل,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
غَشَا,غشا,غشو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,root_mismatch,unknown,يَحتاج فَحصًا يَدَويًّا
غَلَثَ,غلث,غلث,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَحَفَ,قحف,قحف,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَزِمَ,قزم,قزم,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَتَغَ,نتغ,نتغ,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
نَجُبَ,نجب,نجب,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
كَثِعَ,كثع,كثع,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَخِزَ,فخز,فخز,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
غَرِدَ,غرد,غرد,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَطَمَ,قطم,قطم,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَحَجَ,فحج,فحج,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَبِسَ,كبس,كبس,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
نَجَعَ,نجع,نجع,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
قَنَصَ,قنص,قنص,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَأَلَ,كأل,كءل,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
غَرِزَ,غرز,غرز,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
غَلُظَ,غلظ,غلظ,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
كَنِتَ,كنت,كنت,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَسُقَ,فسق,فسق,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
كَنَفَ,كنف,كنف,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَلَقَ,فلق,فلق,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
فَطَرَ,فطر,فطر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
نَخِصَ,نخص,نخص,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَرِنَ,قرن,قرن,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَلَزَ,قلز,قلز,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
فَشِغَ,فشغ,فشغ,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَرِكَ,فرك,فرك,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَمِلَ,قمل,قمل,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
كَمَخَ,كمخ,كمخ,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
فَتَكَ,فتك,فتك,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَشَمَ,كشم,كشم,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَلَحَ,كلح,كلح,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَمِهَ,كمه,كمه,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَتَبَ,قتب,قتب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَبُرَ,كبر,كبر,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),True,exact_match,,
خَرَسَ,خرس,خرس,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَشَفَ,كشف,كشف,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),True,exact_match,,
كَحِلَ,كحل,كحل,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
قَنَعَ,قنع,قنع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
كَرِبَ,,كرب,فَعِلَ يَفْعَلُ ( كسر فتح ),True,root_mismatch,engine_no_root,تَفَقَّد فَلتَرَة الـ closed-class أَو jamid
قَبِسَ,قبس,قبس,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
فَخَتَ,فخت,فخت,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
قَرِيَ,قري,قري,فَعِلَ يَفْعَلُ ( كسر فتح ),True,exact_match,,
خَرَتَ,خرت,خرت,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَرَثَ,كرث,كرث,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),True,exact_match,,
كَنَعَ,كنع,كنع,فَعَلَ يَفْعَلُ ( فتحتان ),True,exact_match,,
